chromosome,start,end,gene,score,orientation
chrIV,141997,141998,YDL176W,.,+
chrIV,821191,821192,YDR180W,.,+
chrVII,596562,596563,YGR054W,.,+
chrV,374678,374679,YER107C,.,-
chrXII,758984,758985,YLR312C,.,-
chrIV,802396,802397,YDR170C,.,-
chrXIII,545935,545936,YMR139W,.,+
chrXI,352814,352815,YKL046C,.,-
chrIV,202840,202841,YDL141W,.,+
chrVII,951132,951133,YGR229C,.,-
chrXV,560932,560933,YOR127W,.,+
chrIV,296561,296562,YDL089W,.,+
chrIV,960344,960345,YDR251W,.,+
chrXVI,782003,782004,YPR122W,.,+
chrVII,325244,325245,YGL096W,.,+
chrX,709810,709811,YJR150C,.,-
chrXIII,258678,258679,YML006C,.,-
chrXII,658541,658542,YLR257W,.,+
chrXVI,286346,286347,YPL141C,.,-
chrVII,87557,87558,YGL215W,.,+
chrXVI,98984,98985,YPL239W,.,+
chrXIII,453899,453900,YMR093W,.,+
chrVII,304205,304206,YGL108C,.,-
chrVIII,102132,102133,YHL002W,.,+
chrXIV,733261,733262,YNR056C,.,-
chrIV,1117157,1117158,YDR325W,.,+
chrXIV,185484,185485,YNL246W,.,+
chrXV,198966,198967,YOL069W,.,+
chrIX,403683,403684,YIR025W,.,+
chrX,697164,697165,YJR142W,.,+
chrIII,224205,224206,YCR059C,.,-
chrIV,274851,274852,YDL104C,.,-
chrIV,64994,64995,YDL220C,.,-
chrVI,91007,91008,YFL023W,.,+
chrVI,223749,223750,YFR032C-A,.,-
chrII,606289,606290,YBR191W,.,+
chrVI,49158,49159,YFL041W,.,+
chrXIII,599140,599141,YMR168C,.,-
chrXII,283886,283887,YLR077W,.,+
chrXVI,415775,415776,YPL074W,.,+
chrIV,322236,322237,YDL075W,.,+
chrXII,316116,316117,YLR088W,.,+
chrX,468272,468273,YJR019C,.,-
chrVII,374820,374821,YGL070C,.,-
chrIV,30451,30452,YDL238C,.,-
chrVII,93793,93794,YGL210W,.,+
chrVII,343319,343320,YGL090W,.,+
chrX,227324,227325,YJL104W,.,+
chrXII,98837,98838,YLL023C,.,-
chrV,330571,330572,YER087W,.,+
chrXIII,577710,577711,YMR161W,.,+
chrXIII,497459,497460,YMR114C,.,-
chrV,347624,347625,YER093C,.,-
chrVII,827536,827537,YGR163W,.,+
chrII,40814,40815,YBL097W,.,+
chrVII,334869,334870,YGL093W,.,+
chrVII,717341,717342,YGR112W,.,+
chrV,116149,116150,YEL021W,.,+
chrVI,169903,169904,YFR013W,.,+
chrVIII,138472,138473,YHR016C,.,-
chrXVI,775205,775206,YPR120C,.,-
chrII,347850,347851,YBR056W,.,+
chrXI,38186,38187,YKL211C,.,-
chrXV,193576,193577,YOL075C,.,-
chrXV,569592,569593,YOR129C,.,-
chrXI,174176,174177,YKL145W,.,+
chrXIII,429662,429663,YMR080C,.,-
chrIV,1219375,1219376,YDR371W,.,+
chrXV,692431,692432,YOR191W,.,+
chrX,21928,21929,YJL218W,.,+
chrXV,653933,653934,YOR171C,.,-
chrIX,370650,370651,YIR007W,.,+
chrI,114850,114851,YAL019W,.,+
chrIV,352803,352804,YDL056W,.,+
chrXIII,38118,38119,YML116W,.,+
chrXIV,264529,264530,YNL200C,.,-
chrVII,511463,511464,YGR010W,.,+
chrXII,641375,641376,YLR251W,.,+
chrXV,99719,99720,YOL116W,.,+
chrVII,593506,593507,YGR052W,.,+
chrXIII,746260,746261,YMR238W,.,+
chrIV,512207,512208,YDR034C,.,-
chrIV,741703,741704,YDR142C,.,-
chrXIV,200460,200461,YNL239W,.,+
chrXIII,645378,645379,YMR190C,.,-
chrII,392988,392989,YBR078W,.,+
chrXI,135848,135849,YKL166C,.,-
chrXIII,282746,282747,YMR008C,.,-
chrXII,604961,604962,YLR229C,.,-
chrIII,267179,267180,YCR089W,.,+
chrXV,217079,217080,YOL059W,.,+
chrXII,1006075,1006076,YLR433C,.,-
chrII,431036,431037,YBR093C,.,-
chrVIII,462397,462398,YHR179W,.,+
chrVIII,54311,54312,YHL026C,.,-
chrXVI,771288,771289,YPR119W,.,+
chrXV,301088,301089,YOL013W-A,.,+
chrVI,148986,148987,YFR001W,.,+
chrVII,454827,454828,YGL021W,.,+
chrXIV,543005,543006,YNL045W,.,+
chrII,43303,43304,YBL095W,.,+
chrVIII,187950,187951,YHR040W,.,+
chrVII,55771,55772,YGL236C,.,-
chrVII,788155,788156,YGR148C,.,-
chrXVI,538914,538915,YPL009C,.,-
chrXVI,659200,659201,YPR048W,.,+
chrXV,80365,80366,YOL127W,.,+
chrXI,527213,527214,YKR049C,.,-
chrXII,493237,493238,YLR163C,.,-
chrXV,259938,259939,YOL034W,.,+
chrIV,1127578,1127579,YDR329C,.,-
chrVII,513172,513173,YGR012W,.,+
chrIV,568690,568691,YDR058C,.,-
chrXII,266907,266908,YLR065C,.,-
chrXVI,799243,799244,YPR135W,.,+
chrXV,689632,689633,YOR189W,.,+
chrXV,94393,94394,YOL120C,.,-
chrXIV,687456,687457,YNR032C-A,.,-
chrVII,271003,271004,YGL126W,.,+
chrXII,862249,862250,YLR370C,.,-
chrXIII,724629,724630,YMR228W,.,+
chrII,435693,435694,YBR095C,.,-
chrIV,1078444,1078445,YDR308C,.,-
chrV,126632,126633,YEL015W,.,+
chrIX,203256,203257,YIL084C,.,-
chrX,507746,507747,YJR040W,.,+
chrXVI,729527,729528,YPR098C,.,-
chrIII,197184,197185,YCR037C,.,-
chrV,159117,159118,YER003C,.,-
chrXIII,818581,818582,YMR275C,.,-
chrIV,172477,172478,YDL159W,.,+
chrXI,483413,483414,YKR023W,.,+
chrXIV,380835,380836,YNL130C,.,-
chrXI,256760,256761,YKL098W,.,+
chrII,454540,454541,YBR107C,.,-
chrVI,173891,173892,YFR014C,.,-
chrX,390869,390870,YJL029C,.,-
chrXI,30708,30709,YKL215C,.,-
chrIV,1259873,1259874,YDR393W,.,+
chrVIII,417516,417517,YHR159W,.,+
chrXV,869173,869174,YOR295W,.,+
chrXII,561972,561973,YLR210W,.,+
chrII,686862,686863,YBR235W,.,+
chrV,229750,229751,YER040W,.,+
chrIV,1331182,1331183,YDR434W,.,+
chrIV,1236502,1236503,YDR381W,.,+
chrXI,473418,473419,YKR017C,.,-
chrIV,104623,104624,YDL198C,.,-
chrVII,888804,888805,YGR195W,.,+
chrXV,960904,960905,YOR341W,.,+
chrIV,781186,781187,YDR162C,.,-
chrXII,116340,116341,YLL015W,.,+
chrVIII,81707,81708,YHL011C,.,-
chrX,521696,521697,YJR045C,.,-
chrVII,846557,846558,YGR174W-A,.,+
chrII,609939,609940,YBR194W,.,+
chrXV,772491,772492,YOR231W,.,+
chrVII,529149,529150,YGR023W,.,+
chrXV,981707,981708,YOR346W,.,+
chrIV,1199044,1199045,YDR363W,.,+
chrV,355326,355327,YER098W,.,+
chrVI,115995,115996,YFL009W,.,+
chrXV,168362,168363,YOL082W,.,+
chrVIII,508951,508952,YHR205W,.,+
chrVIII,498834,498835,YHR199C,.,-
chrXII,833913,833914,YLR353W,.,+
chrVII,443347,443348,YGL028C,.,-
chrVIII,272367,272368,YHR082C,.,-
chrXIII,619755,619756,YMR179W,.,+
chrIX,141676,141677,YIL117C,.,-
chrIV,600683,600684,YDR077W,.,+
chrVII,253969,253970,YGL136C,.,-
chrVIII,379338,379339,YHR139C,.,-
chrX,525544,525545,YJR047C,.,-
chrIV,835724,835725,YDR186C,.,-
chrVIII,236616,236617,YHR071W,.,+
chrII,786962,786963,YBR293W,.,+
chrVII,337727,337728,YGL092W,.,+
chrII,623468,623469,YBR201W,.,+
chrVII,795744,795745,YGR152C,.,-
chrXII,1002218,1002219,YLR431C,.,-
chrXII,677679,677680,YLR266C,.,-
chrXIV,532696,532697,YNL051W,.,+
chrXII,759511,759512,YLR312W-A,.,+
chrXIV,51656,51657,YNL311C,.,-
chrIX,56572,56573,YIL152W,.,+
chrIX,344089,344090,YIL006W,.,+
chrXII,626902,626903,YLR245C,.,-
chrVII,498006,498007,YGR001C,.,-
chrXV,592562,592563,YOR141C,.,-
chrVII,417504,417505,YGL043W,.,+
chrXIII,392774,392775,YMR061W,.,+
chrXII,633334,633335,YLR247C,.,-
chrXVI,364048,364049,YPL099C,.,-
chrIV,1108081,1108082,YDR320C,.,-
chrVII,762446,762447,YGR136W,.,+
chrI,76444,76445,YAL035W,.,+
chrX,345989,345990,YJL049W,.,+
chrXI,81048,81049,YKL191W,.,+
chrXII,973408,973409,YLR424W,.,+
chrX,217295,217296,YJL109C,.,-
chrXVI,157854,157855,YPL208W,.,+
chrVII,924707,924708,YGR217W,.,+
chrIX,149975,149976,YIL114C,.,-
chrX,184511,184512,YJL126W,.,+
chrI,171692,171693,YAR018C,.,-
chrXV,370836,370837,YOR020C,.,-
chrXVI,654172,654173,YPR043W,.,+
chrVIII,184072,184073,YHR038W,.,+
chrXIV,401044,401045,YNL119W,.,+
chrXVI,67729,67730,YPL255W,.,+
chrXIII,213925,213926,YML032C,.,-
chrII,100110,100111,YBL066C,.,-
chrXIII,341144,341145,YMR035W,.,+
chrXIV,339343,339344,YNL159C,.,-
chrXVI,153496,153497,YPL211W,.,+
chrII,571197,571198,YBR166C,.,-
chrXII,849863,849864,YLR362W,.,+
chrXVI,682217,682218,YPR067W,.,+
chrVII,996864,996865,YGR252W,.,+
chrXIII,795799,795800,YMR264W,.,+
chrXVI,360201,360202,YPL101W,.,+
chrXVI,751925,751926,YPR112C,.,-
chrIV,1055201,1055202,YDR296W,.,+
chrXVI,172767,172768,YPL199C,.,-
chrIV,163167,163168,YDL167C,.,-
chrXVI,138675,138676,YPL218W,.,+
chrXII,147866,147867,YLL001W,.,+
chrXIII,475476,475477,YMR104C,.,-
chrII,480947,480948,YBR120C,.,-
chrIX,155195,155196,YIL111W,.,+
chrVII,265885,265886,YGL131C,.,-
chrVII,389738,389739,YGL061C,.,-
chrX,333102,333103,YJL056C,.,-
chrVII,732965,732966,YGR121C,.,-
chrIV,610391,610392,YDR082W,.,+
chrXIII,209473,209474,YML034W,.,+
chrXIV,424551,424552,YNL106C,.,-
chrXV,949169,949170,YOR335C,.,-
chrIX,291731,291732,YIL033C,.,-
chrVIII,383458,383459,YHR142W,.,+
chrIV,107122,107123,YDL195W,.,+
chrX,582349,582350,YJR082C,.,-
chrIV,176676,176677,YDL155W,.,+
chrIV,90070,90071,YDL206W,.,+
chrXII,100838,100839,YLL021W,.,+
chrXVI,818033,818034,YPR141C,.,-
chrXII,757107,757108,YLR310C,.,-
chrVIII,209588,209589,YHR051W,.,+
chrXII,418317,418318,YLR138W,.,+
chrXII,554443,554444,YLR206W,.,+
chrXV,517496,517497,YOR104W,.,+
chrXI,223045,223046,YKL116C,.,-
chrIV,98106,98107,YDL203C,.,-
chrXIII,129532,129533,YML072C,.,-
chrXIII,662462,662463,YMR199W,.,+
chrIV,461653,461654,YDR007W,.,+
chrVII,156228,156229,YGL184C,.,-
chrII,370927,370928,YBR066C,.,-
chrI,225202,225203,YAR071W,.,+
chrVIII,551841,551842,YHR215W,.,+
chrXI,231931,231932,YKL109W,.,+
chrV,409728,409729,YER125W,.,+
chrXVI,939720,939721,YPR200C,.,-
chrIV,563402,563403,YDR055W,.,+
chrXII,830956,830957,YLR352W,.,+
chrII,267461,267462,YBR014C,.,-
chrV,234800,234801,YER042W,.,+
chrVIII,336373,336374,YHR113W,.,+
chrXII,73443,73444,YLL033W,.,+
chrXI,499798,499799,YKR029C,.,-
chrXIII,845602,845603,YMR288W,.,+
chrVIII,69738,69739,YHL018W,.,+
chrIII,27958,27959,YCL055W,.,+
chrXI,584979,584980,YKR078W,.,+
chrXIII,351944,351945,YMR041C,.,-
chrIV,473184,473185,YDR013W,.,+
chrXII,278886,278887,YLR072W,.,+
chrXIII,721377,721378,YMR225C,.,-
chrXIV,392916,392917,YNL124W,.,+
chrVI,159323,159324,YFR007W,.,+
chrIV,1217555,1217556,YDR369C,.,-
chrVII,84235,84236,YGL219C,.,-
chrXIV,706158,706159,YNR045W,.,+
chrXIII,146500,146501,YML063W,.,+
chrXVI,218343,218344,YPL176C,.,-
chrXV,896368,896369,YOR308C,.,-
chrIX,399792,399793,YIR023W,.,+
chrXIV,651696,651697,YNR013C,.,-
chrXIII,722381,722382,YMR226C,.,-
chrXIV,187482,187483,YNL244C,.,-
chrII,657586,657587,YBR216C,.,-
chrXIV,531735,531736,YNL052W,.,+
chrXV,811018,811019,YOR257W,.,+
chrXVI,230827,230828,YPL169C,.,-
chrXIII,898412,898413,YMR312W,.,+
chrXIII,897595,897596,YMR311C,.,-
chrIV,200000,200001,YDL143W,.,+
chrXVI,713278,713279,YPR089W,.,+
chrXVI,885799,885800,YPR172W,.,+
chrVII,750403,750404,YGR129W,.,+
chrXII,263196,263197,YLR061W,.,+
chrVII,1026649,1026650,YGR268C,.,-
chrXIII,178425,178426,YML048W,.,+
chrXIII,523694,523695,YMR128W,.,+
chrXV,868338,868339,YOR294W,.,+
chrIV,658348,658349,YDR103W,.,+
chrIV,565922,565923,YDR057W,.,+
chrIV,836416,836417,YDR188W,.,+
chrVII,472850,472851,YGL012W,.,+
chrVI,249872,249873,YFR050C,.,-
chrII,216374,216375,YBL007C,.,-
chrXII,687213,687214,YLR272C,.,-
chrXV,47587,47588,YOL148C,.,-
chrXII,694361,694362,YLR275W,.,+
chrIV,587734,587735,YDR069C,.,-
chrI,62820,62821,YAL041W,.,+
chrVIII,143579,143580,YHR019C,.,-
chrXI,200190,200191,YKL129C,.,-
chrI,183743,183744,YAR027W,.,+
chrXII,779188,779189,YLR324W,.,+
chrIV,1003974,1003975,YDR268W,.,+
chrX,615186,615187,YJR098C,.,-
chrXII,395552,395553,YLR126C,.,-
chrXVI,506660,506661,YPL022W,.,+
chrXII,954967,954968,YLR417W,.,+
chrXIV,37656,37657,YNL320W,.,+
chrIV,245871,245872,YDL120W,.,+
chrXI,408490,408491,YKL015W,.,+
chrIV,771823,771824,YDR159W,.,+
chrXII,270764,270765,YLR067C,.,-
chrII,415923,415924,YBR085W,.,+
chrXIII,267109,267110,YML001W,.,+
chrIV,42308,42309,YDL231C,.,-
chrXV,658677,658678,YOR174W,.,+
chrXV,861087,861088,YOR291W,.,+
chrII,281351,281352,YBR021W,.,+
chrXI,358381,358382,YKL042W,.,+
chrVII,272422,272423,YGL125W,.,+
chrXII,699596,699597,YLR277C,.,-
chrI,168974,168975,YAR014C,.,-
chrXVI,166121,166122,YPL203W,.,+
chrXVI,610341,610342,YPR024W,.,+
chrVI,248381,248382,YFR049W,.,+
chrII,488521,488522,YBR125C,.,-
chrXV,925575,925576,YOR326W,.,+
chrVI,65330,65331,YFL034W,.,+
chrX,289408,289409,YJL080C,.,-
chrIV,1520886,1520887,YDR541C,.,-
chrIV,452696,452697,YDR001C,.,-
chrXII,241657,241658,YLR047C,.,-
chrV,251664,251665,YER049W,.,+
chrXV,745348,745349,YOR213C,.,-
chrII,311801,311802,YBR038W,.,+
chrVIII,280699,280700,YHR087W,.,+
chrX,550318,550319,YJR061W,.,+
chrXV,170744,170745,YOL081W,.,+
chrII,151312,151313,YBL036C,.,-
chrXIV,701758,701759,YNR041C,.,-
chrXVI,482058,482059,YPL037C,.,-
chrIV,589586,589587,YDR071C,.,-
chrIV,1189690,1189691,YDR357C,.,-
chrXVI,681251,681252,YPR066W,.,+
chrXV,811708,811709,YOR258W,.,+
chrVII,726440,726441,YGR117C,.,-
chrVII,546123,546124,YGR030C,.,-
chrXVI,366956,366957,YPL096W,.,+
chrII,101914,101915,YBL063W,.,+
chrIII,162193,162194,YCR024C,.,-
chrIII,118643,118644,YCR003W,.,+
chrVIII,70299,70300,YHL017W,.,+
chrII,340727,340728,YBR053C,.,-
chrXV,389234,389235,YOR031W,.,+
chrIV,671012,671013,YDR107C,.,-
chrXI,330181,330182,YKL058W,.,+
chrIV,52156,52157,YDL226C,.,-
chrXV,841053,841054,YOR275C,.,-
chrVIII,354829,354830,YHR123W,.,+
chrVIII,342362,342363,YHR117W,.,+
chrXII,609510,609511,YLR233C,.,-
chrXVI,821410,821411,YPR144C,.,-
chrX,205315,205316,YJL112W,.,+
chrXV,994843,994844,YOR350C,.,-
chrXIV,346322,346323,YNL152W,.,+
chrXIII,575073,575074,YMR160W,.,+
chrIV,1289411,1289412,YDR409W,.,+
chrXII,290215,290216,YLR081W,.,+
chrXI,562548,562549,YKR064W,.,+
chrIV,558057,558058,YDR051C,.,-
chrX,137379,137380,YJL149W,.,+
chrXII,232011,232012,YLR043C,.,-
chrIV,432330,432331,YDL010W,.,+
chrIV,842337,842338,YDR191W,.,+
chrVII,995639,995640,YGR251W,.,+
chrXIII,835097,835098,YMR282C,.,-
chrV,500347,500348,YER161C,.,-
chrXIV,591161,591162,YNL023C,.,-
chrXIII,720655,720656,YMR224C,.,-
chrXVI,184683,184684,YPL191C,.,-
chrXI,333979,333980,YKL057C,.,-
chrIX,96385,96386,YIL135C,.,-
chrVII,699798,699799,YGR106C,.,-
chrXIII,135482,135483,YML069W,.,+
chrXV,216155,216156,YOL060C,.,-
chrXI,31713,31714,YKL214C,.,-
chrXII,588938,588939,YLR225C,.,-
chrV,56122,56123,YEL053C,.,-
chrV,120319,120320,YEL020C,.,-
chrIV,1003524,1003525,YDR267C,.,-
chrIV,1063321,1063322,YDR301W,.,+
chrXV,1007188,1007189,YOR356W,.,+
chrIV,610119,610120,YDR081C,.,-
chrXII,820466,820467,YLR345W,.,+
chrXV,796841,796842,YOR246C,.,-
chrIV,424144,424145,YDL017W,.,+
chrIV,33993,33994,YDL235C,.,-
chrV,265870,265871,YER055C,.,-
chrXII,444800,444801,YLR152C,.,-
chrVII,542085,542086,YGR028W,.,+
chrIV,1473246,1473247,YDR515W,.,+
chrVII,140160,140161,YGL194C-A,.,-
chrIV,1258433,1258434,YDR391C,.,-
chrII,331777,331778,YBR047W,.,+
chrI,2236,2237,YAL068C,.,-
chrIX,132172,132173,YIL121W,.,+
chrXI,552640,552641,YKR058W,.,+
chrXVI,272996,272997,YPL148C,.,-
chrVIII,21353,21354,YHL040C,.,-
chrVII,43352,43353,YGL243W,.,+
chrXIV,336443,336444,YNL160W,.,+
chrIV,486516,486517,YDR020C,.,-
chrIV,444511,444512,YDL003W,.,+
chrIV,1398903,1398904,YDR468C,.,-
chrIV,242356,242357,YDL122W,.,+
chrXV,410376,410377,YOR043W,.,+
chrXII,177646,177647,YLR017W,.,+
chrX,47395,47396,YJL207C,.,-
chrXII,1055104,1055105,YLR456W,.,+
chrIV,1219074,1219075,YDR370C,.,-
chrVII,80329,80330,YGL223C,.,-
chrII,113409,113410,YBL057C,.,-
chrX,620786,620787,YJR103W,.,+
chrV,484308,484309,YER156C,.,-
chrXIV,701921,701922,YNR043W,.,+
chrX,467006,467007,YJR017C,.,-
chrXII,48603,48604,YLL045C,.,-
chrXIII,23657,23658,YML124C,.,-
chrVII,695110,695111,YGR102C,.,-
chrXIII,491968,491969,YMR110C,.,-
chrXV,1003201,1003202,YOR354C,.,-
chrVII,543575,543576,YGR029W,.,+
chrXIII,367002,367003,YMR048W,.,+
chrIV,657444,657445,YDR101C,.,-
chrXIII,225909,225910,YML024W,.,+
chrXVI,895742,895743,YPR179C,.,-
chrII,679199,679200,YBR229C,.,-
chrXVI,299483,299484,YPL134C,.,-
chrIV,1093781,1093782,YDR316W,.,+
chrVII,643760,643761,YGR081C,.,-
chrXVI,364968,364969,YPL097W,.,+
chrV,473970,473971,YER152C,.,-
chrXVI,35251,35252,YPL268W,.,+
chrI,151154,151155,YAL001C,.,-
chrXIV,374680,374681,YNL133C,.,-
chrXII,73135,73136,YLL034C,.,-
chrXV,97560,97561,YOL117W,.,+
chrXVI,480544,480545,YPL038W,.,+
chrIV,301420,301421,YDL086W,.,+
chrV,279617,279618,YER061C,.,-
chrXIII,863823,863824,YMR298W,.,+
chrVIII,225163,225164,YHR063C,.,-
chrXIII,343518,343519,YMR036C,.,-
chrX,665019,665020,YJR129C,.,-
chrXIII,424987,424988,YMR079W,.,+
chrIV,1294394,1294395,YDR411C,.,-
chrXI,463955,463956,YKR013W,.,+
chrXVI,241499,241500,YPL164C,.,-
chrX,207872,207873,YJL111W,.,+
chrIV,1320059,1320060,YDR425W,.,+
chrIV,853976,853977,YDR198C,.,-
chrXIV,210226,210227,YNL234W,.,+
chrVI,119422,119423,YFL008W,.,+
chrVII,1076592,1076593,YGR292W,.,+
chrXI,176773,176774,YKL143W,.,+
chrIV,378456,378457,YDL042C,.,-
chrXIII,544975,544976,YMR137C,.,-
chrXV,817275,817276,YOR262W,.,+
chrII,589130,589131,YBR179C,.,-
chrVI,210919,210920,YFR029W,.,+
chrVII,837123,837124,YGR170W,.,+
chrIII,147652,147653,YCR017C,.,-
chrXV,1028644,1028645,YOR369C,.,-
chrXI,118769,118770,YKL175W,.,+
chrII,515360,515361,YBR138C,.,-
chrIII,79136,79137,YCL024W,.,+
chrXIII,51613,51614,YML109W,.,+
chrXVI,398132,398133,YPL083C,.,-
chrIV,1127839,1127840,YDR330W,.,+
chrXIII,181438,181439,YML046W,.,+
chrVI,165031,165032,YFR010W,.,+
chrXV,312403,312404,YOL007C,.,-
chrXVI,698827,698828,YPR079W,.,+
chrII,647196,647197,YBR211C,.,-
chrXII,17683,17684,YLL062C,.,-
chrVIII,448262,448263,YHR172W,.,+
chrXIII,291052,291053,YMR012W,.,+
chrVII,95775,95776,YGL209W,.,+
chrXV,1011101,1011102,YOR359W,.,+
chrIX,68160,68161,YIL149C,.,-
chrII,670520,670521,YBR225W,.,+
chrV,390161,390162,YER113C,.,-
chrXI,619689,619690,YKR095W,.,+
chrVII,245150,245151,YGL140C,.,-
chrXIII,231006,231007,YML020W,.,+
chrXII,46409,46410,YLL048C,.,-
chrXI,213973,213974,YKL121W,.,+
chrXII,809786,809787,YLR342W,.,+
chrIV,198411,198412,YDL145C,.,-
chrVIII,273915,273916,YHR084W,.,+
chrXIV,466860,466861,YNL085W,.,+
chrIX,34961,34962,YIL164C,.,-
chrXVI,267802,267803,YPL150W,.,+
chrXV,675627,675628,YOR180C,.,-
chrII,576075,576076,YBR169C,.,-
chrIV,806486,806487,YDR171W,.,+
chrIV,616340,616341,YDR085C,.,-
chrXIII,16936,16937,YML127W,.,+
chrVIII,387104,387105,YHR143W-A,.,+
chrVII,676478,676479,YGR095C,.,-
chrII,549626,549627,YBR155W,.,+
chrV,73510,73511,YEL042W,.,+
chrIV,1471014,1471015,YDR512C,.,-
chrXIII,260261,260262,YML005W,.,+
chrVII,1019199,1019200,YGR263C,.,-
chrV,121261,121262,YEL019C,.,-
chrXIII,243262,243263,YML014W,.,+
chrII,245633,245634,YBR004C,.,-
chrXII,581740,581741,YLR222C,.,-
chrXIII,43544,43545,YML114C,.,-
chrVI,81882,81883,YFL027C,.,-
chrI,135876,135877,YAL009W,.,+
chrXV,989809,989810,YOR349W,.,+
chrXV,943672,943673,YOR332W,.,+
chrIII,95745,95746,YCL016C,.,-
chrIV,851241,851242,YDR197W,.,+
chrVI,225943,225944,YFR034C,.,-
chrVII,299713,299714,YGL112C,.,-
chrVII,148950,148951,YGL188C-A,.,-
chrXII,546108,546109,YLR197W,.,+
chrXI,155001,155002,YKL157W,.,+
chrVI,45548,45549,YFL044C,.,-
chrXIII,86728,86729,YML092C,.,-
chrIV,88257,88258,YDL207W,.,+
chrVI,79150,79151,YFL029C,.,-
chrXIV,48295,48296,YNL312W,.,+
chrXIV,59781,59782,YNL305C,.,-
chrXI,203548,203549,YKL127W,.,+
chrXIV,627133,627134,YNL002C,.,-
chrVII,793044,793045,YGR150C,.,-
chrVIII,25500,25501,YHL038C,.,-
chrXVI,794493,794494,YPR131C,.,-
chrXII,160051,160052,YLR005W,.,+
chrXII,819314,819315,YLR344W,.,+
chrXV,642742,642743,YOR163W,.,+
chrVII,698365,698366,YGR104C,.,-
chrIV,1382044,1382045,YDR458C,.,-
chrVIII,506319,506320,YHR204W,.,+
chrXIV,420096,420097,YNL107W,.,+
chrX,522045,522046,YJR046W,.,+
chrXIV,437610,437611,YNL100W,.,+
chrII,599961,599962,YBR185C,.,-
chrXI,570913,570914,YKR068C,.,-
chrXVI,747297,747298,YPR111W,.,+
chrV,536028,536029,YER172C,.,-
chrXIV,551995,551996,YNL041C,.,-
chrIV,1212838,1212839,YDR367W,.,+
chrI,188096,188097,YAR033W,.,+
chrIV,381447,381448,YDL040C,.,-
chrVII,306282,306283,YGL107C,.,-
chrVII,555797,555798,YGR034W,.,+
chrX,117228,117229,YJL161W,.,+
chrXVI,535000,535001,YPL010W,.,+
chrXV,770781,770782,YOR230W,.,+
chrXII,909983,909984,YLR395C,.,-
chrIV,1293110,1293111,YDR410C,.,-
chrXV,464747,464748,YOR073W,.,+
chrX,655986,655987,YJR125C,.,-
chrXIV,340326,340327,YNL157W,.,+
chrXII,846076,846077,YLR360W,.,+
chrXIII,236561,236562,YML017W,.,+
chrIV,1312010,1312011,YDR421W,.,+
chrVII,478681,478682,YGL009C,.,-
chrXVI,753266,753267,YPR114W,.,+
chrXV,939383,939384,YOR329C,.,-
chrIV,1288893,1288894,YDR408C,.,-
chrVIII,67490,67491,YHL020C,.,-
chrXVI,308258,308259,YPL128C,.,-
chrXII,327453,327454,YLR093C,.,-
chrXIV,375277,375278,YNL132W,.,+
chrV,51584,51585,YEL055C,.,-
chrXVI,150242,150243,YPL214C,.,-
chrXI,371775,371776,YKL034W,.,+
chrXIV,247156,247157,YNL213C,.,-
chrXV,558699,558700,YOR124C,.,-
chrXIV,690256,690257,YNR034W,.,+
chrXI,461303,461304,YKR010C,.,-
chrIV,1388800,1388801,YDR464W,.,+
chrXIV,720718,720719,YNR052C,.,-
chrVII,616037,616038,YGR061C,.,-
chrVI,123384,123385,YFL007W,.,+
chrXI,362524,362525,YKL039W,.,+
chrXI,635277,635278,YKR098C,.,-
chrII,700042,700043,YBR239C,.,-
chrXV,925147,925148,YOR324C,.,-
chrIV,373723,373724,YDL045C,.,-
chrXIII,253726,253727,YML007W,.,+
chrIX,292510,292511,YIL031W,.,+
chrX,187766,187767,YJL124C,.,-
chrVIII,207518,207519,YHR050W,.,+
chrXV,486926,486927,YOR086C,.,-
chrIII,298762,298763,YCR098C,.,-
chrXV,1051124,1051125,YOR380W,.,+
chrIV,927238,927239,YDR232W,.,+
chrIV,56669,56670,YDL224C,.,-
chrII,342696,342697,YBR054W,.,+
chrXV,757868,757869,YOR222W,.,+
chrVIII,10975,10976,YHL047C,.,-
chrXII,1062854,1062855,YLR461W,.,+
chrII,452084,452085,YBR105C,.,-
chrIV,411701,411702,YDL022W,.,+
chrXII,660582,660583,YLR258W,.,+
chrVII,856571,856572,YGR180C,.,-
chrXI,248603,248604,YKL101W,.,+
chrXIV,274387,274388,YNL193W,.,+
chrX,335888,335889,YJL053W,.,+
chrV,196830,196831,YER021W,.,+
chrVII,1061727,1061728,YGR284C,.,-
chrVII,291836,291837,YGL115W,.,+
chrXIII,472687,472688,YMR102C,.,-
chrIV,1039776,1039777,YDR291W,.,+
chrII,49606,49607,YBL089W,.,+
chrVIII,13596,13597,YHL044W,.,+
chrIV,945120,945121,YDR240C,.,-
chrVIII,330339,330340,YHR109W,.,+
chrX,312677,312678,YJL069C,.,-
chrXIII,413444,413445,YMR074C,.,-
chrVII,726999,727000,YGR118W,.,+
chrXIII,77291,77292,YML098W,.,+
chrXIII,79933,79934,YML096W,.,+
chrII,398251,398252,YBR079C,.,-
chrX,559439,559440,YJR066W,.,+
chrX,75955,75956,YJL189W,.,+
chrXI,336134,336135,YKL055C,.,-
chrXV,220788,220789,YOL057W,.,+
chrII,201726,201727,YBL014C,.,-
chrVII,867794,867795,YGR186W,.,+
chrX,514074,514075,YJR042W,.,+
chrXV,727531,727532,YOR206W,.,+
chrXII,543284,543285,YLR195C,.,-
