chromosome,start,end,gene,stable/fragile,gene orientation
chrVII,832158,832159,YGR167W,stable,+
chrVII,389982,389983,YGL061C,stable,-
chrXV,194998,194999,YOL073C,stable,-
chrV,264247,264248,YER054C,stable,-
chrII,724466,724467,YBR254C,stable,-
chrIV,132168,132169,YDL183C,stable,-
chrXII,902934,902935,YLR389C,stable,-
chrIII,216361,216362,YCR053W,stable,+
chrV,246890,246891,YER047C,stable,-
chrXIII,601381,601382,YMR169C,stable,-
chrXII,68227,68228,YLL035W,stable,+
chrX,303130,303131,YJL074C,stable,-
chrIII,120763,120764,YCR004C,stable,-
chrXI,611200,611201,YKR091W,stable,+
chrXII,771942,771943,YLR319C,stable,-
chrII,539679,539680,YBR149W,stable,+
chrV,229472,229473,YER040W,stable,+
chrIV,1116924,1116925,YDR325W,stable,+
chrIV,1116924,1116925,YDR324C,stable,-
chrVII,368247,368248,YGL073W,stable,+
chrXVI,486170,486171,YPL034W,stable,+
chrIII,23343,23344,YCL058W-A,stable,+
chrXIII,311993,311994,YMR019W,stable,+
chrXIV,640146,640147,YNR008W,stable,+
chrXIII,87201,87202,YML092C,stable,-
chrXIII,151626,151627,YML060W,stable,+
chrVIII,284861,284862,YHR090C,stable,-
chrXVI,724934,724935,YPR097W,stable,+
chrV,563000,563001,YER186C,stable,-
chrXIII,262863,262864,YML004C,stable,-
chrVII,717138,717139,YGR112W,stable,+
chrXVI,218635,218636,YPL176C,stable,-
chrX,314156,314157,YJL068C,stable,-
chrIV,503520,503521,YDR030C,stable,-
chrXIII,79934,79935,YML097C,stable,-
chrXIII,706858,706859,YMR219W,stable,+
chrXV,884149,884150,YOR304W,stable,+
chrXIII,462843,462844,YMR098C,stable,-
chrXV,507792,507793,YOR097C,stable,-
chrIV,1229850,1229851,YDR379W,stable,+
chrIV,1229850,1229851,YDR378C,stable,-
chrX,684309,684310,YJR138W,stable,+
chrVII,741844,741845,YGR125W,stable,+
chrI,171975,171976,YAR018C,stable,-
chrIV,1521178,1521179,YDR541C,stable,-
chrIV,665156,665157,YDR104C,stable,-
chrVII,63809,63810,YGL231C,stable,-
chrXV,123587,123588,YOL103W,stable,+
chrXV,333312,333313,YOR004W,stable,+
chrX,637576,637577,YJR112W-A,stable,+
chrXII,116081,116082,YLL015W,stable,+
chrXVI,910999,911000,YPR187W,stable,+
chrXV,745613,745614,YOR213C,stable,-
chrXIII,636224,636225,YMR187C,stable,-
chrIV,1093780,1093781,YDR315C,stable,-
chrXVI,459755,459756,YPL051W,stable,+
chrIV,202841,202842,YDL142C,stable,-
chrXIII,141925,141926,YML065W,stable,+
chrX,195213,195214,YJL116C,stable,-
chrVII,82490,82491,YGL221C,stable,-
chrXVI,720444,720445,YPR094W,stable,+
chrVII,304340,304341,YGL108C,stable,-
chrXII,142944,142945,YLL003W,stable,+
chrXI,275018,275019,YKL088W,stable,+
chrVIII,332828,332829,YHR111W,stable,+
chrIX,89958,89959,YIL138C,stable,-
chrXVI,223138,223139,YPL174C,stable,-
chrII,744626,744627,YBR271W,stable,+
chrXIII,337524,337525,YMR033W,stable,+
chrXIII,814404,814405,YMR273C,stable,-
chrVII,457873,457874,YGL019W,stable,+
chrIV,503275,503276,YDR031W,stable,+
chrVII,706742,706743,YGR109C,stable,-
chrIV,1298401,1298402,YDR415C,stable,-
chrXVI,710098,710099,YPR085C,stable,-
chrX,615186,615187,YJR099W,stable,+
chrXIII,205661,205662,YML037C,stable,-
chrXI,112772,112773,YKL179C,stable,-
chrX,528460,528461,YJR050W,stable,+
chrVIII,335920,335921,YHR112C,stable,-
chrXII,697186,697187,YLR276C,stable,-
chrIV,60741,60742,YDL223C,stable,-
chrXI,582052,582053,YKR076W,stable,+
chrXV,410224,410225,YOR043W,stable,+
chrIII,94595,94596,YCL017C,stable,-
chrXVI,179013,179014,YPL194W,stable,+
chrX,355903,355904,YJL045W,stable,+
chrVIII,302459,302460,YHR099W,stable,+
chrXVI,424124,424125,YPL069C,stable,-
chrXIII,782651,782652,YMR257C,stable,-
chrXIII,133224,133225,YML070W,stable,+
chrII,784870,784871,YBR291C,stable,-
chrVIII,218106,218107,YHR056C,stable,-
chrIV,164033,164034,YDL165W,stable,+
chrIX,398327,398328,YIR021W-A,stable,+
chrIV,1024938,1024939,YDR282C,stable,-
chrXIV,80385,80386,YNL293W,stable,+
chrXV,52801,52802,YOL144W,stable,+
chrVII,795906,795907,YGR152C,stable,-
chrX,302857,302858,YJL073W,stable,+
chrVII,1031528,1031529,YGR271W,stable,+
chrXIII,453743,453744,YMR093W,stable,+
chrXIII,453743,453744,YMR092C,stable,-
chrIII,35368,35369,YCL051W,stable,+
chrVII,637804,637805,YGR076C,stable,-
chrXIV,418815,418816,YNL110C,stable,-
chrXII,316116,316117,YLR087C,stable,-
chrXIII,148889,148890,YML062C,stable,-
chrIV,141986,141987,YDL177C,stable,-
chrIII,220344,220345,YCR054C,stable,-
chrXII,609524,609525,YLR234W,stable,+
chrVII,475236,475237,YGL010W,stable,+
chrXIII,16776,16777,YML127W,stable,+
chrVII,511271,511272,YGR010W,stable,+
chrVII,511271,511272,YGR009C,stable,-
chrVII,396023,396024,YGL057C,stable,-
chrXII,986828,986829,YLR426W,stable,+
chrIV,320460,320461,YDL077C,stable,-
chrXVI,88206,88207,YPL243W,stable,+
chrVII,634069,634070,YGR072W,stable,+
chrIV,301219,301220,YDL086W,stable,+
chrIV,859113,859114,YDR205W,stable,+
chrXI,533818,533819,YKR052C,stable,-
chrII,512712,512713,YBR137W,stable,+
chrII,321859,321860,YBR042C,stable,-
chrIII,205642,205643,YCR042C,stable,-
chrIV,614248,614249,YDR084C,stable,-
chrII,620564,620565,YBR200W,stable,+
chrXVI,706677,706678,YPR084W,stable,+
chrVIII,480728,480729,YHR187W,stable,+
chrVI,131351,131352,YFL004W,stable,+
chrIV,32012,32013,YDL236W,stable,+
chrXIII,770488,770489,YMR250W,stable,+
chrII,633383,633384,YBR205W,stable,+
chrXVI,633840,633841,YPR032W,stable,+
chrII,528007,528008,YBR142W,stable,+
chrXII,771694,771695,YLR320W,stable,+
chrIV,1267147,1267148,YDR397C,stable,-
chrII,186746,186747,YBL018C,stable,-
chrXVI,565316,565317,YPR004C,stable,-
chrXII,528008,528009,YLR188W,stable,+
chrV,330333,330334,YER087W,stable,+
chrXII,267168,267169,YLR065C,stable,-
chrXV,569842,569843,YOR129C,stable,-
chrVII,698610,698611,YGR104C,stable,-
chrXII,185129,185130,YLR022C,stable,-
chrIV,603090,603091,YDR078C,stable,-
chrXIV,172529,172530,YNL252C,stable,-
chrXIII,104406,104407,YML081C-A,stable,-
chrXIII,104406,104407,YML081W,stable,+
chrXV,83571,83572,YOL125W,stable,+
chrIII,249007,249008,YCR075C,stable,-
chrXII,743860,743861,YLR306W,stable,+
chrII,158695,158696,YBL034C,stable,-
chrV,319709,319710,YER080W,stable,+
chrII,283492,283493,YBR022W,stable,+
chrIX,399555,399556,YIR023W,stable,+
chrXV,841046,841047,YOR276W,stable,+
chrXI,604433,604434,YKR087C,stable,-
chrXVI,885546,885547,YPR172W,stable,+
chrVII,475511,475512,YGL011C,stable,-
chrXVI,658958,658959,YPR048W,stable,+
chrIV,125110,125111,YDL186W,stable,+
chrXIV,247159,247160,YNL212W,stable,+
chrI,183468,183469,YAR027W,stable,+
chrXII,691559,691560,YLR273C,stable,-
chrIX,170021,170022,YIL105C,stable,-
chrII,686578,686579,YBR235W,stable,+
chrXIII,62539,62540,YML104C,stable,-
chrXI,599646,599647,YKR086W,stable,+
chrIX,310619,310620,YIL023C,stable,-
chrIII,154893,154894,YCR020C,stable,-
chrIV,1084843,1084844,YDR311W,stable,+
chrIV,1084843,1084844,YDR310C,stable,-
chrXII,893646,893647,YLR385C,stable,-
chrXI,599136,599137,YKR084C,stable,-
chrIV,808037,808038,YDR172W,stable,+
chrXIII,475741,475742,YMR104C,stable,-
chrXV,196322,196323,YOL071W,stable,+
chrXII,146063,146064,YLL002W,stable,+
chrX,620588,620589,YJR103W,stable,+
chrVIII,225415,225416,YHR063C,stable,-
chrIV,1330916,1330917,YDR434W,stable,+
chrVII,846557,846558,YGR174C,stable,-
chrXV,845984,845985,YOR280C,stable,-
chrVII,368470,368471,YGL075C,stable,-
chrXIII,101308,101309,YML083C,stable,-
chrVIII,437271,437272,YHR165C,stable,-
chrXVI,467214,467215,YPL046C,stable,-
chrIV,229474,229475,YDL130W,stable,+
chrXIII,724628,724629,YMR227C,stable,-
chrVIII,138735,138736,YHR016C,stable,-
chrXV,143938,143939,YOL092W,stable,+
chrVII,76467,76468,YGL225W,stable,+
chrXIV,304868,304869,YNL177C,stable,-
chrVII,1011055,1011056,YGR258C,stable,-
chrXII,623923,623924,YLR243W,stable,+
chrIV,397240,397241,YDL030W,stable,+
chrXI,417174,417175,YKL014C,stable,-
chrXIII,287929,287930,YMR011W,stable,+
chrXIII,592988,592989,YMR165C,stable,-
chrVII,827263,827264,YGR163W,stable,+
chrVII,937112,937113,YGR220C,stable,-
chrXII,175230,175231,YLR014C,stable,-
chrXV,1025780,1025781,YOR367W,stable,+
chrXVI,876885,876886,YPR166C,stable,-
chrVII,141734,141735,YGL192W,stable,+
chrX,729847,729848,YJR156C,stable,-
chrVII,389731,389732,YGL060W,stable,+
chrXIII,863581,863582,YMR298W,stable,+
chrXIV,244190,244191,YNL215W,stable,+
chrII,600196,600197,YBR185C,stable,-
chrVII,35301,35302,YGL248W,stable,+
chrXIV,647125,647126,YNR011C,stable,-
chrXIV,647125,647126,YNR012W,stable,+
chrXV,554853,554854,YOR123C,stable,-
chrX,365468,365469,YJL041W,stable,+
chrXIII,242043,242044,YML016C,stable,-
chrXVI,912445,912446,YPR189W,stable,+
chrVII,121205,121206,YGL201C,stable,-
chrV,147927,147928,YEL003W,stable,+
chrXII,992901,992902,YLR430W,stable,+
chrXIII,789153,789154,YMR259C,stable,-
chrIII,305642,305643,YCR102C,stable,-
chrXI,118522,118523,YKL176C,stable,-
chrXI,118522,118523,YKL175W,stable,+
chrVII,687652,687653,YGR099W,stable,+
chrVIII,501341,501342,YHR201C,stable,-
chrXII,1061043,1061044,YLR460C,stable,-
chrIV,562741,562742,YDR054C,stable,-
chrXIII,79677,79678,YML096W,stable,+
chrIV,101308,101309,YDL200C,stable,-
chrVIII,481002,481003,YHR186C,stable,-
chrXV,803430,803431,YOR252W,stable,+
chrXV,139254,139255,YOL096C,stable,-
chrVII,931977,931978,YGR218W,stable,+
chrXVI,195571,195572,YPL186C,stable,-
chrX,88542,88543,YJL179W,stable,+
chrIX,353658,353659,YIL001W,stable,+
chrIX,345354,345355,YIL005W,stable,+
chrV,525702,525703,YER170W,stable,+
chrVII,393661,393662,YGL058W,stable,+
chrXVI,878444,878445,YPR169W,stable,+
chrX,83244,83245,YJL184W,stable,+
chrIII,74299,74300,YCL026C-B,stable,-
chrVI,103476,103477,YFL017W-A,stable,+
chrIV,960056,960057,YDR249C,stable,-
chrXIII,572263,572264,YMR157C,stable,-
chrVII,888559,888560,YGR195W,stable,+
chrIV,998673,998674,YDR264C,stable,-
chrXII,413045,413046,YLR135W,stable,+
chrXVI,157853,157854,YPL209C,stable,-
chrXI,448296,448297,YKR004C,stable,-
chrIV,78171,78172,YDL213C,stable,-
chrIV,78171,78172,YDL212W,stable,+
chrXV,329119,329120,YOR002W,stable,+
chrXIV,535224,535225,YNL050C,stable,-
chrXII,170594,170595,YLR012C,stable,-
chrXVI,720664,720665,YPR093C,stable,-
chrX,111630,111631,YJL164C,stable,-
chrXIV,40385,40386,YNL317W,stable,+
chrIV,38236,38237,YDL232W,stable,+
chrIV,62060,62061,YDL222C,stable,-
chrXI,223300,223301,YKL116C,stable,-
chrXVI,319191,319192,YPL123C,stable,-
chrXI,403882,403883,YKL018W,stable,+
chrXII,714889,714890,YLR289W,stable,+
chrVII,299731,299732,YGL111W,stable,+
chrIV,198676,198677,YDL145C,stable,-
chrV,232207,232208,YER041W,stable,+
chrX,486538,486539,YJR030C,stable,-
chrXVI,125741,125742,YPL225W,stable,+
chrIV,337509,337510,YDL065C,stable,-
chrX,583737,583738,YJR083C,stable,-
chrX,507495,507496,YJR040W,stable,+
chrIV,399084,399085,YDL029W,stable,+
chrIX,321235,321236,YIL016W,stable,+
chrIX,321235,321236,YIL017C,stable,-
chrII,670284,670285,YBR225W,stable,+
chrVIII,364432,364433,YHR129C,stable,-
chrVIII,486836,486837,YHR191C,stable,-
chrXI,359810,359811,YKL041W,stable,+
chrXII,617311,617312,YLR240W,stable,+
chrIV,1185836,1185837,YDR356W,stable,+
chrXI,521956,521957,YKR043C,stable,-
chrXVI,566809,566810,YPR005C,stable,-
chrXIII,594676,594677,YMR167W,stable,+
chrVIII,159455,159456,YHR024C,stable,-
chrXIV,321926,321927,YNL167C,stable,-
chrXVI,366943,366944,YPL096C-A,stable,-
chrXV,633572,633573,YOR160W,stable,+
chrIII,61400,61401,YCL035C,stable,-
chrIII,61400,61401,YCL034W,stable,+
chrXII,903354,903355,YLR390W-A,stable,+
chrIX,308177,308178,YIL026C,stable,-
chrXVI,102927,102928,YPL235W,stable,+
chrXIII,383139,383140,YMR053C,stable,-
chrIX,397041,397042,YIR021W,stable,+
chrXIII,667234,667235,YMR201C,stable,-
chrIX,283126,283127,YIL038C,stable,-
chrXIII,492220,492221,YMR110C,stable,-
chrX,683739,683740,YJR137C,stable,-
chrXVI,912682,912683,YPR188C,stable,-
chrXIII,848468,848469,YMR289W,stable,+
chrI,129277,129278,YAL014C,stable,-
chrVIII,439331,439332,YHR166C,stable,-
chrIX,93393,93394,YIL136W,stable,+
chrXV,194777,194778,YOL072W,stable,+
chrXII,778108,778109,YLR321C,stable,-
chrIV,889273,889274,YDR213W,stable,+
chrXIII,784555,784556,YMR258C,stable,-
chrX,323096,323097,YJL060W,stable,+
chrXII,377581,377582,YLR114C,stable,-
chrXIV,515178,515179,YNL059C,stable,-
chrII,458628,458629,YBR109C,stable,-
chrV,56347,56348,YEL052W,stable,+
chrV,56347,56348,YEL053C,stable,-
chrXI,445047,445048,YKR003W,stable,+
chrIX,398514,398515,YIR022W,stable,+
chrXII,177656,177657,YLR016C,stable,-
chrXV,99426,99427,YOL116W,stable,+
chrXII,849862,849863,YLR361C-A,stable,-
chrXVI,506394,506395,YPL022W,stable,+
chrXI,466432,466433,YKR014C,stable,-
chrIV,1127570,1127571,YDR330W,stable,+
chrIII,248778,248779,YCR075W-A,stable,+
chrX,97466,97467,YJL172W,stable,+
chrXV,848217,848218,YOR284W,stable,+
chrXIV,76842,76843,YNL297C,stable,-
chrXIII,233214,233215,YML019W,stable,+
chrXI,530654,530655,YKR051W,stable,+
chrVIII,245923,245924,YHR074W,stable,+
chrXIII,804203,804204,YMR269W,stable,+
chrIII,63445,63446,YCL033C,stable,-
chrXII,271019,271020,YLR067C,stable,-
chrIV,392505,392506,YDL035C,stable,-
chrIV,334620,334621,YDL066W,stable,+
chrIV,334620,334621,YDL067C,stable,-
chrII,381845,381846,YBR072W,stable,+
chrVIII,486608,486609,YHR192W,stable,+
chrVII,284203,284204,YGL119W,stable,+
chrVII,284203,284204,YGL120C,stable,-
chrXIV,286012,286013,YNL188W,stable,+
chrX,94760,94761,YJL176C,stable,-
chrX,94760,94761,YJL174W,stable,+
chrXVI,698561,698562,YPR079W,stable,+
chrV,347864,347865,YER093C,stable,-
chrXI,154794,154795,YKL157W,stable,+
chrII,582419,582420,YBR173C,stable,-
chrVI,176614,176615,YFR015C,stable,-
chrXV,165386,165387,YOL083W,stable,+
chrXV,111835,111836,YOL107W,stable,+
chrXVI,478972,478973,YPL039W,stable,+
chrX,256986,256987,YJL093C,stable,-
chrX,256986,256987,YJL092W,stable,+
chrXVI,594118,594119,YPR017C,stable,-
chrXVI,594118,594119,YPR018W,stable,+
chrI,175347,175348,YAR019C,stable,-
chrXII,157996,157997,YLR003C,stable,-
chrII,49362,49363,YBL089W,stable,+
chrIV,1470759,1470760,YDR513W,stable,+
chrXV,939656,939657,YOR329C,stable,-
chrXIV,538184,538185,YNL049C,stable,-
chrII,633623,633624,YBR204C,stable,-
chrXIII,172962,172963,YML050W,stable,+
chrV,359051,359052,YER100W,stable,+
chrXIV,319044,319045,YNL168C,stable,-
chrXIV,412289,412290,YNL115C,stable,-
chrVII,245158,245159,YGL139W,stable,+
chrXII,154244,154245,YLR001C,stable,-
chrXI,605647,605648,YKR088C,stable,-
chrVII,718600,718601,YGR113W,stable,+
chrX,180568,180569,YJL128C,stable,-
chrXI,390191,390192,YKL026C,stable,-
chrXII,208467,208468,YLR033W,stable,+
chrXVI,289445,289446,YPL140C,stable,-
chrVII,522291,522292,YGR015C,stable,-
chrIII,107058,107059,YCL008C,stable,-
chrIV,272160,272161,YDL106C,stable,-
chrIV,272160,272161,YDL105W,stable,+
chrXIII,30299,30300,YML119W,stable,+
chrV,251385,251386,YER049W,stable,+
chrI,124586,124587,YAL016W,stable,+
chrVIII,138465,138466,YHR017W,stable,+
chrXV,755340,755341,YOR219C,stable,-
chrXII,781822,781823,YLR326W,stable,+
chrIV,122025,122026,YDL190C,stable,-
chrXVI,664974,664975,YPR049C,stable,-
chrXVI,163872,163873,YPL206C,stable,-
chrXV,792509,792510,YOR243C,stable,-
chrVI,245871,245872,YFR048W,stable,+
chrXI,418278,418279,YKL013C,stable,-
chrII,657582,657583,YBR217W,stable,+
chrXVI,713019,713020,YPR089W,stable,+
chrXIV,330098,330099,YNL162W-A,stable,+
chrIV,501562,501563,YDR028C,stable,-
chrIV,907308,907309,YDR219C,stable,-
chrXII,626910,626911,YLR246W,stable,+
chrX,695933,695934,YJR140C,stable,-
chrV,327268,327269,YER083C,stable,-
chrV,254402,254403,YER051W,stable,+
chrIII,192994,192995,YCR036W,stable,+
chrVII,494498,494499,YGL003C,stable,-
chrVIII,336115,336116,YHR113W,stable,+
chrXVI,647055,647056,YPR040W,stable,+
chrIV,565660,565661,YDR057W,stable,+
chrXII,159796,159797,YLR005W,stable,+
chrXIV,400775,400776,YNL121C,stable,-
chrXIV,400775,400776,YNL119W,stable,+
chrX,113614,113615,YJL163C,stable,-
chrXI,154622,154623,YKL159C,stable,-
chrVI,207193,207194,YFR027W,stable,+
chrXIII,230759,230760,YML020W,stable,+
chrXIII,110063,110064,YML079W,stable,+
chrIII,47179,47180,YCL045C,stable,-
chrVIII,316191,316192,YHR101C,stable,-
chrVIII,316191,316192,YHR102W,stable,+
chrXII,434652,434653,YLR147C,stable,-
chrIV,1052504,1052505,YDR294C,stable,-
chrXIV,483068,483069,YNL076W,stable,+
chrXV,112105,112106,YOL108C,stable,-
chrXIII,896946,896947,YMR310C,stable,-
chrX,656240,656241,YJR125C,stable,-
chrXII,377754,377755,YLR115W,stable,+
chrXIII,214203,214204,YML032C,stable,-
chrXII,505768,505769,YLR175W,stable,+
chrXI,640277,640278,YKR101W,stable,+
chrIX,96668,96669,YIL135C,stable,-
chrXV,1009952,1009953,YOR357C,stable,-
chrIX,55231,55232,YIL154C,stable,-
chrXIV,622689,622690,YNL004W,stable,+
chrXIV,622689,622690,YNL005C,stable,-
chrV,536030,536031,YER173W,stable,+
chrIII,155058,155059,YCR020W-B,stable,+
chrXVI,418079,418080,YPL072W,stable,+
chrII,757406,757407,YBR275C,stable,-
chrXV,65351,65352,YOL137W,stable,+
chrVII,618082,618083,YGR063C,stable,-
chrIV,565929,565930,YDR056C,stable,-
chrIX,403683,403684,YIR024C,stable,-
chrIV,718741,718742,YDR131C,stable,-
chrXI,38433,38434,YKL211C,stable,-
chrIV,1063079,1063080,YDR301W,stable,+
chrIV,1063079,1063080,YDR300C,stable,-
chrVII,793294,793295,YGR150C,stable,-
chrIX,93020,93021,YIL137C,stable,-
chrXIV,613390,613391,YNL010W,stable,+
chrXIV,613390,613391,YNL011C,stable,-
chrXI,63778,63779,YKL203C,stable,-
chrV,484576,484577,YER157W,stable,+
chrV,484576,484577,YER156C,stable,-
chrXII,398329,398330,YLR128W,stable,+
chrXI,500042,500043,YKR030W,stable,+
chrXI,500042,500043,YKR029C,stable,-
chrXII,493242,493243,YLR164W,stable,+
chrIII,111920,111921,YCL002C,stable,-
chrX,278374,278375,YJL084C,stable,-
chrVII,459657,459658,YGL017W,stable,+
chrX,610858,610859,YJR096W,stable,+
chrVII,713418,713419,YGR110W,stable,+
chrXIII,97741,97742,YML086C,stable,-
chrV,456325,456326,YER142C,stable,-
chrXI,80803,80804,YKL191W,stable,+
chrXI,80803,80804,YKL192C,stable,-
chrIX,290326,290327,YIL034C,stable,-
chrX,469801,469802,YJR021C,stable,-
chrIII,35624,35625,YCL052C,stable,-
chrIX,364684,364685,YIR005W,stable,+
chrX,573708,573709,YJR075W,stable,+
chrXIII,366997,366998,YMR047C,stable,-
chrIII,250221,250222,YCR076C,stable,-
chrIV,1204422,1204423,YDR364C,stable,-
chrXVI,267805,267806,YPL151C,stable,-
chrII,69780,69781,YBL084C,stable,-
chrIII,40953,40954,YCL049C,stable,-
chrXV,211973,211974,YOL061W,stable,+
chrXIV,552270,552271,YNL041C,stable,-
chrV,349667,349668,YER095W,stable,+
chrXIII,574838,574839,YMR160W,stable,+
chrX,96740,96741,YJL173C,stable,-
chrXIV,148231,148232,YNL263C,stable,-
chrXVI,493280,493281,YPL031C,stable,-
chrXVI,493280,493281,YPL030W,stable,+
chrXV,323215,323216,YOL003C,stable,-
chrVII,310366,310367,YGL104C,stable,-
chrXV,101194,101195,YOL115W,stable,+
chrXI,329697,329698,YKL059C,stable,-
chrXV,231991,231992,YOL052C-A,stable,-
chrIX,343857,343858,YIL007C,stable,-
chrIX,343857,343858,YIL006W,stable,+
chrXII,495446,495447,YLR165C,stable,-
chrVI,184239,184240,YFR019W,stable,+
chrVIII,249895,249896,YHR075C,stable,-
chrIV,602841,602842,YDR079W,stable,+
chrXII,627156,627157,YLR245C,stable,-
chrXIII,616202,616203,YMR177W,stable,+
chrVII,402299,402300,YGL053W,stable,+
chrXII,385621,385622,YLR118C,stable,-
chrVI,153407,153408,YFR003C,stable,-
chrXVI,739806,739807,YPR106W,stable,+
chrXI,317341,317342,YKL064W,stable,+
chrXI,317341,317342,YKL065C,stable,-
chrXI,547939,547940,YKR055W,stable,+
chrVI,194498,194499,YFR021W,stable,+
chrII,497171,497172,YBR130C,stable,-
chrVII,492174,492175,YGL004C,stable,-
chrIX,403458,403459,YIR025W,stable,+
chrXII,136338,136339,YLL006W,stable,+
chrXV,337598,337599,YOR005C,stable,-
chrII,74963,74964,YBL080C,stable,-
chrII,74963,74964,YBL079W,stable,+
chrXIV,227403,227404,YNL224C,stable,-
chrVII,417215,417216,YGL043W,stable,+
chrXI,296163,296164,YKL073W,stable,+
chrXIII,599413,599414,YMR168C,stable,-
chrXV,277798,277799,YOL023W,stable,+
chrIV,531010,531011,YDR038C,stable,-
chrIV,534895,534896,YDR039C,stable,-
chrXIII,645380,645381,YMR191W,stable,+
chrIII,27953,27954,YCL056C,stable,-
chrX,469559,469560,YJR022W,stable,+
chrXV,147121,147122,YOL090W,stable,+
chrXI,329928,329929,YKL058W,stable,+
chrX,157926,157927,YJL134W,stable,+
chrXVI,386682,386683,YPL086C,stable,-
chrXVI,386682,386683,YPL085W,stable,+
chrXV,222985,222986,YOL056W,stable,+
chrXIV,556786,556787,YNL038W,stable,+
chrVIII,213037,213038,YHR053C,stable,-
chrVIII,215035,215036,YHR055C,stable,-
chrXII,454368,454369,YLR154W-C,stable,+
chrIV,778901,778902,YDR161W,fragile,+
chrVIII,85288,85289,YHL009C,fragile,-
chrIV,34143,34144,YDL235C,fragile,-
chrXIV,19456,19457,YNL330C,fragile,-
chrI,119759,119760,YAL017W,fragile,+
chrXIV,258286,258287,YNL206C,fragile,-
chrXII,54103,54104,YLL041C,fragile,-
chrIV,1322068,1322069,YDR427W,fragile,+
chrX,402682,402683,YJL020C,fragile,-
chrXV,813842,813843,YOR260W,fragile,+
chrXV,813842,813843,YOR259C,fragile,-
chrXVI,919186,919187,YPR191W,fragile,+
chrXVI,919186,919187,YPR190C,fragile,-
chrVIII,423594,423595,YHR163W,fragile,+
chrXIII,742870,742871,YMR236W,fragile,+
chrXIII,742870,742871,YMR235C,fragile,-
chrIV,1206538,1206539,YDR365C,fragile,-
chrIV,1206538,1206539,YDR367W,fragile,+
chrXIV,56036,56037,YNL308C,fragile,-
chrII,589303,589304,YBR179C,fragile,-
chrXI,53590,53591,YKL204W,fragile,+
chrXI,299270,299271,YKL072W,fragile,+
chrIV,199874,199875,YDL143W,fragile,+
chrIV,199874,199875,YDL144C,fragile,-
chrXIII,321810,321811,YMR024W,fragile,+
chrXVI,230969,230970,YPL169C,fragile,-
chrXVI,230969,230970,YPL168W,fragile,+
chrVII,49420,49421,YGL238W,fragile,+
chrIII,31304,31305,YCL054W,fragile,+
chrXIII,135342,135343,YML069W,fragile,+
chrII,427610,427611,YBR091C,fragile,-
chrIII,118507,118508,YCR003W,fragile,+
chrIII,118507,118508,YCR002C,fragile,-
chrVII,855037,855038,YGR179C,fragile,-
chrVII,867647,867648,YGR186W,fragile,+
chrVII,867647,867648,YGR185C,fragile,-
chrXVI,458641,458642,YPL053C,fragile,-
chrXVI,458641,458642,YPL052W,fragile,+
chrXIV,394540,394541,YNL123W,fragile,+
chrX,393799,393800,YJL025W,fragile,+
chrIV,371091,371092,YDL046W,fragile,+
chrXI,75696,75697,YKL195W,fragile,+
chrXI,75696,75697,YKL196C,fragile,-
chrXIII,659351,659352,YMR197C,fragile,-
chrIII,289396,289397,YCR095C,fragile,-
chrIV,1294548,1294549,YDR412W,fragile,+
chrIV,1294548,1294549,YDR411C,fragile,-
chrXV,716980,716981,YOR197W,fragile,+
chrXV,716980,716981,YOR196C,fragile,-
chrXVI,593276,593277,YPR016C,fragile,-
chrXII,76932,76933,YLL032C,fragile,-
chrI,76305,76306,YAL035W,fragile,+
chrI,76305,76306,YAL036C,fragile,-
chrXIV,457533,457534,YNL088W,fragile,+
chrXII,399519,399520,YLR129W,fragile,+
chrXV,77422,77423,YOL129W,fragile,+
chrXII,751921,751922,YLR309C,fragile,-
chrXIV,408177,408178,YNL116W,fragile,+
chrIX,122292,122293,YIL125W,fragile,+
chrII,568656,568657,YBR165W,fragile,+
chrII,568656,568657,YBR164C,fragile,-
chrIV,1288144,1288145,YDR407C,fragile,-
chrXI,571334,571335,YKR069W,fragile,+
chrIII,52529,52530,YCL039W,fragile,+
chrXI,559478,559479,YKR062W,fragile,+
chrXI,493773,493774,YKR028W,fragile,+
chrXIV,525919,525920,YNL054W,fragile,+
chrXVI,254627,254628,YPL157W,fragile,+
chrXVI,326433,326434,YPL119C,fragile,-
chrXVI,326433,326434,YPL118W,fragile,+
chrIV,98303,98304,YDL202W,fragile,+
chrIV,98303,98304,YDL203C,fragile,-
chrIV,618442,618443,YDR087C,fragile,-
chrIV,403549,403550,YDL028C,fragile,-
chrXIV,699581,699582,YNR040W,fragile,+
chrXIV,699581,699582,YNR039C,fragile,-
chrVIII,374525,374526,YHR135C,fragile,-
chrXVI,696973,696974,YPR075C,fragile,-
chrXV,721809,721810,YOR201C,fragile,-
chrXV,721809,721810,YOR202W,fragile,+
chrIX,77431,77432,YIL145C,fragile,-
chrVII,307301,307302,YGL105W,fragile,+
chrXII,579163,579164,YLR221C,fragile,-
chrXII,327582,327583,YLR093C,fragile,-
chrII,578228,578229,YBR170C,fragile,-
chrII,578228,578229,YBR171W,fragile,+
chrVII,1022486,1022487,YGR266W,fragile,+
chrXVI,138542,138543,YPL218W,fragile,+
chrIV,245714,245715,YDL121C,fragile,-
chrIV,245714,245715,YDL120W,fragile,+
chrXV,86877,86878,YOL124C,fragile,-
chrVIII,493755,493756,YHR197W,fragile,+
chrXII,73294,73295,YLL033W,fragile,+
