CHR|S288C|YJM975|RM11
CHR10|541792-542502|552863-553482|525507-526000
CHR10|542956-543044|553643-554298|528165-528874
CHR10|544062-544712|554529-555718|529331-529417
CHR10|544732-545175|555903-557149|529417-529418
CHR10|545787-548243|557803-558737|530332-530981
CHR10|548759-549814|559408-560753|531002-531444
CHR10|550511-553318|560768-560969|532057-534512
CHR10|553476-554849|561775-562152|535027-536081
CHR10|555195-555572|562455-562795|536779-539585
CHR10|555914-557602|563147-564075|539744-541116
CHR10|557809-559158|564272-565542|541462-541838
CHR10|559416-566828|565660-565976|542181-543868
CHR10|567019-567444|566608-566939|544076-545424
CHR10|567643-568704|567034-567911|545683-553094
CHR10|568806-569399|568257-571120|553286-553710
CHR10|569621-570598|571411-574853|553910-554970
CHR10|570967-572124|575588-578862|555073-555665
CHR10|572315-572935|579262-583604|555887-556863
CHR10|573095-573751|583747-584729|557233-558389
CHR10|573981-575171|585094-586175|558581-559200
CHR10|575354-576601|586461-587947|559361-560016
CHR10|577255-578190|588834-589385|560247-561436
CHR10|578860-580205|590301-591268|561621-562867
CHR10|580221-580432|591721-592568|563519-564453
CHR10|581239-581616|592939-593456|565124-566469
CHR10|581914-582255|593712-595681|566484-566696
CHR10|582608-583537|596102-596811|567502-567879
CHR10|583733-585004|596877-597859|568178-568518
CHR10|585120-585437|598444-598445|568870-569798
CHR10|586068-586400|598445-598543|569995-571265
CHR10|586495-587373|598761-599560|571383-571699
CHR10|587718-590582|599684-600291|572331-572662
CHR10|590872-594327|601266-603001|572758-573635
CHR10|595061-598336|603062-603525|573981-576844
CHR10|598735-603078|604093-605114|577135-580577
CHR10|603220-604203|605350-607526|581312-584586
CHR10|604569-605651|607853-608837|584986-589328
CHR10|605936-607424|609596-609875|589471-590453
CHR10|608305-608858|610380-613735|590818-591899
CHR10|609773-610741|614410-616475|592185-593671
CHR10|611195-612043|616654-617504|594558-595109
CHR10|612413-612931|617829-618433|596025-596992
CHR10|613186-615156|618589-618966|597446-598293
CHR10|615576-616286|619031-619773|598664-599181
CHR10|616351-617334|620735-621233|599437-601406
CHR10|617919-618019|621609-622447|601827-602536
CHR10|618234-619034|622791-624151|602602-603584
CHR10|619157-619765|624274-624884|604169-604170
CHR10|620754-622490|625088-627273|604170-604268
CHR10|622550-623014|627911-628260|604485-605284
CHR10|623581-624603|628392-629926|605408-606015
CHR10|624838-627015|630561-632053|606989-608724
CHR10|627340-628326|632686-633362|608785-609248
CHR10|628712-629083|633678-635023|609816-610837
CHR10|629585-632941|635523-636748|611073-613249
CHR10|633615-635681|637040-639476|613576-614560
CHR10|635855-636706|639705-643709|615319-615598
CHR10|637030-637635|643846-644067|616103-619458
CHR10|637790-638168|644537-644729|620133-622198
CHR10|638232-638975|644788-645806|622373-623223
CHR10|639942-640451|646006-647924|623548-624152
CHR10|640825-641664|648436-650084|624308-624685
CHR10|642007-643368|650314-653459|624750-625492
CHR10|643490-644101|653782-654410|626441-626945
CHR10|644304-646490|654520-656642|627321-628159
CHR10|647126-647476|656850-657568|628503-629863
CHR10|647607-649142|657762-658024|629986-630596
CHR10|649776-651269|658230-659494|630800-632985
CHR10|651901-652578|659746-664073|633623-633972
CHR10|652892-654238|665356-670109|634104-635638
CHR10|654737-655963|670234-671312|636273-637765
CHR10|656254-658689|671539-676484|638398-639074
CHR10|658917-662921|676695-677737|639389-640734
CHR10|663059-663280|677929-678956|641234-642459
CHR10|663749-663942|679114-681401|642751-645187
CHR10|664000-665019|681670-682478|645416-649420
CHR10|665218-667137|682818-683860|649557-649778
CHR10|667644-669293|684678-684989|650248-650440
CHR10|669522-672668|685030-686064|650499-651517
CHR10|672991-673620|686536-687665|651717-653635
CHR10|673729-675852|687952-689165|654145-655793
CHR10|676059-676778|689603-690498|656023-659168
CHR10|676971-677234|693426-695019|659491-660119
CHR10|677441-678706|698015-698064|660229-662351
CHR10|678957-683285|700105-701734|662559-663277
CHR10|684567-689321|703253-704337|663471-663733
CHR10|689445-690524|706223-707262|663943-665207
CHR10|690750-695696|707844-708709|665459-669786
CHR10|695906-696949|719705-719841|671069-675822
CHR10|697141-698169||675947-677025
CHR10|700882-701691|--|682408-683450
CHR10|702027-703068|--|683643-684670
CHR10|703885-704196|--|684828-687115
CHR10|704238-705272|--|687384-688192
CHR10|705744-706874|--|688518-689560
CHR10|707160-708374|--|690378-690689
CHR10|708811-709707|--|690730-691764
CHR10|712255-715740|--|692236-693365
CHR10|717580-717630|--|693652-694865
CHR10|719666-721297|--|695303-696198
CHR10|722815-723900|--|698744-701055
CHR10|725784-726824|--|704042-704091
CHR10|727405-728271|--|706135-707765
CHR10|728574-729596|--|709283-710367
CHR10|732440-734143|--|712252-713291
CHR10|736044-737117|--|713873-714738
CHR10|738008-739816|--|715042-716062
CHR10|742848-743999|--|716062-716063
CHR10||--|723479-723574
CHR10|--|--|
CHR11|0-1810|0-154|0-8628
CHR11|2181-3503|382-1167|9001-10324
CHR11|5620-6107|3283-3771|12440-12928
CHR11|7528-9091|5191-6752|14348-15908
CHR11|11226-14485|8886-12147|18042-21303
CHR11|15708-17359|13369-15019|22525-24173
CHR11|18339-22234|15998-19893|25152-29038
CHR11|24084-25215|21742-22861|30887-32006
CHR11|26159-26827|23804-24461|32949-33606
CHR11|30687-31082|28320-28716|37465-37861
CHR11|31693-31960|29326-29594|38471-38739
CHR11|34107-34543|31740-32177|40885-41322
CHR11|36414-36699|34047-34335|43192-43482
CHR11|38153-38811|35788-36445|44935-45592
CHR11|38911-39163|36542-36795|45689-45942
CHR11|42237-42423|39868-40057|49015-49204
CHR11|46295-46735|43927-44369|53074-53516
CHR11|46806-47157|44439-44791|53586-53938
CHR11|47972-48194|45605-45828|54752-54975
CHR11|48955-49006|46588-46640|55735-55787
CHR11|49809-50051|47442-47685|56589-56832
CHR11|53353-53704|50986-51338|60133-60485
CHR11|55602-55935|53235-53569|62382-62716
CHR11|63359-63930|60992-61565|70139-70759
CHR11|67466-68232|65079-65844|74280-75046
CHR11|70220-70734|67834-68349|77036-77551
CHR11|73865-74624|71479-72554|80681-81441
CHR11|74697-74932|73155-73443|81441-81442
CHR11|75534-75821|74653-74882|81442-81513
CHR11|77032-77258|76269-76499|81513-81514
CHR11|78646-78866|77514-77793|81514-81756
CHR11|79882-80160|78169-78669|82357-82645
CHR11|80537-81035|80272-80581|83855-84082
CHR11|82639-82947|81181-82337|85469-85699
CHR11|83550-84208|83535-83858|86714-86993
CHR11|84291-84704|86418-86921|87369-87869
CHR11|85903-86225|89171-90386|89472-89781
CHR11|88786-89284|90939-92141|90381-91537
CHR11|91536-92744|93906-94400|92735-93058
CHR11|93298-94499|95799-96037|95618-96121
CHR11|96265-96757|96248-96362|98371-99587
CHR11|98157-98395|97281-98312|100140-101342
CHR11|98607-98721|104466-104957|103107-103601
CHR11|99641-100671|106239-106910|105000-105238
CHR11|106826-107316|107769-108105|105449-105563
CHR11|108599-109269|110143-110855|106482-107513
CHR11|110129-110464|112266-113152|113667-114158
CHR11|112503-113215|115637-116445|115440-116111
CHR11|114627-115500|117955-118032|116970-117306
CHR11|117986-118793|119887-120170|119344-120056
CHR11|120304-120380|123195-123412|121467-122349
CHR11|122236-122517|124691-125125|124834-125642
CHR11|125543-125759|127910-128284|127152-127229
CHR11|127042-127475|128699-128938|129084-129366
CHR11|130261-130634|131111-131371|132391-132608
CHR11|131050-131288|131783-132159|133887-134321
CHR11|133462-133721|133354-135577|137106-137480
CHR11|134134-134509|138335-139438|137895-138134
CHR11|135705-137932|140462-142418|140307-140567
CHR11|140691-141018|143134-145389|140979-141355
CHR11|141089-141794|146596-147147|142550-144773
CHR11|142819-144401|148445-151028|147531-148634
CHR11|145378-147630|151464-151575|149658-151506
CHR11|148838-149386|152209-152750|152165-154420
CHR11|150687-153269|155990-156372|155627-156178
CHR11|153706-153816|156970-157215|157476-160059
CHR11|154451-154991|159100-159360|160495-160606
CHR11|158232-158613|160093-161401|161240-161781
CHR11|159212-159456|162143-162664|165021-165403
CHR11|161342-161601|163676-164291|166001-166246
CHR11|162335-162487|165198-165359|168131-168391
CHR11|162558-163642|166575-166954|169124-170432
CHR11|164385-164917|168875-169531|171174-171705
CHR11|165930-166544|171608-171961|172717-173332
CHR11|167452-167612|173363-173591|174239-174400
CHR11|168829-169207|174228-174529|175616-175995
CHR11|171129-171783|175919-176263|177916-178572
CHR11|173861-174213|176921-177418|180649-181002
CHR11|175616-175843|178013-178530|182404-182632
CHR11|176481-176781|180175-180710|183269-183570
CHR11|178172-178515|182277-182579|184960-185304
CHR11|179174-179667|182787-183062|185962-186463
CHR11|180263-180779|183456-183733|187058-187575
CHR11|182425-182958|184067-184236|189220-189755
CHR11|184544-184803|186415-186901|191321-191623
CHR11|185012-185286|189218-189456|191831-192107
CHR11|185681-185957|190846-191351|192500-192777
CHR11|186292-186460|192642-193064|193111-193280
CHR11|188640-189124|193803-194120|195459-195945
CHR11|191442-191679|197931-198649|198262-198500
CHR11|193070-193574|199535-200966|199890-200395
CHR11|194866-195288|202677-203132|201686-202108
CHR11|196028-196349|205173-205672|202847-203164
CHR11|200167-200884|207554-208018|206975-207699
CHR11|201771-202999|209756-209922|208585-210016
CHR11|203071-203541|210424-211572|211727-212182
CHR11|205253-205707|214129-214772|214223-214722
CHR11|207749-208247|215745-215999|216604-217068
CHR11|210130-210593|216645-217754|218806-218972
CHR11|212332-212495|218403-218774|219474-220622
CHR11|212998-214142|220329-220782|223179-223821
CHR11|216700-217344|221884-222157|224794-225047
CHR11|218318-218570|223304-223991|225693-226803
CHR11|219217-219895|226185-226360|227452-227824
CHR11|219967-220324|227300-229645|229379-229833
CHR11|220974-221344|231305-231842|230935-231208
CHR11|222900-223352|233211-233566|232355-233042
CHR11|224455-224727|234494-234572|235236-235411
CHR11|225875-226570|234690-234963|236351-238695
CHR11|228765-228939|236317-236612|240355-240888
CHR11|229880-232227|239997-240635|242257-242612
CHR11|233891-234426|242787-243552|243540-243618
CHR11|235787-236141|245095-245481|243736-244008
CHR11|237070-237147|245785-246340|245362-245657
CHR11|237266-237536|250895-251117|249042-249680
CHR11|238891-239185|252879-253140|251832-252597
CHR11|242583-243220|253891-254190|254140-254526
CHR11|245373-246138|255262-255923|254830-255385
CHR11|247682-248062|256331-256494|259940-260162
CHR11|248367-248920|256641-256673|261924-262185
CHR11|253476-253697|256950-258551|262936-263235
CHR11|255460-255720|259269-259697|264307-264968
CHR11|256472-256770|260532-260769|265376-265539
CHR11|257843-258503|261709-262209|265686-265718
CHR11|258913-259073|263227-263565|265995-267596
CHR11|259222-259253|266878-267138|268314-268742
CHR11|259531-261132|268069-269298|269577-269814
CHR11|261851-262277|270628-270815|270754-271254
CHR11|263113-263349|272469-272710|272272-272609
CHR11|264290-264789|274424-274617|275922-276182
CHR11|265808-266145|275290-275709|277113-278342
CHR11|269459-269718|276091-276551|279672-279859
CHR11|270650-271878|277554-277937|281513-281754
CHR11|273209-273394|278286-278451|283468-283661
CHR11|275043-275283|279754-280317|284334-284753
CHR11|276998-277189|280611-280704|285135-285595
CHR11|277863-278281|281880-282454|286598-286981
CHR11|278664-279123|283631-284027|287330-287495
CHR11|280127-280509|285996-286269|288798-289361
CHR11|280859-281025|288475-288877|289655-289748
CHR11|282329-282891|290054-290380|290924-291497
CHR11|283185-283279|291731-292034|292674-293070
CHR11|284455-285030|293616-293854|295039-295312
CHR11|286208-286603|296498-297006|297518-297920
CHR11|288573-288845|299305-302557|299097-299423
CHR11|291052-291453|303326-303654|300774-301077
CHR11|292631-292956|304162-304727|302659-302897
CHR11|294308-294610|305268-306644|305541-306049
CHR11|296193-296430|306879-308715|308348-309403
CHR11|299075-299582|310627-311705|309404-309507
CHR11|301882-302918|312165-312847|309508-311600
CHR11|303023-305114|313067-313328|312369-312697
CHR11|305884-306211|313947-314658|313205-313770
CHR11|306720-307285|317566-317902|314311-315687
CHR11|307827-308144|318404-320115|315922-317758
CHR11|308217-309206|322006-322658|319670-319996
CHR11|309442-310199|322998-323295|319996-319997
CHR11|313078-313401|324373-325005|320067-320748
CHR11|313472-314812|326329-327053|321208-321890
CHR11|315273-315954|327420-327743|322110-322371
CHR11|316175-316437|330855-331299|322990-323701
CHR11|317057-317764|331801-332209|326609-326953
CHR11|320673-321015|333044-333423|327455-329166
CHR11|321518-323228|335620-336050|331057-331709
CHR11|325120-325771|336309-336536|332049-332346
CHR11|326112-326408|337413-338161|333424-334056
CHR11|327487-328118|339221-339701|335380-336104
CHR11|329443-330166|342468-342924|336471-336794
CHR11|330534-330856|343612-344063|339906-340350
CHR11|333969-334412|345984-346312|340852-341256
CHR11|334915-335321|347861-348124|342091-342470
CHR11|336157-336537|349472-350342|344685-345115
CHR11|338753-339182|351927-353170|345374-345601
CHR11|339442-339668|353489-353596|346478-347245
CHR11|340546-341312|354695-355325|348305-348785
CHR11|342373-342852|356415-356993|351552-352008
CHR11|345620-346075|357666-357908|352696-353147
CHR11|346764-347214|358677-359472|355068-355396
CHR11|349136-349463|361042-361626|356945-357209
CHR11|351013-351275|361725-362455|358557-359427
CHR11|352624-353493|365966-366215|361012-362256
CHR11|355079-356322|366570-366741|362575-362682
CHR11|356642-356748|368239-368679|363781-364409
CHR11|357848-358475|370954-371351|365499-366077
CHR11|359566-360143|372060-372302|366750-366992
CHR11|360817-361058|375417-377259|367761-368556
CHR11|361828-362622|379027-379888|370126-370710
CHR11|364193-364776|381896-382928|370809-371539
CHR11|364876-365605|384357-384721|375050-375299
CHR11|369117-369365|386063-386724|375654-375825
CHR11|369721-369891|387226-387584|377323-377763
CHR11|371390-371829|389622-389870|380038-380435
CHR11|374105-374505|390483-390490|381144-381386
CHR11|375215-375456|390716-391064|384501-386341
CHR11|378572-379680|391908-392081|388112-388970
CHR11|379753-380065|394602-394699|390978-392008
CHR11|381858-382716|396104-396187|393437-393801
CHR11|384725-385758|399434-399923|395143-395804
CHR11|387206-387562|400872-400935|396306-396664
CHR11|388905-389380|401233-401457|398702-398950
CHR11|389883-390240|402445-402545|399563-399570
CHR11|392279-392526|404595-404820|399796-400144
CHR11|393140-393146|405343-405900|400988-401161
CHR11|393373-393721|408838-408977|403682-403779
CHR11|394554-394726|414270-414866|405184-405267
CHR11|397248-397344|415380-415668|408514-409003
CHR11|398750-398832|417416-417513|409952-410015
CHR11|402080-402568|418573-418782|410313-410537
CHR11|403518-403580|423232-423600|411525-411625
CHR11|403879-404102|424309-424652|413675-413900
CHR11|405091-405190|425907-426658|414423-414980
CHR11|407241-407465|427463-427554|417918-418057
CHR11|407989-408544|427988-428388|423350-423946
CHR11|411483-411619|428495-429250|424460-424748
CHR11|416913-417508|430062-430433|426496-426593
CHR11|418023-418310|432216-432920|427653-427862
CHR11|420061-420155|434124-434437|432312-432680
CHR11|421216-421424|434831-435118|433389-433732
CHR11|425875-426242|435883-436117|434987-435736
CHR11|426952-427295|436724-437948|436541-436632
CHR11|428551-429302|440061-440572|437066-437465
CHR11|430108-430198|442277-442720|437572-438326
CHR11|430632-431030|444065-444138|439138-439509
CHR11|431138-431906|445374-445860|441292-441996
CHR11|432720-433093|447505-447762|443200-443513
CHR11|434877-435580|448555-448773|443907-444194
CHR11|436785-437097|449320-449534|444959-445193
CHR11|437492-437778|451410-451685|445800-447024
CHR11|438544-438777|454386-455920|449137-449648
CHR11|439385-440608|458234-458631|451353-451797
CHR11|442722-443232|459691-460956|453142-453215
CHR11|444938-445381|461980-462405|454451-454937
CHR11|446727-446799|463108-463999|456582-456839
CHR11|448036-448521|465704-466758|457632-457850
CHR11|450167-450423|468377-468733|458397-458611
CHR11|451217-451434|470387-470763|460487-460762
CHR11|451988-452201|472939-473254|463463-468027
CHR11|454078-454352|475100-475376|468027-469853
CHR11|457054-458557|475869-476272|469853-470961
CHR11|458670-458924|479018-479209|473275-473672
CHR11|461239-461635|480176-480457|474732-475995
CHR11|462696-463959|482048-482182|476983-477405
CHR11|464948-465367|484409-484808|478108-478999
CHR11|466071-466961|485655-485776|480704-481758
CHR11|468667-469717|486692-488404|483377-483733
CHR11|471339-471694|490700-491297|485387-485763
CHR11|473349-473723|494397-494618|487939-488254
CHR11|475900-476216|496872-497322|490100-490376
CHR11|478063-478338|498142-498384|490869-491272
CHR11|478832-479234|503434-503557|494018-494209
CHR11|481981-482171|503876-503944|495176-495457
CHR11|483139-483419|504752-504985|497048-497182
CHR11|485011-485144|505598-505748|499409-499808
CHR11|487372-487770|507684-507963|500655-500776
CHR11|488618-488738|508849-509052|501692-503007
CHR11|489655-490968|510211-512078|503078-503079
CHR11|491040-491364|513885-514870|503079-503404
CHR11|493661-494257|515621-516199|505700-506299
CHR11|497358-497578|517286-517560|509399-509620
CHR11|499833-500282|518374-518678|511874-512324
CHR11|501103-501344|520008-520081|513144-513386
CHR11|506395-506517|520640-520902|518436-518559
CHR11|506831-506898|521752-522065|518878-518946
CHR11|507707-507939|523317-523508|519754-519987
CHR11|508553-508702|523908-524495|520600-520750
CHR11|510633-510910|527163-527625|522686-522965
CHR11|511797-511999|528880-529228|523851-524054
CHR11|513159-513332|530141-530745|525213-527080
CHR11|513403-515063|531958-532325|528887-529872
CHR11|516871-517988|544602-544894|530623-531201
CHR11|518060-518198|545768-546126|532288-532562
CHR11|518950-519527|548043-548334|533376-533680
CHR11|520624-520897|548917-549446|535010-535083
CHR11|521712-522015|551295-551663|535627-535888
CHR11|523346-523418|552849-553193|536738-537057
CHR11|523969-524223|554016-554352|538309-538500
CHR11|525074-525387|555628-555691|538900-539487
CHR11|526640-526830|556040-556341|542155-542617
CHR11|527231-527815|557326-557464|543872-544220
CHR11|530484-530946|558971-559222|545133-545737
CHR11|532202-532550|561812-561975|546950-547317
CHR11|533464-534067|562567-562788|559594-559886
CHR11|535281-535647|563878-564599|560760-561118
CHR11|547925-548216|566829-567004|563036-563327
CHR11|549091-549448|567584-568295|563910-564439
CHR11|551367-551657|570075-570257|566288-566656
CHR11|552242-552770|571314-571616|567842-568186
CHR11|554620-554987|572661-573115|569009-569345
CHR11|556174-556518|574793-574858|570621-570684
CHR11|557342-557677|575177-575880|571033-571334
CHR11|558954-559016|576346-576502|572319-572457
CHR11|559366-559666|577424-578957|573964-574215
CHR11|560652-560789|580068-580327|576805-576968
CHR11|562297-562547|581417-581626|577560-577781
CHR11|565138-565299|583382-583463|578868-579585
CHR11|565892-566113|585978-587070|581815-581990
CHR11|567198-567918|588031-588181|582570-583281
CHR11|570149-570328|589214-589500|585061-585243
CHR11|570909-571612|592972-593096|586300-586602
CHR11|573393-573574|593496-593731|587647-588101
CHR11|574632-574934|595565-595770|589788-589853
CHR11|575980-576435|596356-596533|590172-590630
CHR11|578123-578187|599747-599871|590631-590724
CHR11|578507-578965|600907-601081|590725-590875
CHR11|579060-579209|602093-602309|591341-591497
CHR11|579676-579827|605040-605622|592419-593953
CHR11|580750-582283|607741-608201|595064-595323
CHR11|583395-583653|608940-609340|596413-596622
CHR11|584744-584952|610499-612349|598378-598459
CHR11|586709-586789|614153-614614|600974-602066
CHR11|589305-590395|615367-616421|603027-603177
CHR11|591357-591506|622047-622483|604210-604496
CHR11|592540-592825|622823-623415|607968-608092
CHR11|596298-596421|626998-627769|608492-608727
CHR11|596822-597055|629417-629652|610561-610766
CHR11|598890-599094|631804-632478|611352-611529
CHR11|599681-599857|634912-635529|614743-614867
CHR11|603072-603195|636595-637168|615903-616077
CHR11|604232-604405|639131-644443|617089-617305
CHR11|605418-605633|646216-649431|620036-620618
CHR11|608365-608946|653085-653187|622737-623197
CHR11|611066-611525|654106-720187|623936-624338
CHR11|612265-612665||625497-627350
CHR11|617535-617996|--|629771-629989
CHR11|618750-619805|--|630366-631420
CHR11|625432-625864|--|637046-637482
CHR11|626205-626793|--|637822-638415
CHR11|630380-631152|--|641998-642769
CHR11|632801-633026|--|644417-644650
CHR11|635179-635851|--|646802-647479
CHR11|638286-638901|--|649913-650530
CHR11|639968-640540|--|651596-652169
CHR11|642504-658716|--|654132-659925
CHR11|660464-661442|--|661554-730198
CHR11|663289-745751|--|
CHR12|0-585|0-482|0-3567
CHR12|4301-5605|633-3039|4990-5558
CHR12|5775-6120|4462-5030|6531-6875
CHR12|9836-13083|6003-6347|8625-10042
CHR12|13445-14648|8097-9524|10739-12466
CHR12|16072-16639|10221-11948|14192-14652
CHR12|17613-17956|13674-14134|15889-16312
CHR12|19707-21138|15371-15794|17207-19012
CHR12|21839-23569|16689-18494|20604-21573
CHR12|25296-25756|20088-21057|24103-24403
CHR12|26994-27409|23587-23887|24812-24860
CHR12|28305-30109|24296-24344|25260-26233
CHR12|31704-32673|24744-25717|28370-28704
CHR12|35204-35503|27854-28188|29313-29566
CHR12|35912-35961|28797-29050|30104-30180
CHR12|36361-37333|29588-29668|35164-35615
CHR12|39471-39804|34652-35101|36361-36758
CHR12|40414-40666|35849-36246|37527-38834
CHR12|41205-41280|37015-38312|40842-40983
CHR12|46265-46714|40320-40461|41485-42026
CHR12|47463-47859|40963-41505|42825-43106
CHR12|48629-49938|42304-42585|52539-52958
CHR12|51947-52087|52018-52666|54102-54672
CHR12|52590-53131|53806-54376|55414-55642
CHR12|53931-54211|55118-55347|57152-57482
CHR12|63645-64062|56857-57187|59379-59535
CHR12|65207-65775|59084-59240|62047-62311
CHR12|66518-66745|61752-62016|63002-63172
CHR12|68256-68580|62707-62877|65648-66053
CHR12|70478-70633|65353-65759|69104-69256
CHR12|73146-73409|68811-68963|69596-70366
CHR12|74101-74270|69303-70071|72614-73709
CHR12|76747-77152|72319-73414|75468-76303
CHR12|80205-80356|75173-76012|77054-77523
CHR12|80697-81461|76763-77232|80248-83645
CHR12|83710-84804|79957-83354|84018-84462
CHR12|86564-87403|83727-84172|86380-86893
CHR12|88155-88623|86090-86603|87731-87940
CHR12|91349-92548|87441-87650|89096-89842
CHR12|92650-94747|88806-89552|92695-94741
CHR12|95121-95566|92405-94453|96953-97732
CHR12|97485-97997|96665-97443|98027-98960
CHR12|98836-99044|97738-98670|100632-105484
CHR12|100201-100947|100342-105194|110162-110374
CHR12|105347-105686|109872-110084|110699-111127
CHR12|107899-108676|110409-110835|113765-114581
CHR12|108972-109902|112285-114329|116301-116569
CHR12|111575-116432|116049-116316|118037-118375
CHR12|121111-121322|117784-118130|119645-120248
CHR12|121648-122075|119409-120000|120456-120772
CHR12|124714-125534|120208-120525|123035-123351
CHR12|127255-127523|122791-123107|125347-125394
CHR12|128992-129330|125103-125150|125568-125634
CHR12|130613-131205|125324-125390|126913-126987
CHR12|131414-131729|126669-126743|129592-130121
CHR12|133987-134302|129348-129876|131970-132249
CHR12|136299-136345|131725-132004|135088-135339
CHR12|136521-136586|134843-135094|136648-136938
CHR12|137866-137940|136403-136693|139210-140437
CHR12|140546-141073|138965-140192|143024-143391
CHR12|142923-143201|142779-143146|145381-145903
CHR12|146041-146291|145136-145658|146778-146983
CHR12|147601-147890|146532-146737|148553-149098
CHR12|150163-151389|148307-148852|150482-150799
CHR12|153977-154343|150236-150559|152936-153436
CHR12|156334-156855|152696-153196|154445-154621
CHR12|157730-157934|154205-154381|155126-155581
CHR12|159505-160049|154886-155341|156179-156364
CHR12|161434-161755|155939-156124|156845-158147
CHR12|163893-164392|156605-157907|158721-159026
CHR12|165402-165577|158481-158786|159324-160391
CHR12|166083-166537|159084-160153|160815-161312
CHR12|167136-167320|160577-161080|164025-164271
CHR12|167802-167944|163793-164039|165787-165846
CHR12|168025-169103|165555-165614|166459-166652
CHR12|169678-169982|166227-166420|167664-167751
CHR12|170281-171339|167432-167519|168649-169332
CHR12|171764-172268|168417-169100|170524-170833
CHR12|174982-175227|170292-170601|172448-172667
CHR12|176744-176802|172216-172435|173205-173218
CHR12|177416-177608|172973-172986|173969-174542
CHR12|178621-178707|173737-174310|176172-176706
CHR12|179606-180288|175940-176473|182323-183496
CHR12|181481-181789|182090-183262|184217-184492
CHR12|183405-183623|183983-184258|185513-185868
CHR12|184162-184174|185279-185632|187123-187823
CHR12|184926-185498|186887-187587|188427-188579
CHR12|187129-187663|188191-188343|190353-191015
CHR12|193281-194452|190117-190779|191628-192329
CHR12|195174-195450|191392-192093|193120-193265
CHR12|196472-196829|192884-193029|193824-194031
CHR12|198085-198784|193588-193795|197539-197801
CHR12|199389-199540|197306-197568|199308-199552
CHR12|201315-201976|199075-199319|200972-201409
CHR12|202590-203290|200739-201177|203495-204630
CHR12|204081-204225|203263-204398|205240-205794
CHR12|204785-204991|205008-205562|206167-208030
CHR12|208500-208761|205935-207798|208280-208535
CHR12|210269-210512|208048-208303|211704-212017
CHR12|211933-212369|211472-211785|212690-213073
CHR12|214456-214883|212458-212843|213557-214809
CHR12|214955-215440|213327-214580|215119-215497
CHR12|218907-221521|214890-215268|217187-218144
CHR12|222132-222685|216958-217915|220809-221108
CHR12|223059-224921|220580-220879|221919-222454
CHR12|225172-225426|221690-222225|224513-225336
CHR12|228596-228908|224284-225107|226452-226984
CHR12|229582-229966|226223-226755|228269-228679
CHR12|230451-231702|228040-228452|229163-229415
CHR12|232013-232390|228936-229188|230067-230292
CHR12|234081-235037|229840-230065|231043-231191
CHR12|237703-238001|230816-230964|231516-231805
CHR12|238813-239347|231289-231578|234065-234361
CHR12|241407-242232|233838-234132|236162-236944
CHR12|243349-243886|235933-236716|238040-238389
CHR12|245172-245587|237812-238161|240937-241075
CHR12|246072-246324|240709-240847|242483-242820
CHR12|246977-247201|242255-242594|243628-244062
CHR12|247953-248100|243402-243836|245848-246276
CHR12|248426-248717|245622-246050|247026-247227
CHR12|250978-251272|246803-247011|248323-248526
CHR12|253080-253861|248107-248310|249346-249443
CHR12|254958-255306|249130-249227|249987-250239
CHR12|257855-257992|249771-250023|250792-250883
CHR12|259401-259738|250576-250667|253779-254078
CHR12|260547-260979|253563-253862|254532-254700
CHR12|262766-263194|254316-254484|256984-257207
CHR12|263948-264157|256768-256991|258276-258444
CHR12|265254-265456|258060-258229|261691-261928
CHR12|266277-266373|261476-261713|264008-264089
CHR12|266918-267169|263793-263874|264690-265029
CHR12|267723-267813|264475-264814|265528-265996
CHR12|270710-271008|265313-265783|266660-266941
CHR12|271463-271630|266447-266728|268691-268805
CHR12|273915-274141|268478-268592|269627-269889
CHR12|275211-275378|269414-269676|270742-270985
CHR12|278626-278862|270529-270772|272318-273280
CHR12|280943-281019|272105-273067|275003-275463
CHR12|281621-281956|274790-275250|276640-277159
CHR12|282456-282927|276427-276946|279161-279656
CHR12|283592-283872|278948-279444|283317-283740
CHR12|285623-285736|283105-283528|285055-285310
CHR12|286559-286820|284843-285098|289565-289919
CHR12|287674-287916|289353-289707|298796-299173
CHR12|289250-290212|298582-298959|301016-301303
CHR12|291936-292394|300802-301089|303080-303765
CHR12|293572-294091|302866-303551|305143-305357
CHR12|296094-296589|304929-305145|306237-306604
CHR12|300251-300673|306025-306392|309284-309572
CHR12|301989-302243|309072-309360|310473-310788
CHR12|306499-306855|310261-310585|312295-312735
CHR12|315731-316107|312092-312532|315178-315653
CHR12|317951-318237|314975-315450|319095-319294
CHR12|320015-320701|318892-319091|320327-320590
CHR12|322080-322297|320124-320387|322535-322797
CHR12|323178-323544|322332-322594|323980-324378
CHR12|326225-326513|323777-324175|324640-324863
CHR12|327415-327730|324437-324660|325905-326023
CHR12|329238-329677|325702-325820|326819-327042
CHR12|332115-332590|326616-326839|328993-329638
CHR12|336033-336231|328790-329435|330032-330100
CHR12|337265-337527|329829-329897|331232-331480
CHR12|339473-339744|331029-331277|331562-332052
CHR12|340928-341325|331359-331852|346783-347162
CHR12|341588-341810|346583-346962|348375-349281
CHR12|342853-342970|348175-349081|349391-349713
CHR12|343767-343989|349191-349513|351169-351827
CHR12|345941-346585|350969-351627|352356-352742
CHR12|346980-347047|352156-352544|353142-353436
CHR12|348180-348427|352944-353238|353764-353833
