SNP,Chr,Pos,Effect,SE,HUG1_PGM2_MTX_Trifluoperazine_avg_logratio_Fitness_minus_ref.GLM,locus_id,name,sgd_id,snps_class_up,snps_class_down,description,genome_annotations
7548,12,130771,0.048896455710234,0.17957654583273,0.78556013270531,YLL010C,PSR1,SGDID:S000003933,Close to 3'-UTR,Close to 3'-UTR,"""Plasma membrane-associated protein phosphatase; involved in the general stress response and the inactivating dephosphorylation of Mep2p; required along with binding partner Whi2p for full activation of STRE-mediated gene expression ; possibly through Msn2p dephosphorylation ; and for inhibition of TORC1 in response to limiting amino acids; regulates the sodium ion stress response with Psr2p; member of the HAD family of protein phosphatases""",Verified ORF
7549,12,130928,0.0314700465224003,0.180811600542845,0.86192686174177,YLL010C_NFR/NDR,,,Promoter,Promoter,fragile,Promoter
7550,12,131003,0.0250603181778928,0.180199327089528,0.889474149423287,YLL010C_NFR/NDR,,,Promoter,Promoter,fragile,Promoter
7551,12,131008,0.0336416149206546,0.180756828756528,0.852461233239103,YLL010C_NFR/NDR,,,Promoter,Promoter,fragile,Promoter
7552,12,131340,0.0717330160864882,0.180623352031547,0.69150318155398,YLL009C,COX17,SGDID:S000003932,ORF,Verified ORF,"""Copper metallochaperone that transfers copper to Sco1p and Cox11p; eventual delivery to cytochrome c oxidase; contains twin cysteine-x9-cysteine motifs; interacts with the MICOS complex ; and interaction is promoted by copper ions; human homolog COX17 partially complements yeast null mutant""",Verified ORF
7553,12,131587,-0.0830478434143971,0.182337734526692,0.64905718316767,YLL008W_NFR/NDR,,,Promoter,Promoter,fragile,Promoter
7554,12,132130,-0.0576412319322572,0.180263928507816,0.749339275915733,YLL008W,DRS1,SGDID:S000003931,ORF,Verified ORF,"""Nucleolar DEAD-box protein required for ribosome assembly and function; including synthesis of 60S ribosomal subunits; constituent of 66S pre-ribosomal particles""",Verified ORF
7555,12,132144,-0.0654568120721302,0.180405928668129,0.716948497079635,YLL008W,DRS1,SGDID:S000003931,ORF,Verified ORF,"""Nucleolar DEAD-box protein required for ribosome assembly and function; including synthesis of 60S ribosomal subunits; constituent of 66S pre-ribosomal particles""",Verified ORF
7556,12,132151,-0.0654568120721302,0.180405928668129,0.716948497079635,YLL008W,DRS1,SGDID:S000003931,ORF,Verified ORF,"""Nucleolar DEAD-box protein required for ribosome assembly and function; including synthesis of 60S ribosomal subunits; constituent of 66S pre-ribosomal particles""",Verified ORF
7557,12,132253,0.281537158975523,0.320633900256482,0.380506104725272,YLL008W,DRS1,SGDID:S000003931,ORF,Verified ORF,"""Nucleolar DEAD-box protein required for ribosome assembly and function; including synthesis of 60S ribosomal subunits; constituent of 66S pre-ribosomal particles""",Verified ORF
7558,12,132253,0.774418946662884,0.437157562190297,0.0773424648738636,YLL008W,DRS1,SGDID:S000003931,ORF,Verified ORF,"""Nucleolar DEAD-box protein required for ribosome assembly and function; including synthesis of 60S ribosomal subunits; constituent of 66S pre-ribosomal particles""",Verified ORF
7559,12,132610,-0.132158889253619,0.182308997516945,0.468983195560574,YLL008W,DRS1,SGDID:S000003931,ORF,Verified ORF,"""Nucleolar DEAD-box protein required for ribosome assembly and function; including synthesis of 60S ribosomal subunits; constituent of 66S pre-ribosomal particles""",Verified ORF
7560,12,134496,-0.104362541543931,0.184861230862079,0.572741615703583,YLL007C,LMO1,SGDID:S000003930,ORF,Verified ORF,"""Homolog of mammalian ELMO (Engulfment and celL MOtility); upstream component for regulation through the small GTPase Rho5p; may form a complex with Dck1p that acts as a GEF for Rho5p; cytoplasmic protein that relocates to mitochondria under oxidative stress; implicated in mitophagy; not an essential protein""",Verified ORF
7561,12,135855,-0.229434797870455,0.18948002272039,0.226757066662289,YLL007C,LMO1,SGDID:S000003930,ORF,Verified ORF,"""Homolog of mammalian ELMO (Engulfment and celL MOtility); upstream component for regulation through the small GTPase Rho5p; may form a complex with Dck1p that acts as a GEF for Rho5p; cytoplasmic protein that relocates to mitochondria under oxidative stress; implicated in mitophagy; not an essential protein""",Verified ORF
7562,12,135989,-0.13344145399894,0.188409932539104,0.479257030772911,YLL007C,LMO1,SGDID:S000003930,ORF,Verified ORF,"""Homolog of mammalian ELMO (Engulfment and celL MOtility); upstream component for regulation through the small GTPase Rho5p; may form a complex with Dck1p that acts as a GEF for Rho5p; cytoplasmic protein that relocates to mitochondria under oxidative stress; implicated in mitophagy; not an essential protein""",Verified ORF
7563,12,136208,-0.175439185557503,0.186241609425173,0.346837978008379,YLL007C,LMO1,SGDID:S000003930,ORF,Verified ORF,"""Homolog of mammalian ELMO (Engulfment and celL MOtility); upstream component for regulation through the small GTPase Rho5p; may form a complex with Dck1p that acts as a GEF for Rho5p; cytoplasmic protein that relocates to mitochondria under oxidative stress; implicated in mitophagy; not an essential protein""",Verified ORF
7564,12,136289,-0.167381263843771,0.18694521510256,0.371210514820892,YLL007C,LMO1,SGDID:S000003930,ORF,Verified ORF,"""Homolog of mammalian ELMO (Engulfment and celL MOtility); upstream component for regulation through the small GTPase Rho5p; may form a complex with Dck1p that acts as a GEF for Rho5p; cytoplasmic protein that relocates to mitochondria under oxidative stress; implicated in mitophagy; not an essential protein""",Verified ORF
7565,12,136315,-0.173649047575898,0.186360573284784,0.352081542041705,YLL006W-A_NFR/NDR,,,Promoter,Promoter,,Promoter
7566,12,136527,-0.167459961237606,0.187635150795553,0.372745566799768,YLL006W_NFR/NDR,,,Promoter,Promoter,stable,Promoter
7567,12,138153,-0.216610759287157,0.184679729856974,0.241626974525445,YLL005C,SPO75,SGDID:S000003928,ORF,Verified ORF,"""Meiosis-specific protein of unknown function; required for spore wall formation during sporulation; dispensable for both nuclear divisions during meiosis""",Verified ORF
7568,12,138154,-0.211365410743978,0.184747168711225,0.253365951794968,YLL005C,SPO75,SGDID:S000003928,ORF,Verified ORF,"""Meiosis-specific protein of unknown function; required for spore wall formation during sporulation; dispensable for both nuclear divisions during meiosis""",Verified ORF
7569,12,139755,-0.222227451685895,0.187919120580571,0.237775645692595,YLL005C,SPO75,SGDID:S000003928,ORF,Verified ORF,"""Meiosis-specific protein of unknown function; required for spore wall formation during sporulation; dispensable for both nuclear divisions during meiosis""",Verified ORF
7570,12,140997,-0.183220485273247,0.182776366236524,0.316822677057619,YLL004W_NFR/NDR,,,Promoter,Promoter,stable,Promoter
7571,12,144481,-0.287086421060709,0.18470407397656,0.121007801847364,YLL003W,SFI1,SGDID:S000003926,ORF,Verified ORF,"""Centrin (Cdc31p)-binding protein required for SPB duplication; localizes to the half-bridge of the spindle pole body (SPB); required for progression through G(2)-M transition; phosphorylated by Cdc28p-Clb2p and by Cdc5p; dephosphorylated by Cdc14p; has similarity to Xenopus laevis XCAP-C""",Verified ORF
7572,12,148120,-0.176830881585667,0.180869773336575,0.328907284052756,YLL001W,DNM1,SGDID:S000003924,ORF,Verified ORF,"""Dynamin-related GTPase involved in mitochondrial organization; required for mitochondrial fission and inheritance; self assembles on the cytoplasmic face of mitochondrial tubules at sites where division will occur; participates in endocytosis and regulates peroxisome fission along with Vps1p; mutants in the human ortholog DNM1L ; which mediates mitochondrial fission ; peroxisomal division ; autophagy ; and mitophagy ; are associated with slowly progressive infantile encephalopathy""",Verified ORF
7573,12,148231,-0.235207113309055,0.180850757584325,0.194257793823007,YLL001W,DNM1,SGDID:S000003924,ORF,Verified ORF,"""Dynamin-related GTPase involved in mitochondrial organization; required for mitochondrial fission and inheritance; self assembles on the cytoplasmic face of mitochondrial tubules at sites where division will occur; participates in endocytosis and regulates peroxisome fission along with Vps1p; mutants in the human ortholog DNM1L ; which mediates mitochondrial fission ; peroxisomal division ; autophagy ; and mitophagy ; are associated with slowly progressive infantile encephalopathy""",Verified ORF
7574,12,150352,-0.0904216554110859,0.187103164270778,0.629202471299834,YLL001W,DNM1,SGDID:S000003924,Close to 3'-UTR,Close to 3'-UTR,"""Dynamin-related GTPase involved in mitochondrial organization; required for mitochondrial fission and inheritance; self assembles on the cytoplasmic face of mitochondrial tubules at sites where division will occur; participates in endocytosis and regulates peroxisome fission along with Vps1p; mutants in the human ortholog DNM1L ; which mediates mitochondrial fission ; peroxisomal division ; autophagy ; and mitophagy ; are associated with slowly progressive infantile encephalopathy""",Verified ORF
7575,12,150435,-0.174678122259076,0.18331481475473,0.341299844150972,YLL001W,DNM1,SGDID:S000003924,Close to 3'-UTR,Close to 3'-UTR,"""Dynamin-related GTPase involved in mitochondrial organization; required for mitochondrial fission and inheritance; self assembles on the cytoplasmic face of mitochondrial tubules at sites where division will occur; participates in endocytosis and regulates peroxisome fission along with Vps1p; mutants in the human ortholog DNM1L ; which mediates mitochondrial fission ; peroxisomal division ; autophagy ; and mitophagy ; are associated with slowly progressive infantile encephalopathy""",Verified ORF
7576,12,150544,-0.156898495137826,0.185675460452536,0.398674985356625,YLL001W,DNM1,SGDID:S000003924,Close to 3'-UTR,Close to 3'-UTR,"""Dynamin-related GTPase involved in mitochondrial organization; required for mitochondrial fission and inheritance; self assembles on the cytoplasmic face of mitochondrial tubules at sites where division will occur; participates in endocytosis and regulates peroxisome fission along with Vps1p; mutants in the human ortholog DNM1L ; which mediates mitochondrial fission ; peroxisomal division ; autophagy ; and mitophagy ; are associated with slowly progressive infantile encephalopathy""",Verified ORF
7577,12,150878,0.530739554058345,0.690889055350411,0.442883181073586,CEN12,CEN12,SGDID:S000006473,Other features,Centromere,"""Chromosome XII centromere""",reverse complement
7578,12,152081,-0.137939117514127,0.185335302567742,0.45720956408327,SUT246,,,Unstable transcript,SUT,ncRNA_TFO,Unstable transcript
7579,12,152571,-0.245753031257048,0.184314575497243,0.183281745861077,SUT246,,,Unstable transcript,SUT,ncRNA_TFO,Unstable transcript
7580,12,152803,-0.181214519210296,0.183947860523667,0.325229713003324,SUT246,,,Unstable transcript,SUT,ncRNA_TFO,Unstable transcript
7581,12,153157,-0.29830231911888,0.187024682010013,0.111609567409602,SUT246,,,Unstable transcript,SUT,ncRNA_TFO,Unstable transcript
7582,12,153748,-0.226481029908527,0.184279028196601,0.219886161559233,YLR001C,YLR001C,SGDID:S000003991,ORF,Uncharacterized ORF,"""Putative protein of unknown function; the authentic ; non-tagged protein is detected in highly purified mitochondria in high-throughput studies; predicted to be palmitoylated""",Uncharacterized ORF
7583,12,158615,-0.1719749690089,0.18173056787237,0.344633557013563,YLR004C,THI73,SGDID:S000003994,ORF,Verified ORF,"""Putative plasma membrane permease; proposed to be involved in carboxylic acid uptake and repressed by thiamine; substrate of Dbf2p/Mob1p kinase; transcription is altered if mitochondrial dysfunction occurs""",Verified ORF
7584,12,163451,-0.235178984083695,0.178180107170223,0.187725460392881,YLR006C,SSK1,SGDID:S000003996,ORF,Verified ORF,"""Cytoplasmic phosphorelay intermediate osmosensor and regulator; part of a two-component signal transducer that mediates osmosensing via a phosphorelay mechanism; required for mitophagy; dephosphorylated form is degraded by the ubiquitin-proteasome system; potential Cdc28p substrate""",Verified ORF
7585,12,165469,-0.082140320716936,0.176881595292297,0.642661601677471,YLR007W,NSE1,SGDID:S000003997,Close to 3'-UTR,Close to 3'-UTR,"""Component of the SMC5-SMC6 complex; this complex plays a key role in the removal of X-shaped DNA structures that arise between sister chromatids during DNA replication and repair""",Verified ORF
7586,12,168043,-0.108837999946926,0.177071742180655,0.539178680410442,YLRCsigma1,YLRCsigma1,SGDID:S000007079,Other features,LTR,"""Ty3 LTR""",reverse complement
7587,12,168087,-0.15120168315779,0.175830669191696,0.390412462448284,YLRCsigma1,YLRCsigma1,SGDID:S000007079,Other features,LTR,"""Ty3 LTR""",reverse complement
7588,12,170546,-0.0693153733782124,0.177632019169241,0.696610035400765,YLR012C_NFR/NDR,,,Promoter,Promoter,stable,Promoter
7589,12,173892,-0.0746417574461682,0.17604664444216,0.67183243077431,YLR014C,PPR1,SGDID:S000004004,ORF,Verified ORF,"""Zinc finger transcription factor; contains a Zn(2)-Cys(6) binuclear cluster domain ; positively regulates transcription of URA1 ; URA3 ; URA4 ; and URA10 ; which are involved in de novo pyrimidine biosynthesis ; in response to pyrimidine starvation; activity may be modulated by interaction with Tup1p""",Verified ORF
7590,12,179752,-0.325232430438201,0.347489731917125,0.349939643411829,YLR019W_NFR/NDR,,,Promoter,Promoter,fragile,Promoter
7591,12,180329,0.0189022054813304,0.169610603713283,0.91132704226477,YLR019W,PSR2,SGDID:S000004009,ORF,Verified ORF,"""Putative plasma membrane phosphatase; involved in the general stress response and inactivating dephosphorylation of Mep2p; required along with Psr1p and binding partner Whi2p for full activation of STRE-mediated gene expression ; possibly through Msn2p dephosphorylation ; and for inhibition of TORC1 in response to limiting amino acids; regulates the sodium ion stress response with Psr1p; member of the HAD family of protein phosphatases""",Verified ORF
7592,12,180414,-0.0144615268023844,0.168243514492747,0.931550187267401,YLR019W,PSR2,SGDID:S000004009,ORF,Verified ORF,"""Putative plasma membrane phosphatase; involved in the general stress response and inactivating dephosphorylation of Mep2p; required along with Psr1p and binding partner Whi2p for full activation of STRE-mediated gene expression ; possibly through Msn2p dephosphorylation ; and for inhibition of TORC1 in response to limiting amino acids; regulates the sodium ion stress response with Psr1p; member of the HAD family of protein phosphatases""",Verified ORF
7593,12,182813,0.106253091680954,0.169450675791498,0.531035490970495,YLR020C,YEH2,SGDID:S000004010,ORF,Verified ORF,"""Steryl ester hydrolase; catalyzes steryl ester hydrolysis at the plasma membrane; involved in sterol metabolism; YEH2 has a paralog ; YEH1 ; that arose from the whole genome duplication""",Verified ORF
7594,12,184955,0.1850127511765,0.179493715537733,0.303364804851931,YLR022C_NFR/NDR,,,Promoter,Promoter,stable,Promoter
7595,12,185198,0.109363357416397,0.184581109674684,0.553898601651044,CUT249,,,Unstable transcript,CUT,ncRNA_UNB,Unstable transcript
7596,12,186678,0.0628411038393255,0.168929598248405,0.710119172006095,YLR023C,IZH3,SGDID:S000004013,ORF,Verified ORF,"""Membrane protein involved in zinc ion homeostasis; member of the four-protein IZH family ; expression induced by zinc deficiency; deletion reduces sensitivity to elevated zinc and shortens lag phase ; overexpression reduces Zap1p activity""",Verified ORF
7597,12,186857,0.076968955221226,0.168890426170404,0.648862139813287,YLR023C,IZH3,SGDID:S000004013,ORF,Verified ORF,"""Membrane protein involved in zinc ion homeostasis; member of the four-protein IZH family ; expression induced by zinc deficiency; deletion reduces sensitivity to elevated zinc and shortens lag phase ; overexpression reduces Zap1p activity""",Verified ORF
7598,12,186931,0.0662155100957673,0.168095449004534,0.693880795452853,YLR023C,IZH3,SGDID:S000004013,ORF,Verified ORF,"""Membrane protein involved in zinc ion homeostasis; member of the four-protein IZH family ; expression induced by zinc deficiency; deletion reduces sensitivity to elevated zinc and shortens lag phase ; overexpression reduces Zap1p activity""",Verified ORF
7599,12,187474,0.0031690428355528,0.169489285804124,0.985092906625825,YLR023C_NFR/NDR,,,Promoter,Promoter,fragile,Promoter
7600,12,188708,0.0144015375453106,0.169395007048082,0.932295686305976,YLR024C,UBR2,SGDID:S000004014,ORF,Verified ORF,"""Cytoplasmic ubiquitin-protein ligase (E3); component of the Mub1p-Ubr2p-Rad6p ubiquitin ligase complex required for the ubiquitination and degradation of Rpn4p; mediates formation of the ternary complex""",Verified ORF
7601,12,189520,-0.039812797777673,0.16899889764266,0.813895034567138,YLR024C,UBR2,SGDID:S000004014,ORF,Verified ORF,"""Cytoplasmic ubiquitin-protein ligase (E3); component of the Mub1p-Ubr2p-Rad6p ubiquitin ligase complex required for the ubiquitination and degradation of Rpn4p; mediates formation of the ternary complex""",Verified ORF
7602,12,190554,-0.0360029423189958,0.16863058081925,0.831058795987708,YLR024C,UBR2,SGDID:S000004014,ORF,Verified ORF,"""Cytoplasmic ubiquitin-protein ligase (E3); component of the Mub1p-Ubr2p-Rad6p ubiquitin ligase complex required for the ubiquitination and degradation of Rpn4p; mediates formation of the ternary complex""",Verified ORF
7603,12,191192,-0.0047138131295412,0.168641281510324,0.977716456835691,YLR024C,UBR2,SGDID:S000004014,ORF,Verified ORF,"""Cytoplasmic ubiquitin-protein ligase (E3); component of the Mub1p-Ubr2p-Rad6p ubiquitin ligase complex required for the ubiquitination and degradation of Rpn4p; mediates formation of the ternary complex""",Verified ORF
7604,12,193360,0.0628227780881335,0.183101079420652,0.731724189831977,XUT_12F-70_NFR/NDR,,,Promoter,Promoter,,Promoter
7605,12,193660,0.0537136559455831,0.166975050353151,0.74788044036479,XUT_12F-70,,,Unstable transcript,XUT,ncRNA_UNB,Unstable transcript
7606,12,194466,0.0329187774707219,0.167591148408817,0.844392028095055,YLR025W,SNF7,SGDID:S000004015,ORF,Verified ORF,"""One of four subunits of the ESCRT-III complex; involved in the sorting of transmembrane proteins into the multivesicular body (MVB) pathway; recruited from the cytoplasm to endosomal membranes; ESCRT-III stands for endosomal sorting complex required for transport III""",Verified ORF
7607,12,196147,0.024473424979961,0.170958155199564,0.886249862627553,YLR026C,SED5,SGDID:S000004016,ORF,Verified ORF,"""cis-Golgi t-SNARE syntaxin; required for vesicular transport between the ER and the Golgi complex; binds at least 9 SNARE proteins; plays a role in autophagy by regulating formation of autophagic vesicles in Golgi""",Verified ORF
7608,12,196515,0.0947591655919955,0.169261845151008,0.575945199397514,YLR026C,SED5,SGDID:S000004016,Close to 3'-UTR,Close to 3'-UTR,"""cis-Golgi t-SNARE syntaxin; required for vesicular transport between the ER and the Golgi complex; binds at least 9 SNARE proteins; plays a role in autophagy by regulating formation of autophagic vesicles in Golgi""",Verified ORF
7609,12,196591,0.160034613329462,0.201643899498335,0.427932568308788,YLR026C_NFR/NDR,,,Promoter,Promoter,fragile,Promoter
7610,12,196695,0.0840404530044299,0.173331771408666,0.628081256512556,YLR026C_NFR/NDR,,,Promoter,Promoter,fragile,Promoter
7611,12,196779,-0.392141081624107,0.337353881997889,0.245857163523339,YLR026C_NFR/NDR,,,Promoter,Promoter,fragile,Promoter
7612,12,196991,0.0420250437143195,0.168230405971138,0.80288232355279,CUT252,,,Unstable transcript,CUT,ncRNA_TFO,Unstable transcript
7613,12,198501,0.135747553851623,0.17153132025301,0.429249964412348,YLR027C,AAT2,SGDID:S000004017,Close to 3'-UTR,Close to 3'-UTR,"""Cytosolic aspartate aminotransferase involved in nitrogen metabolism; localizes to peroxisomes in oleate-grown cells""",Verified ORF
7614,12,203413,0.132997349578166,0.167762182996523,0.428442503594755,YLR030W,YLR030W,SGDID:S000004020,ORF,Uncharacterized ORF,"""Putative protein of unknown function; S288C contains an in-frame stop codon between ORFs YLR030W and YLR031W""",Uncharacterized ORF
7615,12,203926,0.101931483568273,0.167314138262927,0.542769068472824,YLR030W,YLR030W,SGDID:S000004020,ORF,Uncharacterized ORF,"""Putative protein of unknown function; S288C contains an in-frame stop codon between ORFs YLR030W and YLR031W""",Uncharacterized ORF
7616,12,205111,0.200716706527745,0.166893105941314,0.229911552790727,YLR032W,RAD5,SGDID:S000004022,ORF,Verified ORF,"""DNA helicase/Ubiquitin ligase; involved in error-free DNA damage tolerance (DDT) ; replication fork regression during postreplication repair by template switching ; and error-prone translesion synthesis; required for UV and MMS-associated unequal sister chromatid exchange (SCE) but not for double-strand break associated unequal SCE; promotes synthesis of free and PCNA-bound polyubiquitin chains by Ubc13p-Mms2p; human homolog HLTF can complement yeast null mutant""",Verified ORF
7617,12,206648,0.211703338180449,0.166557457239147,0.20454676518202,YLR032W,RAD5,SGDID:S000004022,ORF,Verified ORF,"""DNA helicase/Ubiquitin ligase; involved in error-free DNA damage tolerance (DDT) ; replication fork regression during postreplication repair by template switching ; and error-prone translesion synthesis; required for UV and MMS-associated unequal sister chromatid exchange (SCE) but not for double-strand break associated unequal SCE; promotes synthesis of free and PCNA-bound polyubiquitin chains by Ubc13p-Mms2p; human homolog HLTF can complement yeast null mutant""",Verified ORF
7618,12,207339,0.223779337836488,0.167965987084772,0.183624479516433,YLR032W,RAD5,SGDID:S000004022,ORF,Verified ORF,"""DNA helicase/Ubiquitin ligase; involved in error-free DNA damage tolerance (DDT) ; replication fork regression during postreplication repair by template switching ; and error-prone translesion synthesis; required for UV and MMS-associated unequal sister chromatid exchange (SCE) but not for double-strand break associated unequal SCE; promotes synthesis of free and PCNA-bound polyubiquitin chains by Ubc13p-Mms2p; human homolog HLTF can complement yeast null mutant""",Verified ORF
7619,12,207362,0.228104805074916,0.167285961688546,0.173574351049191,YLR032W,RAD5,SGDID:S000004022,ORF,Verified ORF,"""DNA helicase/Ubiquitin ligase; involved in error-free DNA damage tolerance (DDT) ; replication fork regression during postreplication repair by template switching ; and error-prone translesion synthesis; required for UV and MMS-associated unequal sister chromatid exchange (SCE) but not for double-strand break associated unequal SCE; promotes synthesis of free and PCNA-bound polyubiquitin chains by Ubc13p-Mms2p; human homolog HLTF can complement yeast null mutant""",Verified ORF
7620,12,209969,0.141680663326398,0.166626064969778,0.395739605384812,YLR033W,RSC58,SGDID:S000004023,ORF,Verified ORF,"""Component of the RSC chromatin remodeling complex; RSC functions in transcriptional regulation and elongation ; chromosome stability ; and establishing sister chromatid cohesion; involved in telomere maintenance""",Verified ORF
7621,12,210162,0.205069239478918,0.166303058032587,0.218356868349979,YLR033W,RSC58,SGDID:S000004023,ORF,Verified ORF,"""Component of the RSC chromatin remodeling complex; RSC functions in transcriptional regulation and elongation ; chromosome stability ; and establishing sister chromatid cohesion; involved in telomere maintenance""",Verified ORF
7622,12,210685,0.168062675463099,0.166347342713854,0.31303795884069,YLR034C,SMF3,SGDID:S000004024,ORF,Verified ORF,"""Putative divalent metal ion transporter involved in iron homeostasis; transcriptionally regulated by metal ions; member of the Nramp family of metal transport proteins; protein abundance increases in response to DNA replication stress""",Verified ORF
7623,12,211932,0.0887371698435514,0.184551591440792,0.63093817086526,YLR034C,SMF3,SGDID:S000004024,ORF,Verified ORF,"""Putative divalent metal ion transporter involved in iron homeostasis; transcriptionally regulated by metal ions; member of the Nramp family of metal transport proteins; protein abundance increases in response to DNA replication stress""",Verified ORF
7624,12,211932,0.226178262070692,0.387203012499212,0.559503569424193,YLR034C,SMF3,SGDID:S000004024,ORF,Verified ORF,"""Putative divalent metal ion transporter involved in iron homeostasis; transcriptionally regulated by metal ions; member of the Nramp family of metal transport proteins; protein abundance increases in response to DNA replication stress""",Verified ORF
7625,12,212271,0.135147934898871,0.165650298172206,0.415128717031949,YLR034C_NFR/NDR,,,Promoter,Promoter,fragile,Promoter
7626,12,212855,0.207453392073231,0.167694141037609,0.216874566608605,YLR035C,MLH2,SGDID:S000004025,ORF,Verified ORF,"""Protein involved in mismatch repair and meiotic recombination; only certain frameshift intermediates are mismatch repair substrates; forms a complex with Mlh1p ; plays accessory role in stimulating activity of MLH1/PMS1 complex""",Verified ORF
7627,12,213290,0.191612590991669,0.166311847771495,0.250048006339459,YLR035C,MLH2,SGDID:S000004025,ORF,Verified ORF,"""Protein involved in mismatch repair and meiotic recombination; only certain frameshift intermediates are mismatch repair substrates; forms a complex with Mlh1p ; plays accessory role in stimulating activity of MLH1/PMS1 complex""",Verified ORF
7628,12,221481,0.199896705438424,0.167479636595609,0.233452318588551,YLR036C,YLR036C,SGDID:S000004026,Close to 3'-UTR,Close to 3'-UTR,"""Putative protein predicted to have transmembrane domains; interacts with HSP90 by yeast two-hybrid analysis; YLR036C is not an essential protein""",Uncharacterized ORF
7629,12,222714,0.207421595105993,0.164748237428271,0.208854445027587,YLR037C,PAU23,SGDID:S000004027,ORF,Verified ORF,"""Cell wall mannoprotein; has similarity to Tir1p ; Tir2p ; Tir3p ; and Tir4p; member of the seripauperin multigene family encoded mainly in subtelomeric regions; expressed under anaerobic conditions ; completely repressed during aerobic growth""",Verified ORF
7630,12,222718,0.220306968506971,0.16557629888596,0.184197135652746,YLR037C,PAU23,SGDID:S000004027,ORF,Verified ORF,"""Cell wall mannoprotein; has similarity to Tir1p ; Tir2p ; Tir3p ; and Tir4p; member of the seripauperin multigene family encoded mainly in subtelomeric regions; expressed under anaerobic conditions ; completely repressed during aerobic growth""",Verified ORF
7631,12,222736,0.191103657334128,0.167010236030827,0.253289825701827,YLR037C,PAU23,SGDID:S000004027,ORF,Verified ORF,"""Cell wall mannoprotein; has similarity to Tir1p ; Tir2p ; Tir3p ; and Tir4p; member of the seripauperin multigene family encoded mainly in subtelomeric regions; expressed under anaerobic conditions ; completely repressed during aerobic growth""",Verified ORF
7632,12,222754,0.217600139572346,0.16856530092616,0.197584793349778,YLR037C,PAU23,SGDID:S000004027,ORF,Verified ORF,"""Cell wall mannoprotein; has similarity to Tir1p ; Tir2p ; Tir3p ; and Tir4p; member of the seripauperin multigene family encoded mainly in subtelomeric regions; expressed under anaerobic conditions ; completely repressed during aerobic growth""",Verified ORF
7633,12,222808,0.569877257272577,0.328561795989271,0.0837094507961602,YLR037C,PAU23,SGDID:S000004027,ORF,Verified ORF,"""Cell wall mannoprotein; has similarity to Tir1p ; Tir2p ; Tir3p ; and Tir4p; member of the seripauperin multigene family encoded mainly in subtelomeric regions; expressed under anaerobic conditions ; completely repressed during aerobic growth""",Verified ORF
7634,12,224908,0.330638571479398,0.171652957361028,0.0548816476304203,YLR038C,COX12,SGDID:S000004028,Close to 3'-UTR,Close to 3'-UTR,"""Subunit VIb of cytochrome c oxidase; cytochrome c oxidase is also known as respiratory Complex IV and is the terminal member of the mitochondrial inner membrane electron transport chain; required for assembly of cytochrome c oxidase but not required for activity after assembly; phosphorylated; easily released from the intermembrane space ; suggesting a loose association with Complex IV""",Verified ORF
7635,12,226560,0.306511664456499,0.168779831057914,0.0702117369787644,YLR039C,RIC1,SGDID:S000004029,ORF,Verified ORF,"""Protein involved in retrograde transport to the cis-Golgi network; forms heterodimer with Rgp1p that acts as a GTP exchange factor for Ypt6p; involved in transcription of rRNA and ribosomal protein genes""",Verified ORF
7636,12,228284,0.312530042729791,0.164691443007387,0.0585552283194503,YLR039C,RIC1,SGDID:S000004029,ORF,Verified ORF,"""Protein involved in retrograde transport to the cis-Golgi network; forms heterodimer with Rgp1p that acts as a GTP exchange factor for Ypt6p; involved in transcription of rRNA and ribosomal protein genes""",Verified ORF
7637,12,228374,0.309257274155276,0.165015544870476,0.0617410665062487,YLR039C,RIC1,SGDID:S000004029,ORF,Verified ORF,"""Protein involved in retrograde transport to the cis-Golgi network; forms heterodimer with Rgp1p that acts as a GTP exchange factor for Ypt6p; involved in transcription of rRNA and ribosomal protein genes""",Verified ORF
7638,12,229358,0.338615784146202,0.164414468181084,0.0401768223896133,YLR040C,AFB1,SGDID:S000004030,ORF,Verified ORF,"""MATalpha-specific a-factor blocker; contributes to mating efficiency under certain conditions; localizes to the cell wall; predicted to be a GPI-attached protein; upregulated by Mcm1p-Alpha1p transcription factor; partially overlaps the dubious ORF YLR041W""",Verified ORF
7639,12,230601,0.273291814493072,0.169413520223898,0.107602427135596,YLR042C_NFR/NDR,,,Promoter,Promoter,fragile,Promoter
7640,12,230908,0.254968494187783,0.165192540519172,0.123614561578278,SUT251,,,Unstable transcript,SUT,ncRNA_TFO,Unstable transcript
7641,12,231625,0.204487002776593,0.178253906718761,0.252089518689625,YLR043C,TRX1,SGDID:S000004033,Close to 3'-UTR,Close to 3'-UTR,"""Cytoplasmic thioredoxin isoenzyme; part of the thioredoxin system that protects cells from oxidative and reductive stress; subunit of the LMA1 complex ; with Pbi2p ; that promotes vacuole inheritance; cofactor for Tsa1p; required for ER-Golgi transport; facilitates mitochondrial import of small Tims (Tim9p ; Tim10p ; Tim13p) by maintaining them in reduced form along with Trx2p; component of a signal transduction redox relay in a light sensing pathway; abundance increases under DNA replication stress""",Verified ORF
