SNP,Chr,Pos,Effect,SE,MID2_WSC2_noMTX_5.FC_avg_logratio_Fitness_minus_ref.GLM,locus_id,name,sgd_id,snps_class_up,snps_class_down,description,genome_annotations
7282,11,521756,0.157053027618747,0.0603764358978953,0.0096797868800038,YKR044W_NFR/NDR,,,Promoter,Promoter,stable,Promoter
7283,11,521933,0.128162898280216,0.0612542214136013,0.037124498593628,YKR043C_NFR/NDR,,,Promoter,Promoter,stable,Promoter
7284,11,522294,0.154685024327003,0.0599730616742178,0.0103057589732353,YKR044W,UIP5,SGDID:S000001752,CDS,CDS,"""Protein of unknown function that interacts with Ulp1p; a Ubl (ubiquitin-like protein)-specific protease for Smt3p protein conjugates""",Verified ORF
7285,11,523645,0.165214426739291,0.0609259395633732,0.0070208461599718,YKR045C,YKR045C,SGDID:S000001753,CDS,CDS,"""Putative protein of unknown function; epitope-tagged protein localizes to the cytoplasm""",Uncharacterized ORF
7286,11,523658,0.161608432866243,0.0599488980696199,0.0073588621869809,YKR045C,YKR045C,SGDID:S000001753,CDS,CDS,"""Putative protein of unknown function; epitope-tagged protein localizes to the cytoplasm""",Uncharacterized ORF
7287,11,523660,0.1482564504741,0.060256452078254,0.0143555711165997,YKR045C,YKR045C,SGDID:S000001753,CDS,CDS,"""Putative protein of unknown function; epitope-tagged protein localizes to the cytoplasm""",Uncharacterized ORF
7291,11,527561,0.0236372115624642,0.0604555573032149,0.696044250099333,YKR048C,NAP1,SGDID:S000001756,Close to 3'-UTR,Close to 3'-UTR,"""Histone chaperone and assembly chaperone for Rps6a/b; involved in histone exchange ; replacing histone H2A-H2B dimers or histone variant dimers from assembled nucleosomes; promotes solubility of Rps6a ; and 40S ribosomal subunit biogenesis; role in transport of H2A and H2B histones to the nucleus; regulates microtubule dynamics during mitosis; interacts with mitotic cyclin Clb2p; controls bud morphogenesis; phosphorylated by CK2; protein abundance increases in response to DNA replication stress""",Verified ORF
7293,11,533229,0.0363563999239456,0.0602817442136737,0.546824159389561,YKR052C,MRS4,SGDID:S000001760,CDS,CDS,"""Iron transporter of the mitochondrial carrier family; mediates Fe2+ transport across the inner mitochondrial membrane; active under low-iron conditions; may transport other cations; protein abundance increases in response to DNA replication stress; MRS4 has a paralog ; MRS3 ; that arose from the whole genome duplication""",Verified ORF
7294,11,534563,0.048381225182514,0.0605071064656257,0.424482769745702,SUT240,,,Unstable transcript,SUT,ncRNA_STM,Unstable transcript
7295,11,535334,0.0453060994275227,0.0608679902494703,0.4571697894075,SUT240,,,Unstable transcript,SUT,ncRNA_STM,Unstable transcript
7296,11,535859,0.0449706310188261,0.0602785486708735,0.456135539448274,YKR054C,DYN1,SGDID:S000001762,CDS,CDS,"""Cytoplasmic heavy chain dynein; microtubule motor protein; member of the AAA+ protein family ; required for anaphase spindle elongation; involved in spindle assembly ; chromosome movement ; and spindle orientation during cell division ; targeted to microtubule tips by Pac1p; motility along microtubules inhibited by She1p""",Verified ORF
7297,11,547722,0.0365169617906799,0.0604512472207981,0.546183172983413,YKR054C,DYN1,SGDID:S000001762,CDS,CDS,"""Cytoplasmic heavy chain dynein; microtubule motor protein; member of the AAA+ protein family ; required for anaphase spindle elongation; involved in spindle assembly ; chromosome movement ; and spindle orientation during cell division ; targeted to microtubule tips by Pac1p; motility along microtubules inhibited by She1p""",Verified ORF
7298,11,549137,0.0608776142584184,0.0608558897664936,0.317823008190607,YKR055W,RHO4,SGDID:S000001763,Close to 3'-UTR,Close to 3'-UTR,"""Non-essential small GTPase; member of the Rho/Rac subfamily of Ras-like proteins; likely to be involved in the establishment of cell polarity; has long N-terminal extension that plays an important role in Rho4p function and is shared with Rho4 homologs in other yeasts and filamentous fungi""",Verified ORF
7300,11,549470,0.0455769250242323,0.0616321823229816,0.46009564121475,YKR056W,TRM2,SGDID:S000001764,CDS,CDS,"""tRNA methyltransferase; 5-methylates the uridine residue at position 54 of tRNAs and may also have a role in tRNA stabilization or maturation; endo-exonuclease with a role in DNA repair""",Verified ORF
7302,11,551184,0.027702939913583,0.0604874402021091,0.647237890397098,YKR056W,TRM2,SGDID:S000001764,CDS,CDS,"""tRNA methyltransferase; 5-methylates the uridine residue at position 54 of tRNAs and may also have a role in tRNA stabilization or maturation; endo-exonuclease with a role in DNA repair""",Verified ORF
7305,11,556779,0.0206781902628397,0.0606494067532259,0.73334684881305,YKR060W,UTP30,SGDID:S000001768,CDS,CDS,"""Subunit of U3-containing 90S preribosome complex; complex is involved in production of 18S rRNA and assembly of small ribosomal subunit; Utp30p is peripherally associated with 90S preribosome and appears partially redundant with its paralog Cic1p""",Verified ORF
7306,11,557098,0.015443341430191,0.0603204514245727,0.79808324898449,YKR060W,UTP30,SGDID:S000001768,CDS,CDS,"""Subunit of U3-containing 90S preribosome complex; complex is involved in production of 18S rRNA and assembly of small ribosomal subunit; Utp30p is peripherally associated with 90S preribosome and appears partially redundant with its paralog Cic1p""",Verified ORF
7307,11,559683,0.0195705257928643,0.0604868855001467,0.746470418278825,YKR062W,TFA2,SGDID:S000001770,CDS,CDS,"""TFIIE small subunit; involved in RNA polymerase II transcription initiation""",Verified ORF
7308,11,559870,0.0201394056548782,0.0605533486119255,0.739641618074689,YKR062W,TFA2,SGDID:S000001770,CDS,CDS,"""TFIIE small subunit; involved in RNA polymerase II transcription initiation""",Verified ORF
7309,11,562114,0.0030644607972054,0.0604550745722711,0.959601306690569,YKR063C,LAS1,SGDID:S000001771,CDS,CDS,"""Endonuclease involved in pre-rRNA processing at both ends of ITS2; functions with Grc3p in a conserved mechanism to cleave pre-rRNA at a specific site during rRNA processing and ribosome biogenesis; may coordinate the action of the Rat1p-Rai1p exoRNAse; required for the G1/S cell cycle transition; human ortholog is Las1L; mutants require the SSD1-v allele for viability""",Verified ORF
7310,11,564538,0.018540979050862,0.0614920463149112,0.76319681791591,YKR064W,OAF3,SGDID:S000001772,CDS,CDS,"""Putative transcriptional repressor with Zn(2)-Cys(6) finger; negatively regulates transcription in response to oleate levels ; based on mutant phenotype and localization to oleate-responsive promoters; the authentic ; non-tagged protein is detected in highly purified mitochondria in high-throughput studies; forms nuclear foci upon DNA replication stress""",Verified ORF
7311,11,565905,0.0146890036600429,0.0606731434813808,0.808842811694068,YKR065C_NFR/NDR,,,Promoter,Promoter,stable,Promoter
7312,11,566379,0.0201205113991602,0.0603658716934662,0.739098642462567,YKR066C,CCP1,SGDID:S000001774,CDS,CDS,"""Mitochondrial cytochrome-c peroxidase; degrades reactive oxygen species in mitochondria; acts as hydrogen peroxide sensor in mitochondria ; involved in the response to oxidative stress""",Verified ORF
7313,11,566840,0.0100301778115023,0.0605044874626127,0.868428319459516,YKR066C,CCP1,SGDID:S000001774,CDS,CDS,"""Mitochondrial cytochrome-c peroxidase; degrades reactive oxygen species in mitochondria; acts as hydrogen peroxide sensor in mitochondria ; involved in the response to oxidative stress""",Verified ORF
7314,11,566850,0.0069956583888454,0.0604312795643058,0.907906826809217,YKR066C,CCP1,SGDID:S000001774,CDS,CDS,"""Mitochondrial cytochrome-c peroxidase; degrades reactive oxygen species in mitochondria; acts as hydrogen peroxide sensor in mitochondria ; involved in the response to oxidative stress""",Verified ORF
7315,11,567100,0.0179277682748255,0.0605956188408303,0.767511613163633,YKR066C,CCP1,SGDID:S000001774,CDS,CDS,"""Mitochondrial cytochrome-c peroxidase; degrades reactive oxygen species in mitochondria; acts as hydrogen peroxide sensor in mitochondria ; involved in the response to oxidative stress""",Verified ORF
7316,11,567277,0.0076918581813995,0.060431039892676,0.898788703812072,YKR066C_NFR/NDR,,,Promoter,Promoter,stable,Promoter
7317,11,567284,0.0099125641161413,0.0604777963055918,0.869900373092858,YKR066C_NFR/NDR,,,Promoter,Promoter,stable,Promoter
7318,11,567434,0.0165577981776138,0.0604260004340722,0.784231234554908,YKR066C,CCP1,SGDID:S000001774,Close to 3'-UTR,Close to 3'-UTR,"""Mitochondrial cytochrome-c peroxidase; degrades reactive oxygen species in mitochondria; acts as hydrogen peroxide sensor in mitochondria ; involved in the response to oxidative stress""",Verified ORF
7319,11,567526,0.0038117973858719,0.0606576081579496,0.949928518429143,YKR066C,CCP1,SGDID:S000001774,Close to 3'-UTR,Close to 3'-UTR,"""Mitochondrial cytochrome-c peroxidase; degrades reactive oxygen species in mitochondria; acts as hydrogen peroxide sensor in mitochondria ; involved in the response to oxidative stress""",Verified ORF
7320,11,567588,0.0204471073419671,0.0605070948614674,0.735617502394992,YKR067W_NFR/NDR,,,Promoter,Promoter,stable,Promoter
7321,11,567619,0.0059342453144307,0.0606224866096622,0.922076375754332,YKR067W_NFR/NDR,,,Promoter,Promoter,stable,Promoter
7322,11,567651,0.0078917222023252,0.0606074388992957,0.896474090755401,YKR067W_NFR/NDR,,,Promoter,Promoter,stable,Promoter
7323,11,567885,-0.006020797219909,0.0608229340835,0.921203246803432,YKR066C,CCP1,SGDID:S000001774,Close to 3'-UTR,Close to 3'-UTR,"""Mitochondrial cytochrome-c peroxidase; degrades reactive oxygen species in mitochondria; acts as hydrogen peroxide sensor in mitochondria ; involved in the response to oxidative stress""",Verified ORF
7324,11,571825,-0.0038910036700008,0.060944178164693,0.949129488817975,YKR069W,MET1,SGDID:S000001777,CDS,CDS,"""S-adenosyl-L-methionine uroporphyrinogen III transmethylase; involved in the biosynthesis of siroheme ; a prosthetic group used by sulfite reductase; required for sulfate assimilation and methionine biosynthesis""",Verified ORF
7326,11,574955,-0.0100434564263969,0.060895355933212,0.869093673461092,YKR071C,DRE2,SGDID:S000001779,CDS,CDS,"""Component of the cytosolic Fe-S protein assembly (CIA) machinery; contains an Fe-S cluster that receives electrons from NADPH via the action of Tah18p in an early step in the CIA pathway; ortholog of human Ciapin1; protein abundance increases in response to DNA replication stress; inviability of the null mutant is functionally complemented by human CIAPIN1""",Verified ORF
7327,11,575225,-0.0107590894602771,0.0605261294022218,0.859013880296077,YKR071C,DRE2,SGDID:S000001779,CDS,CDS,"""Component of the cytosolic Fe-S protein assembly (CIA) machinery; contains an Fe-S cluster that receives electrons from NADPH via the action of Tah18p in an early step in the CIA pathway; ortholog of human Ciapin1; protein abundance increases in response to DNA replication stress; inviability of the null mutant is functionally complemented by human CIAPIN1""",Verified ORF
7328,11,575805,-0.0153848268240516,0.0608678476126046,0.800602454029754,YKR071C,DRE2,SGDID:S000001779,CDS,CDS,"""Component of the cytosolic Fe-S protein assembly (CIA) machinery; contains an Fe-S cluster that receives electrons from NADPH via the action of Tah18p in an early step in the CIA pathway; ortholog of human Ciapin1; protein abundance increases in response to DNA replication stress; inviability of the null mutant is functionally complemented by human CIAPIN1""",Verified ORF
7329,11,576302,-0.0205838765179088,0.0614270622454655,0.737752769466994,YKR071C,DRE2,SGDID:S000001779,Close to 3'-UTR,Close to 3'-UTR,"""Component of the cytosolic Fe-S protein assembly (CIA) machinery; contains an Fe-S cluster that receives electrons from NADPH via the action of Tah18p in an early step in the CIA pathway; ortholog of human Ciapin1; protein abundance increases in response to DNA replication stress; inviability of the null mutant is functionally complemented by human CIAPIN1""",Verified ORF
7331,11,576492,0.0351945455440905,0.0807670224548491,0.663281630503047,YKR072C,SIS2,SGDID:S000001780,CDS,CDS,"""Negative regulatory subunit of protein phosphatase 1 (Ppz1p); involved in coenzyme A biosynthesis; subunit of phosphopantothenoylcysteine decarboxylase (PPCDC: Cab3p ; Sis2p ; Vhs3p) complex and the CoA-Synthesizing Protein Complex (CoA-SPC: Cab2p ; Cab3p ; Cab4p ; Cab5p ; Sis2p and Vhs3p); SIS2 has a paralog ; VHS3 ; that arose from the whole genome duplication""",Verified ORF
7332,11,578734,0.0055882590224496,0.0607368224936209,0.926744064905229,YKR072C,SIS2,SGDID:S000001780,Close to 3'-UTR,Close to 3'-UTR,"""Negative regulatory subunit of protein phosphatase 1 (Ppz1p); involved in coenzyme A biosynthesis; subunit of phosphopantothenoylcysteine decarboxylase (PPCDC: Cab3p ; Sis2p ; Vhs3p) complex and the CoA-Synthesizing Protein Complex (CoA-SPC: Cab2p ; Cab3p ; Cab4p ; Cab5p ; Sis2p and Vhs3p); SIS2 has a paralog ; VHS3 ; that arose from the whole genome duplication""",Verified ORF
7333,11,578880,0.0212943872128211,0.0603894399804323,0.724585488161477,tK(UUU)K_NFR/NDR,,,Promoter,Promoter,,Promoter
7334,11,580843,-0.0100115563497168,0.0608953708097689,0.869505741400717,YKR075C,YKR075C,SGDID:S000001783,Close to 3'-UTR,Close to 3'-UTR,"""Protein of unknown function; similar to Reg1p; expression regulated by glucose and Rgt1p; GFP-fusion protein is induced in response to the DNA-damaging agent MMS; YKR075C has a paralog ; YOR062C ; that arose from the whole genome duplication""",Uncharacterized ORF
7339,11,581163,-0.0222943135413418,0.0616507740055469,0.717850424841547,YKR075C_NFR/NDR,,,Promoter,Promoter,fragile,Promoter
7340,11,583102,0.0304770544556927,0.0604650254978525,0.614544648244127,YKR076W,ECM4,SGDID:S000001784,CDS,CDS,"""S-glutathionyl-(chloro)hydroquinone reductase (GS-HQR); glutathione transferase involved in cell-surface biosynthesis and architecture; catalyzes glutathione (GSH)-dependent reduction of GS-trichloro-p-hydroquinone to trichloro-p-hydroquinone; expression upregulated upon exposure to genotoxic agents ; such as methyl methanesulfonate ; cisplatin and bleomycin; not an essential gene; similar to YGR154C; green fluorescent protein (GFP)-fusion protein localizes to cytoplasm""",Verified ORF
7341,11,584625,-0.0538222950436467,0.0607111334498431,0.375935076425376,YKR077W,MSA2,SGDID:S000001785,CDS,CDS,"""Putative transcriptional activator; interacts with G1-specific transcription factor MBF and G1-specific promoters; MSA2 has a paralog ; MSA1 ; that arose from the whole genome duplication""",Verified ORF
7342,11,584993,-0.0426255006738147,0.0606357523071801,0.482533824622947,YKR078W,YKR078W,SGDID:S000001786,CDS,CDS,"""Cytoplasmic protein of unknown function; potential Cdc28p substrate; contains a Phox homology (PX) domain and specifically binds phosphatidylinositol 3-phosphate (PtdIns-3-P); YKR078W has a paralog ; VPS5 ; that arose from the whole genome duplication""",Verified ORF
7343,11,591628,-0.0406952434284182,0.0606960153105501,0.502992576905329,YKR081C,RPF2,SGDID:S000001789,CDS,CDS,"""Essential protein involved in rRNA maturation and ribosomal assembly; involved in the processing of pre-rRNA and the assembly of the 60S ribosomal subunit; interacts with ribosomal protein L11; localizes predominantly to the nucleolus; constituent of 66S pre-ribosomal particles""",Verified ORF
7344,11,591788,-0.039728354670364,0.060680427153279,0.513077960751212,YKR081C,RPF2,SGDID:S000001789,CDS,CDS,"""Essential protein involved in rRNA maturation and ribosomal assembly; involved in the processing of pre-rRNA and the assembly of the 60S ribosomal subunit; interacts with ribosomal protein L11; localizes predominantly to the nucleolus; constituent of 66S pre-ribosomal particles""",Verified ORF
7345,11,596580,-0.0453439639946324,0.0608133227493578,0.45638987325627,YKR083C,DAD2,SGDID:S000001791,CDS,CDS,"""Essential subunit of the Dam1 complex (aka DASH complex); complex couples kinetochores to the force produced by MT depolymerization thereby aiding in chromosome segregation; is transferred to the kinetochore prior to mitosis""",Verified ORF
7346,11,596725,-0.0324364736922513,0.0606772556481587,0.593281106442385,YKR083C,DAD2,SGDID:S000001791,CDS,CDS,"""Essential subunit of the Dam1 complex (aka DASH complex); complex couples kinetochores to the force produced by MT depolymerization thereby aiding in chromosome segregation; is transferred to the kinetochore prior to mitosis""",Verified ORF
7347,11,601153,-0.0622117840282283,0.0603016284817624,0.30292991789719,YKR086W,PRP16,SGDID:S000001794,CDS,CDS,"""DEAH-box RNA helicase involved in second catalytic step of splicing and in exon ligation; exhibits ATP-dependent RNA unwinding activity; mediates the release of Yju2p and Cwc25p in the second step; in the absence of ATP ; stabilizes the binding of Cwc25p to the spliceosome in the first catalytic step; missense mutation in human ortholog DHX38 associated with early-onset retinitis pigmentosa""",Verified ORF
7348,11,604648,-0.033631487765831,0.0604521697766859,0.578336270456804,YKR088C,TVP38,SGDID:S000001796,CDS,CDS,"""Integral membrane protein; localized to late Golgi vesicles along with the v-SNARE Tlg2p; required for asymmetric localization of Kar9p during mitosis; GFP-fusion protein localizes to the cytoplasm in a punctate pattern""",Verified ORF
7349,11,605055,-0.0117331234140591,0.0606465484827233,0.846704292329002,YKR088C,TVP38,SGDID:S000001796,CDS,CDS,"""Integral membrane protein; localized to late Golgi vesicles along with the v-SNARE Tlg2p; required for asymmetric localization of Kar9p during mitosis; GFP-fusion protein localizes to the cytoplasm in a punctate pattern""",Verified ORF
7351,11,611233,-0.0274878720427676,0.0614544686315082,0.654941157798608,YKR091W_NFR/NDR,,,Promoter,Promoter,stable,Promoter
7353,11,613347,-0.0198175207074145,0.0611386219333263,0.746023428112106,YKR092C,SRP40,SGDID:S000001800,CDS,CDS,"""Nucleolar serine-rich protein; role in preribosome assembly or transport; may function as a chaperone of small nucleolar ribonucleoprotein particles (snoRNPs); immunologically and structurally to rat Nopp140""",Verified ORF
7355,11,614444,-0.0688444426975207,0.0612989160088159,0.262160832934262,YKR092C,SRP40,SGDID:S000001800,Close to 3'-UTR,Close to 3'-UTR,"""Nucleolar serine-rich protein; role in preribosome assembly or transport; may function as a chaperone of small nucleolar ribonucleoprotein particles (snoRNPs); immunologically and structurally to rat Nopp140""",Verified ORF
7356,11,614658,-0.0651171899054893,0.0604535060487362,0.28215106406572,YKR092C,SRP40,SGDID:S000001800,Close to 3'-UTR,Close to 3'-UTR,"""Nucleolar serine-rich protein; role in preribosome assembly or transport; may function as a chaperone of small nucleolar ribonucleoprotein particles (snoRNPs); immunologically and structurally to rat Nopp140""",Verified ORF
7359,11,615824,-0.0328145540986842,0.0607129177673722,0.589201945284403,YKR093W,PTR2,SGDID:S000001801,CDS,CDS,"""Integral membrane peptide transporter; mediates transport of di- and tri-peptides; conserved protein that contains 12 transmembrane domains; PTR2 expression is regulated by the N-end rule pathway via repression by Cup9p""",Verified ORF
7360,11,615867,-0.0320093137931499,0.0604828526309902,0.59697884806438,YKR093W,PTR2,SGDID:S000001801,CDS,CDS,"""Integral membrane peptide transporter; mediates transport of di- and tri-peptides; conserved protein that contains 12 transmembrane domains; PTR2 expression is regulated by the N-end rule pathway via repression by Cup9p""",Verified ORF
7361,11,618029,-0.0291545091609867,0.061104357555271,0.633567286901162,YKR094C,RPL40B,SGDID:S000001802,CDS,CDS,"""Ubiquitin-ribosomal 60S subunit protein L40B fusion protein; cleaved to yield ubiquitin and ribosomal protein L40B; ubiquitin may facilitate assembly of the ribosomal protein into ribosomes; homologous to mammalian ribosomal protein L40 ; no bacterial homolog; RPL40B has a paralog ; RPL40A ; that arose from the whole genome duplication""",Verified ORF
7362,11,618311,-0.017062785903714,0.0607472048076268,0.778965594835027,YKR094C,RPL40B,SGDID:S000001802,CDS,CDS,"""Ubiquitin-ribosomal 60S subunit protein L40B fusion protein; cleaved to yield ubiquitin and ribosomal protein L40B; ubiquitin may facilitate assembly of the ribosomal protein into ribosomes; homologous to mammalian ribosomal protein L40 ; no bacterial homolog; RPL40B has a paralog ; RPL40A ; that arose from the whole genome duplication""",Verified ORF
7363,11,620156,0.0022113146406702,0.0613214779536079,0.971254091989421,YKR095W,MLP1,SGDID:S000001803,CDS,CDS,"""Myosin-like protein associated with the nuclear envelope; nuclear basket protein that connects the nuclear pore complex with the nuclear interior; involved with Tel1p in telomere length control; involved with Pml1p and Pml39p in nuclear retention of unspliced mRNAs; MLP1 has a paralog ; MLP2 ; that arose from the whole genome duplication""",Verified ORF
7364,11,620157,0.0022113146406702,0.0613214779536079,0.971254091989421,YKR095W,MLP1,SGDID:S000001803,CDS,CDS,"""Myosin-like protein associated with the nuclear envelope; nuclear basket protein that connects the nuclear pore complex with the nuclear interior; involved with Tel1p in telomere length control; involved with Pml1p and Pml39p in nuclear retention of unspliced mRNAs; MLP1 has a paralog ; MLP2 ; that arose from the whole genome duplication""",Verified ORF
7365,11,620182,-0.0060659480403131,0.0612819742798631,0.921206989468122,YKR095W,MLP1,SGDID:S000001803,CDS,CDS,"""Myosin-like protein associated with the nuclear envelope; nuclear basket protein that connects the nuclear pore complex with the nuclear interior; involved with Tel1p in telomere length control; involved with Pml1p and Pml39p in nuclear retention of unspliced mRNAs; MLP1 has a paralog ; MLP2 ; that arose from the whole genome duplication""",Verified ORF
7366,11,620666,-0.0119543271530632,0.0611769921117865,0.845187854982106,YKR095W,MLP1,SGDID:S000001803,CDS,CDS,"""Myosin-like protein associated with the nuclear envelope; nuclear basket protein that connects the nuclear pore complex with the nuclear interior; involved with Tel1p in telomere length control; involved with Pml1p and Pml39p in nuclear retention of unspliced mRNAs; MLP1 has a paralog ; MLP2 ; that arose from the whole genome duplication""",Verified ORF
7367,11,620743,-0.0089537065198799,0.0609060721545498,0.883209283832244,YKR095W,MLP1,SGDID:S000001803,CDS,CDS,"""Myosin-like protein associated with the nuclear envelope; nuclear basket protein that connects the nuclear pore complex with the nuclear interior; involved with Tel1p in telomere length control; involved with Pml1p and Pml39p in nuclear retention of unspliced mRNAs; MLP1 has a paralog ; MLP2 ; that arose from the whole genome duplication""",Verified ORF
7369,11,621088,-0.0092641574297875,0.0606559433125257,0.878696186730489,YKR095W,MLP1,SGDID:S000001803,CDS,CDS,"""Myosin-like protein associated with the nuclear envelope; nuclear basket protein that connects the nuclear pore complex with the nuclear interior; involved with Tel1p in telomere length control; involved with Pml1p and Pml39p in nuclear retention of unspliced mRNAs; MLP1 has a paralog ; MLP2 ; that arose from the whole genome duplication""",Verified ORF
7370,11,622127,0.0097787633978106,0.0606066596040536,0.871911622767258,YKR095W,MLP1,SGDID:S000001803,CDS,CDS,"""Myosin-like protein associated with the nuclear envelope; nuclear basket protein that connects the nuclear pore complex with the nuclear interior; involved with Tel1p in telomere length control; involved with Pml1p and Pml39p in nuclear retention of unspliced mRNAs; MLP1 has a paralog ; MLP2 ; that arose from the whole genome duplication""",Verified ORF
7371,11,622853,0.0278667193860308,0.0609881233242208,0.64800928378766,YKR095W,MLP1,SGDID:S000001803,CDS,CDS,"""Myosin-like protein associated with the nuclear envelope; nuclear basket protein that connects the nuclear pore complex with the nuclear interior; involved with Tel1p in telomere length control; involved with Pml1p and Pml39p in nuclear retention of unspliced mRNAs; MLP1 has a paralog ; MLP2 ; that arose from the whole genome duplication""",Verified ORF
7372,11,624002,0.0121035628624572,0.0606501932508165,0.84193690710255,YKR095W,MLP1,SGDID:S000001803,CDS,CDS,"""Myosin-like protein associated with the nuclear envelope; nuclear basket protein that connects the nuclear pore complex with the nuclear interior; involved with Tel1p in telomere length control; involved with Pml1p and Pml39p in nuclear retention of unspliced mRNAs; MLP1 has a paralog ; MLP2 ; that arose from the whole genome duplication""",Verified ORF
7373,11,624345,0.0081879342029188,0.0608596325790182,0.893053827238661,YKR095W,MLP1,SGDID:S000001803,CDS,CDS,"""Myosin-like protein associated with the nuclear envelope; nuclear basket protein that connects the nuclear pore complex with the nuclear interior; involved with Tel1p in telomere length control; involved with Pml1p and Pml39p in nuclear retention of unspliced mRNAs; MLP1 has a paralog ; MLP2 ; that arose from the whole genome duplication""",Verified ORF
7374,11,625615,0.0436292557845488,0.0607512766977114,0.473132464801787,YKR095W-A_NFR/NDR,,,Promoter,Promoter,fragile,Promoter
7375,11,626209,0.0612324724428782,0.0615299634670263,0.320337636741173,YKR095W,MLP1,SGDID:S000001803,Close to 3'-UTR,Close to 3'-UTR,"""Myosin-like protein associated with the nuclear envelope; nuclear basket protein that connects the nuclear pore complex with the nuclear interior; involved with Tel1p in telomere length control; involved with Pml1p and Pml39p in nuclear retention of unspliced mRNAs; MLP1 has a paralog ; MLP2 ; that arose from the whole genome duplication""",Verified ORF
7377,11,626626,0.0350577324385772,0.0609776134633053,0.565706287081261,XUT_11R-265_NFR/NDR,,,Promoter,Promoter,,Promoter
7378,11,627031,0.051787630505068,0.0611617435455023,0.397717949245173,YKR096W,ESL2,SGDID:S000001804,CDS,CDS,"""hEST1A/B (SMG5/6)-like protein; contributes to environment-sensing adaptive gene expression responses; Esl2p and Esl1p contain a 14-3-3-like domain and a putative PilT N-terminus ribonuclease domain; interacts with Pex14p; may interact with ribosomes ; based on co-purification experiments; green fluorescent protein (GFP)-fusion protein localizes to the nucleus and cytoplasm; ESL2 has a paralog ; ESL1 ; that arose from the whole genome duplication""",Verified ORF
7379,11,628031,0.0251538388649103,0.0604175950540481,0.677419362521727,YKR096W,ESL2,SGDID:S000001804,CDS,CDS,"""hEST1A/B (SMG5/6)-like protein; contributes to environment-sensing adaptive gene expression responses; Esl2p and Esl1p contain a 14-3-3-like domain and a putative PilT N-terminus ribonuclease domain; interacts with Pex14p; may interact with ribosomes ; based on co-purification experiments; green fluorescent protein (GFP)-fusion protein localizes to the nucleus and cytoplasm; ESL2 has a paralog ; ESL1 ; that arose from the whole genome duplication""",Verified ORF
7380,11,628199,0.0364934307853521,0.0604756585756311,0.546603564885412,YKR096W,ESL2,SGDID:S000001804,CDS,CDS,"""hEST1A/B (SMG5/6)-like protein; contributes to environment-sensing adaptive gene expression responses; Esl2p and Esl1p contain a 14-3-3-like domain and a putative PilT N-terminus ribonuclease domain; interacts with Pex14p; may interact with ribosomes ; based on co-purification experiments; green fluorescent protein (GFP)-fusion protein localizes to the nucleus and cytoplasm; ESL2 has a paralog ; ESL1 ; that arose from the whole genome duplication""",Verified ORF
7381,11,628241,0.0324343338785452,0.061354100184545,0.597386259944752,YKR096W,ESL2,SGDID:S000001804,CDS,CDS,"""hEST1A/B (SMG5/6)-like protein; contributes to environment-sensing adaptive gene expression responses; Esl2p and Esl1p contain a 14-3-3-like domain and a putative PilT N-terminus ribonuclease domain; interacts with Pex14p; may interact with ribosomes ; based on co-purification experiments; green fluorescent protein (GFP)-fusion protein localizes to the nucleus and cytoplasm; ESL2 has a paralog ; ESL1 ; that arose from the whole genome duplication""",Verified ORF
7382,11,628767,0.0411295455204048,0.0604672293160861,0.496826445250935,YKR096W,ESL2,SGDID:S000001804,CDS,CDS,"""hEST1A/B (SMG5/6)-like protein; contributes to environment-sensing adaptive gene expression responses; Esl2p and Esl1p contain a 14-3-3-like domain and a putative PilT N-terminus ribonuclease domain; interacts with Pex14p; may interact with ribosomes ; based on co-purification experiments; green fluorescent protein (GFP)-fusion protein localizes to the nucleus and cytoplasm; ESL2 has a paralog ; ESL1 ; that arose from the whole genome duplication""",Verified ORF
7383,11,628896,0.0492305172201812,0.060667944229015,0.417639787651019,YKR096W,ESL2,SGDID:S000001804,CDS,CDS,"""hEST1A/B (SMG5/6)-like protein; contributes to environment-sensing adaptive gene expression responses; Esl2p and Esl1p contain a 14-3-3-like domain and a putative PilT N-terminus ribonuclease domain; interacts with Pex14p; may interact with ribosomes ; based on co-purification experiments; green fluorescent protein (GFP)-fusion protein localizes to the nucleus and cytoplasm; ESL2 has a paralog ; ESL1 ; that arose from the whole genome duplication""",Verified ORF
7384,11,629511,0.0394163142163557,0.0608615548978177,0.517639463914855,YKR096W,ESL2,SGDID:S000001804,CDS,CDS,"""hEST1A/B (SMG5/6)-like protein; contributes to environment-sensing adaptive gene expression responses; Esl2p and Esl1p contain a 14-3-3-like domain and a putative PilT N-terminus ribonuclease domain; interacts with Pex14p; may interact with ribosomes ; based on co-purification experiments; green fluorescent protein (GFP)-fusion protein localizes to the nucleus and cytoplasm; ESL2 has a paralog ; ESL1 ; that arose from the whole genome duplication""",Verified ORF
7385,11,629750,0.0344499458746768,0.0605787499283234,0.569934678038278,YKR096W,ESL2,SGDID:S000001804,CDS,CDS,"""hEST1A/B (SMG5/6)-like protein; contributes to environment-sensing adaptive gene expression responses; Esl2p and Esl1p contain a 14-3-3-like domain and a putative PilT N-terminus ribonuclease domain; interacts with Pex14p; may interact with ribosomes ; based on co-purification experiments; green fluorescent protein (GFP)-fusion protein localizes to the nucleus and cytoplasm; ESL2 has a paralog ; ESL1 ; that arose from the whole genome duplication""",Verified ORF
