SNP,Chr,Pos,Effect,SE,ADE17_PGM2_noMTX_noDrug_avg_logratio_Fitness_minus_ref.GLM,locus_id,name,sgd_id,snps_class_up,snps_class_down,description,genome_annotations
4232,7,371385,0.0661484940099434,0.0669284364875868,0.323659879867047,YGL071W_NFR/NDR,,,Promoter,Promoter,fragile,Promoter
4233,7,371466,0.0842676118560394,0.0672035346523754,0.21070215286562,YGL071W_NFR/NDR,,,Promoter,Promoter,fragile,Promoter
4234,7,372094,0.0531760618866199,0.0677897535770863,0.433316116355401,YGL071W,AFT1,SGDID:S000003039,CDS,CDS,"""Transcription factor involved in iron utilization and homeostasis; binds consensus site PyPuCACCCPu and activates transcription in response to changes in iron availability; in iron-replete conditions localization is regulated by Grx3p ; Grx4p ; and Fra2p ; and promoter binding is negatively regulated via Grx3p-Grx4p binding; AFT1 has a paralog ; AFT2 ; that arose from the whole genome duplication; relative distribution to the nucleus increases upon DNA replication stress""",Verified ORF
4235,7,373509,0.0532137779512491,0.0681305878414404,0.435293269310328,YGL071W,AFT1,SGDID:S000003039,CDS,CDS,"""Transcription factor involved in iron utilization and homeostasis; binds consensus site PyPuCACCCPu and activates transcription in response to changes in iron availability; in iron-replete conditions localization is regulated by Grx3p ; Grx4p ; and Fra2p ; and promoter binding is negatively regulated via Grx3p-Grx4p binding; AFT1 has a paralog ; AFT2 ; that arose from the whole genome duplication; relative distribution to the nucleus increases upon DNA replication stress""",Verified ORF
4236,7,373552,0.0525345579929092,0.0679225473348776,0.439774925008312,YGL071W,AFT1,SGDID:S000003039,CDS,CDS,"""Transcription factor involved in iron utilization and homeostasis; binds consensus site PyPuCACCCPu and activates transcription in response to changes in iron availability; in iron-replete conditions localization is regulated by Grx3p ; Grx4p ; and Fra2p ; and promoter binding is negatively regulated via Grx3p-Grx4p binding; AFT1 has a paralog ; AFT2 ; that arose from the whole genome duplication; relative distribution to the nucleus increases upon DNA replication stress""",Verified ORF
4237,7,374939,0.0635596340487811,0.0681411578870292,0.351579260053224,YGL068W_NFR/NDR,,,Promoter,Promoter,stable,Promoter
4238,7,376215,0.0389966372920347,0.0679736177314429,0.56653443804213,YGL067W,NPY1,SGDID:S000003035,CDS,CDS,"""NADH diphosphatase (pyrophosphatase); hydrolyzes the pyrophosphate linkage in NADH and related nucleotides; localizes to peroxisomes; involved in the decapping of nicotinamide adenine dinucleotide (NAD) capped nuclear NAD-RNAs; nudix hydrolase family member""",Verified ORF
4239,7,377214,0.058673933319438,0.0682757748463778,0.390721392050398,YGL067W,NPY1,SGDID:S000003035,CDS,CDS,"""NADH diphosphatase (pyrophosphatase); hydrolyzes the pyrophosphate linkage in NADH and related nucleotides; localizes to peroxisomes; involved in the decapping of nicotinamide adenine dinucleotide (NAD) capped nuclear NAD-RNAs; nudix hydrolase family member""",Verified ORF
4243,7,377882,0.0570009665887636,0.0679876104082539,0.4023721604885,YGL066W,SGF73,SGDID:S000003034,CDS,CDS,"""Subunit of DUBm module of SAGA and SLIK; has roles in anchoring deubiquitination module (DUBm) into SAGA and SLIK complexes ; maintaining organization and ubiquitin-binding conformation of Ubp8p ; thereby contributing to overall DUBm activity; involved in preinitiation complex assembly at promoters; relocalizes to cytosol under hypoxia; human homolog ATXN7 implicated in spinocerebellar ataxia ; and can complement yeast null mutant""",Verified ORF
4244,7,378667,0.0619658015926724,0.0686468551915112,0.367313925871391,YGL066W,SGF73,SGDID:S000003034,CDS,CDS,"""Subunit of DUBm module of SAGA and SLIK; has roles in anchoring deubiquitination module (DUBm) into SAGA and SLIK complexes ; maintaining organization and ubiquitin-binding conformation of Ubp8p ; thereby contributing to overall DUBm activity; involved in preinitiation complex assembly at promoters; relocalizes to cytosol under hypoxia; human homolog ATXN7 implicated in spinocerebellar ataxia ; and can complement yeast null mutant""",Verified ORF
4245,7,379511,0.0692877433741337,0.0677836818639971,0.307391392764767,YGL066W,SGF73,SGDID:S000003034,CDS,CDS,"""Subunit of DUBm module of SAGA and SLIK; has roles in anchoring deubiquitination module (DUBm) into SAGA and SLIK complexes ; maintaining organization and ubiquitin-binding conformation of Ubp8p ; thereby contributing to overall DUBm activity; involved in preinitiation complex assembly at promoters; relocalizes to cytosol under hypoxia; human homolog ATXN7 implicated in spinocerebellar ataxia ; and can complement yeast null mutant""",Verified ORF
4247,7,389537,0.0298700342067424,0.068146592345259,0.661422231904037,YGL061C,DUO1,SGDID:S000003029,CDS,CDS,"""Essential subunit of the Dam1 complex (aka DASH complex); cooperates with Dam1p and Pse1p to connect the DASH complex with microtubules (MT); couples kinetochores to the force produced by MT depolymerization thereby aiding in chromosome segregation; is transferred to the kinetochore prior to mitosis""",Verified ORF
4248,7,389749,0.0521719466650191,0.0686994807013436,0.448106554729148,YGL060W_NFR/NDR,,,Promoter,Promoter,stable,Promoter
4249,7,390823,-0.0839053360975772,0.0687683332515826,0.22323542810427,YGL060W,YBP2,SGDID:S000003028,CDS,CDS,"""Central kinetochore associated protein; mediates mitotic progression; interacts with several central kinetochore proteins and centromeric histone Cse4p; role in resistance to oxidative stress; similar to Slk19p; YBP2 has a paralog ; YBP1 ; that arose from the whole genome duplication""",Verified ORF
4250,7,392417,-0.0005282314404626,0.0695270479431894,0.993942425627167,YGL059W,PKP2,SGDID:S000003027,CDS,CDS,"""Mitochondrial protein kinase; negatively regulates activity of the pyruvate dehydrogenase complex by phosphorylating the ser-133 residue of the Pda1p subunit; acts in concert with kinase Pkp1p and phosphatases Ptc5p and Ptc6p; relocalizes from mitochondrion to cytoplasm upon DNA replication stress""",Verified ORF
4251,7,394456,0.015246756743527,0.068543066614608,0.824099599787269,YGL058W,RAD6,SGDID:S000003026,CDS,CDS,"""Ubiquitin-conjugating enzyme (E2); involved in postreplication repair as a heterodimer with Rad18p ; regulation of K63 polyubiquitination in response to oxidative stress ; DSBR and checkpoint control as a heterodimer with Bre1p ; ubiquitin-mediated N-end rule protein degradation as a heterodimer with Ubr1p ; ERAD with Ubr1p in the absence of canonical ER membrane ligases ; and Rpn4p turnover as part of proteasome homeostasis ; in complex with Ubr2p and Mub1p""",Verified ORF
4254,7,397324,0.0156375190034693,0.0688586056100753,0.820480497167766,YGL056C,SDS23,SGDID:S000003024,CDS,CDS,"""Protein involved in cell separation during budding; one of two S. cerevisiae homologs (Sds23p and Sds24p) of the S. pombe Sds23 protein ; which is implicated in APC/cyclosome regulation; SDS23 has a paralog ; SDS24 ; that arose from the whole genome duplication""",Verified ORF
4255,7,397449,0.0027606107455053,0.0690142128451309,0.968115251759289,YGL056C,SDS23,SGDID:S000003024,CDS,CDS,"""Protein involved in cell separation during budding; one of two S. cerevisiae homologs (Sds23p and Sds24p) of the S. pombe Sds23 protein ; which is implicated in APC/cyclosome regulation; SDS23 has a paralog ; SDS24 ; that arose from the whole genome duplication""",Verified ORF
4257,7,398372,0.0185313894199905,0.0690161157658811,0.788465051693852,YGL055W_NFR/NDR,,,Promoter,Promoter,fragile,Promoter
4258,7,399000,0.010536066515144,0.068803772178985,0.878381593942519,YGL055W,OLE1,SGDID:S000003023,CDS,CDS,"""Delta(9) fatty acid desaturase; required for monounsaturated fatty acid synthesis and for normal distribution of mitochondria""",Verified ORF
4259,7,399178,0.0040284900188681,0.0698137683098874,0.954017554902406,YGL055W,OLE1,SGDID:S000003023,CDS,CDS,"""Delta(9) fatty acid desaturase; required for monounsaturated fatty acid synthesis and for normal distribution of mitochondria""",Verified ORF
4263,7,407454,0.0240735735667916,0.0687418985171782,0.726395716691475,YGL049C,TIF4632,SGDID:S000003017,CDS,CDS,"""Translation initiation factor eIF4G and scaffold protein; subunit of the mRNA cap-binding protein complex (eIF4F) with eIF4E (Cdc33p) and eIF4A (Tif1p/Tif2p); proposed to stimulate the ATPase and helicase activities of eIF4A synergistically with eIF4G based on sequence similarity with Tif4631p; proposed to be required with eIF4E for Ded1p-mediated stimulation of mRNA recruitment during 48S preinitiation complex (PIC) assembly; associated with Pab1p-mediated poly(A)-tail stimulated ; translation""",Verified ORF
4264,7,408316,0.0097772006282912,0.0687518694721554,0.886995294804523,YGL049C,TIF4632,SGDID:S000003017,CDS,CDS,"""Translation initiation factor eIF4G and scaffold protein; subunit of the mRNA cap-binding protein complex (eIF4F) with eIF4E (Cdc33p) and eIF4A (Tif1p/Tif2p); proposed to stimulate the ATPase and helicase activities of eIF4A synergistically with eIF4G based on sequence similarity with Tif4631p; proposed to be required with eIF4E for Ded1p-mediated stimulation of mRNA recruitment during 48S preinitiation complex (PIC) assembly; associated with Pab1p-mediated poly(A)-tail stimulated ; translation""",Verified ORF
4265,7,408928,0.0044349759314747,0.0684958301665575,0.948411203305673,YGL049C,TIF4632,SGDID:S000003017,CDS,CDS,"""Translation initiation factor eIF4G and scaffold protein; subunit of the mRNA cap-binding protein complex (eIF4F) with eIF4E (Cdc33p) and eIF4A (Tif1p/Tif2p); proposed to stimulate the ATPase and helicase activities of eIF4A synergistically with eIF4G based on sequence similarity with Tif4631p; proposed to be required with eIF4E for Ded1p-mediated stimulation of mRNA recruitment during 48S preinitiation complex (PIC) assembly; associated with Pab1p-mediated poly(A)-tail stimulated ; translation""",Verified ORF
4268,7,409847,0.0013463587182678,0.0684481133718866,0.984317918402171,YGL049C_NFR/NDR,,,Promoter,Promoter,stable,Promoter
4269,7,409966,-0.0044005735576594,0.0685388563976472,0.948842917152281,YGL049C_NFR/NDR,,,Promoter,Promoter,stable,Promoter
4270,7,411864,-0.0189757875733462,0.0690075649030381,0.783491503798389,YGL047W,ALG13,SGDID:S000003015,CDS,CDS,"""Catalytic component of UDP-GlcNAc transferase; required for the second step of dolichyl-linked oligosaccharide synthesis; anchored to the ER membrane via interaction with Alg14p; similar to bacterial and human glycosyltransferases; protein abundance increases in response to DNA replication stress; both human homologs ALG13 and ALG14 are required to complement yeast alg13 mutant""",Verified ORF
4271,7,412413,-0.0247204099812243,0.0684475181842857,0.718196937188659,YGLWdelta10_NFR/NDR,,,Promoter,Promoter,,Promoter
4272,7,412555,-0.0224632677733519,0.0686549298679909,0.743717446113063,YGLWdelta10,YGLWdelta10,SGDID:S000006947,Other features,LTR,"""Ty1 LTR""",long_terminal_repeat
4275,7,412717,-0.0052046371589822,0.0688060806671422,0.939746682918346,YGLWdelta10,YGLWdelta10,SGDID:S000006947,Other features,LTR,"""Ty1 LTR""",long_terminal_repeat
4276,7,413438,-0.0047306486145237,0.0681646696169372,0.944710285432254,YGL045W,RIM8,SGDID:S000003013,Close to 3'-UTR,Close to 3'-UTR,"""Protein involved in proteolytic activation of Rim101p; part of response to alkaline pH; interacts with ESCRT-1 subunits Stp22p and Vps28p; essential for anaerobic growth; member of the arrestin-related trafficking adaptor family""",Verified ORF
4277,7,413465,-0.0224475346951738,0.0687347643198925,0.744177627966041,YGL045W,RIM8,SGDID:S000003013,Close to 3'-UTR,Close to 3'-UTR,"""Protein involved in proteolytic activation of Rim101p; part of response to alkaline pH; interacts with ESCRT-1 subunits Stp22p and Vps28p; essential for anaerobic growth; member of the arrestin-related trafficking adaptor family""",Verified ORF
4278,7,413738,-0.0148965024201993,0.0681283512331182,0.827046332308922,YGL045W,RIM8,SGDID:S000003013,Close to 3'-UTR,Close to 3'-UTR,"""Protein involved in proteolytic activation of Rim101p; part of response to alkaline pH; interacts with ESCRT-1 subunits Stp22p and Vps28p; essential for anaerobic growth; member of the arrestin-related trafficking adaptor family""",Verified ORF
4279,7,413763,0.0371336550361743,0.0678769238639466,0.584674026058894,YGL045W,RIM8,SGDID:S000003013,Close to 3'-UTR,Close to 3'-UTR,"""Protein involved in proteolytic activation of Rim101p; part of response to alkaline pH; interacts with ESCRT-1 subunits Stp22p and Vps28p; essential for anaerobic growth; member of the arrestin-related trafficking adaptor family""",Verified ORF
4282,7,414290,0.0283199873175972,0.0678889610544097,0.676821115557086,YGL045W,RIM8,SGDID:S000003013,CDS,CDS,"""Protein involved in proteolytic activation of Rim101p; part of response to alkaline pH; interacts with ESCRT-1 subunits Stp22p and Vps28p; essential for anaerobic growth; member of the arrestin-related trafficking adaptor family""",Verified ORF
4283,7,414560,-0.0404340790684363,0.0666283716138451,0.544334079236315,YGL045W,RIM8,SGDID:S000003013,CDS,CDS,"""Protein involved in proteolytic activation of Rim101p; part of response to alkaline pH; interacts with ESCRT-1 subunits Stp22p and Vps28p; essential for anaerobic growth; member of the arrestin-related trafficking adaptor family""",Verified ORF
4284,7,415645,-0.0586984719550168,0.0667006741096329,0.379442760526293,YGL045W,RIM8,SGDID:S000003013,CDS,CDS,"""Protein involved in proteolytic activation of Rim101p; part of response to alkaline pH; interacts with ESCRT-1 subunits Stp22p and Vps28p; essential for anaerobic growth; member of the arrestin-related trafficking adaptor family""",Verified ORF
4285,7,416060,-0.0241854163538865,0.0667205429718981,0.71720408891304,YGL045W,RIM8,SGDID:S000003013,Close to 3'-UTR,Close to 3'-UTR,"""Protein involved in proteolytic activation of Rim101p; part of response to alkaline pH; interacts with ESCRT-1 subunits Stp22p and Vps28p; essential for anaerobic growth; member of the arrestin-related trafficking adaptor family""",Verified ORF
4286,7,416657,-0.0095147966438477,0.0670378592348349,0.887214931242925,YGL044C,RNA15,SGDID:S000003012,CDS,CDS,"""Component of the cleavage and polyadenylation factor I (CF I); CF 1 ; composed of the CF 1A complex (Rna14p ; Rna15p ; Clp1p ; Pcf11p) and Hrp1 ; is involved in cleavage and polyadenylation of mRNA 3' ends; interacts with the A-rich polyadenylation signal in complex with Rna14p and Hrp1p; mutant displays reduced transcription elongation in the G-less-based run-on (GLRO) assay; required for gene looping and maintenance of genome stability""",Verified ORF
4287,7,416947,-0.0385835729673678,0.0673070077705253,0.566842129122395,YGL044C,RNA15,SGDID:S000003012,CDS,CDS,"""Component of the cleavage and polyadenylation factor I (CF I); CF 1 ; composed of the CF 1A complex (Rna14p ; Rna15p ; Clp1p ; Pcf11p) and Hrp1 ; is involved in cleavage and polyadenylation of mRNA 3' ends; interacts with the A-rich polyadenylation signal in complex with Rna14p and Hrp1p; mutant displays reduced transcription elongation in the G-less-based run-on (GLRO) assay; required for gene looping and maintenance of genome stability""",Verified ORF
4288,7,417098,-0.0532498219841595,0.0672100972733019,0.428724286596663,YGL044C,RNA15,SGDID:S000003012,Close to 3'-UTR,Close to 3'-UTR,"""Component of the cleavage and polyadenylation factor I (CF I); CF 1 ; composed of the CF 1A complex (Rna14p ; Rna15p ; Clp1p ; Pcf11p) and Hrp1 ; is involved in cleavage and polyadenylation of mRNA 3' ends; interacts with the A-rich polyadenylation signal in complex with Rna14p and Hrp1p; mutant displays reduced transcription elongation in the G-less-based run-on (GLRO) assay; required for gene looping and maintenance of genome stability""",Verified ORF
4289,7,417241,-0.0317132201083934,0.0667987156230948,0.635253098351416,YGL043W_NFR/NDR,,,Promoter,Promoter,stable,Promoter
4290,7,417345,-0.0084062617396978,0.0676908130288962,0.90123856864861,YGL043W_NFR/NDR,,,Promoter,Promoter,stable,Promoter
4291,7,418232,-0.0464332978129178,0.0688210223493258,0.500310292111557,YGL043W,DST1,SGDID:S000003011,CDS,CDS,"""General transcription elongation factor TFIIS; enables RNA polymerase II to read through blocks to elongation by stimulating cleavage of nascent transcripts stalled at transcription arrest sites; maintains RNAPII elongation activity on ribosomal protein genes during conditions of transcriptional stress""",Verified ORF
4292,7,418899,-0.0385982499434103,0.0682855386275409,0.572264298378194,YGL041W-A,DPC13,SGDID:S000028826,CDS,CDS,"""Putative mitochondrial protein of unknown function; conserved in fungi; identified by expression profiling and mass spectrometry""",Uncharacterized ORF
4293,7,421296,-0.0357420250217919,0.0688408497606987,0.603948099184021,CUT142,,,Unstable transcript,CUT,ncRNA_UNB,Unstable transcript
4294,7,423259,-0.0493968929857426,0.0675440033969888,0.465063358064089,tL(CAA)G2_NFR/NDR,,,Promoter,Promoter,,Promoter
4295,7,423701,-0.0453167100820614,0.0678126145598051,0.504401980201721,YGL039W_NFR/NDR,,,Promoter,Promoter,stable,Promoter
4296,7,424042,-0.0284288339491795,0.0683047948011882,0.677512537519872,YGL039W,YGL039W,SGDID:S000003007,CDS,CDS,"""Aldehyde reductase; reduces aliphatic aldehyde substrates using NADH as cofactor; shown to reduce carbonyl compounds to chiral alcohols""",Verified ORF
4297,7,424415,-0.0389550353491963,0.0681748806165651,0.568093058715165,YGL039W,YGL039W,SGDID:S000003007,CDS,CDS,"""Aldehyde reductase; reduces aliphatic aldehyde substrates using NADH as cofactor; shown to reduce carbonyl compounds to chiral alcohols""",Verified ORF
4298,7,424620,-0.0475029354527527,0.0672761406359418,0.480598599836285,YGL039W,YGL039W,SGDID:S000003007,CDS,CDS,"""Aldehyde reductase; reduces aliphatic aldehyde substrates using NADH as cofactor; shown to reduce carbonyl compounds to chiral alcohols""",Verified ORF
4299,7,424652,0.0029940579971117,0.0676506585440613,0.964724067165277,YGL039W,YGL039W,SGDID:S000003007,CDS,CDS,"""Aldehyde reductase; reduces aliphatic aldehyde substrates using NADH as cofactor; shown to reduce carbonyl compounds to chiral alcohols""",Verified ORF
4300,7,424942,0.0121901145521349,0.0672553030020778,0.856274313384972,YGL039W,YGL039W,SGDID:S000003007,CDS,CDS,"""Aldehyde reductase; reduces aliphatic aldehyde substrates using NADH as cofactor; shown to reduce carbonyl compounds to chiral alcohols""",Verified ORF
4301,7,425235,0.0120509169372383,0.0673205773208678,0.858034175459262,YGL039W,YGL039W,SGDID:S000003007,Close to 3'-UTR,Close to 3'-UTR,"""Aldehyde reductase; reduces aliphatic aldehyde substrates using NADH as cofactor; shown to reduce carbonyl compounds to chiral alcohols""",Verified ORF
4302,7,426067,0.0187944297028188,0.0672060020336016,0.77990673387116,YGL038C,OCH1,SGDID:S000003006,CDS,CDS,"""Mannosyltransferase of the cis-Golgi apparatus; initiates the polymannose outer chain elongation of N-linked oligosaccharides of glycoproteins""",Verified ORF
4303,7,427479,0.0177515417137198,0.0672550517883708,0.791977383571576,CUT143,,,Unstable transcript,CUT,ncRNA_STM,Unstable transcript
4304,7,428717,0.0543137779852949,0.0672762487873459,0.420023072797703,YGL036W,YGL036W,SGDID:S000003004,CDS,CDS,"""Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm; YGL036W is not an essential gene""",Uncharacterized ORF
4305,7,430559,0.0291138501785814,0.0673701132175006,0.665897807427161,YGL036W,YGL036W,SGDID:S000003004,CDS,CDS,"""Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm; YGL036W is not an essential gene""",Uncharacterized ORF
4306,7,432426,0.0348240421138835,0.0675598215941308,0.606557820246931,YGL035C,MIG1,SGDID:S000003003,CDS,CDS,"""Transcription factor involved in glucose repression; sequence specific DNA binding protein containing two Cys2His2 zinc finger motifs; regulated by the SNF1 kinase and the GLC7 phosphatase; regulates filamentous growth along with Mig2p in response to glucose depletion; activated in stochastic pulses of nuclear localization ; shuttling between cytosol and nucleus depending on external glucose levels and its phosphorylation state""",Verified ORF
4307,7,433131,0.064786810038503,0.066878520837931,0.333346299619831,YGL035C_NFR/NDR,,,Promoter,Promoter,fragile,Promoter
4309,7,433461,0.0645460552142012,0.0671418630220381,0.337040044306827,YGL034C,YGL034C,SGDID:S000003002,CDS,CDS,"""Putative protein of unknown function; conserved among S. cerevisiae strains; YGL034C is not an essential gene""",Uncharacterized ORF
4310,7,433639,0.0626950246377502,0.0670618170490039,0.350487122557093,YGL035C,MIG1,SGDID:S000003003,Close to 3'-UTR,Close to 3'-UTR,"""Transcription factor involved in glucose repression; sequence specific DNA binding protein containing two Cys2His2 zinc finger motifs; regulated by the SNF1 kinase and the GLC7 phosphatase; regulates filamentous growth along with Mig2p in response to glucose depletion; activated in stochastic pulses of nuclear localization ; shuttling between cytosol and nucleus depending on external glucose levels and its phosphorylation state""",Verified ORF
4311,7,433742,0.0544665097388921,0.0676833986898777,0.421520152823824,YGL034C_NFR/NDR,,,Promoter,Promoter,,Promoter
4312,7,433809,0.0676715363676853,0.0670627131838096,0.31362819949506,YGL034C_NFR/NDR,,,Promoter,Promoter,,Promoter
4317,7,434030,0.0730104950780405,0.067170548944,0.277804042290178,YGL034C_NFR/NDR,,,Promoter,Promoter,,Promoter
4318,7,434363,0.0625287481182995,0.0670249956888475,0.351500551955652,YGL034C,YGL034C,SGDID:S000003002,Close to 3'-UTR,Close to 3'-UTR,"""Putative protein of unknown function; conserved among S. cerevisiae strains; YGL034C is not an essential gene""",Uncharacterized ORF
4319,7,434513,0.0611872961464837,0.0671909515457827,0.363102347313174,YGL034C,YGL034C,SGDID:S000003002,Close to 3'-UTR,Close to 3'-UTR,"""Putative protein of unknown function; conserved among S. cerevisiae strains; YGL034C is not an essential gene""",Uncharacterized ORF
4320,7,434545,0.0623722222312593,0.0670076102739896,0.352581284580416,YGL034C,YGL034C,SGDID:S000003002,Close to 3'-UTR,Close to 3'-UTR,"""Putative protein of unknown function; conserved among S. cerevisiae strains; YGL034C is not an essential gene""",Uncharacterized ORF
4321,7,434968,0.0725529511011021,0.0676103290314827,0.28395724420032,YGL033W,HOP2,SGDID:S000003001,Close to 3'-UTR,Close to 3'-UTR,"""Meiosis-specific protein that localizes to chromosomes; prevents synapsis between nonhomologous chromosomes and ensures synapsis between homologs; forms complex with Mnd1p to promote homolog pairing and meiotic double-strand break repair; heterodimer of Hop2p-Mnd1p stimulates the Dmc1p-mediated strand invasion""",Verified ORF
4323,7,435937,0.0553085829338205,0.0672739527548473,0.411552394241556,YGL033W,HOP2,SGDID:S000003001,Close to 3'-UTR,Close to 3'-UTR,"""Meiosis-specific protein that localizes to chromosomes; prevents synapsis between nonhomologous chromosomes and ensures synapsis between homologs; forms complex with Mnd1p to promote homolog pairing and meiotic double-strand break repair; heterodimer of Hop2p-Mnd1p stimulates the Dmc1p-mediated strand invasion""",Verified ORF
4324,7,436038,0.0486607021987177,0.0672509379561617,0.469809501690462,YGL033W,HOP2,SGDID:S000003001,Close to 3'-UTR,Close to 3'-UTR,"""Meiosis-specific protein that localizes to chromosomes; prevents synapsis between nonhomologous chromosomes and ensures synapsis between homologs; forms complex with Mnd1p to promote homolog pairing and meiotic double-strand break repair; heterodimer of Hop2p-Mnd1p stimulates the Dmc1p-mediated strand invasion""",Verified ORF
4325,7,436063,0.053487656975607,0.0669604848248993,0.424946771653344,YGL033W,HOP2,SGDID:S000003001,Close to 3'-UTR,Close to 3'-UTR,"""Meiosis-specific protein that localizes to chromosomes; prevents synapsis between nonhomologous chromosomes and ensures synapsis between homologs; forms complex with Mnd1p to promote homolog pairing and meiotic double-strand break repair; heterodimer of Hop2p-Mnd1p stimulates the Dmc1p-mediated strand invasion""",Verified ORF
4327,7,437491,0.0570992855146371,0.0671333248294167,0.395603891128691,YGL031C,RPL24A,SGDID:S000002999,CDS,CDS,"""Ribosomal 60S subunit protein L24A; not essential for translation but may be required for normal translation rate; homologous to mammalian ribosomal protein L24 ; no bacterial homolog; RPL24A has a paralog ; RPL24B ; that arose from the whole genome duplication""",Verified ORF
4329,7,438424,0.076532511340217,0.0680687912594952,0.261632492301084,YGL030W_NFR/NDR,,,Promoter,Promoter,fragile,Promoter
4330,7,438728,0.0617963334970966,0.0677127928119455,0.362063074584335,YGL030W_NFR/NDR,,,Promoter,Promoter,fragile,Promoter
4335,7,446235,0.05866986877076,0.0676584656685072,0.386450262057924,YGL027C_NFR/NDR,,,Promoter,Promoter,stable,Promoter
4336,7,449305,0.0373547049906263,0.0683564261875108,0.585088449669219,YGL025C,PGD1,SGDID:S000002993,CDS,CDS,"""Subunit of the RNA polymerase II mediator complex; associates with core polymerase subunits to form the RNA polymerase II holoenzyme; essential for basal and activated transcription; direct target of Cyc8p-Tup1p transcriptional corepressor""",Verified ORF
4337,7,449489,0.0597939894970857,0.068070455691242,0.380317004871141,YGL025C,PGD1,SGDID:S000002993,CDS,CDS,"""Subunit of the RNA polymerase II mediator complex; associates with core polymerase subunits to form the RNA polymerase II holoenzyme; essential for basal and activated transcription; direct target of Cyc8p-Tup1p transcriptional corepressor""",Verified ORF
4339,7,455708,0.0757055988804891,0.0680702779924589,0.266822680057183,YGL021W,ALK1,SGDID:S000002989,CDS,CDS,"""Atypical protein kinase; along with paralog ; ALK2 ; required for proper spindle positioning and nuclear segregation following mitotic arrest ; proper organization of cell polarity factors in mitosis ; proper localization of formins and polarity factors ; and survival in cells that activate spindle assembly checkpoint; regulates the morphogenesis checkpoint in response to polarity insults through inactivation of Mih1p; phosphorylated in response to DNA damage; similar to mammalian haspins""",Verified ORF
4340,7,455735,0.0546574642418815,0.0677864157120411,0.420601899569546,YGL021W,ALK1,SGDID:S000002989,CDS,CDS,"""Atypical protein kinase; along with paralog ; ALK2 ; required for proper spindle positioning and nuclear segregation following mitotic arrest ; proper organization of cell polarity factors in mitosis ; proper localization of formins and polarity factors ; and survival in cells that activate spindle assembly checkpoint; regulates the morphogenesis checkpoint in response to polarity insults through inactivation of Mih1p; phosphorylated in response to DNA damage; similar to mammalian haspins""",Verified ORF
4341,7,458896,0.0471544580268368,0.0682703175938825,0.490206623245475,YGL019W,CKB1,SGDID:S000002987,CDS,CDS,"""Beta regulatory subunit of casein kinase 2 (CK2); a Ser/Thr protein kinase with roles in cell growth and proliferation; CK2 ; comprised of CKA1 ; CKA2 ; CKB1 and CKB2 ; has many substrates including transcription factors and all RNA polymerases""",Verified ORF
4342,7,458995,0.049323084628486,0.0679967423760711,0.468703067355973,YGL019W,CKB1,SGDID:S000002987,Close to 3'-UTR,Close to 3'-UTR,"""Beta regulatory subunit of casein kinase 2 (CK2); a Ser/Thr protein kinase with roles in cell growth and proliferation; CK2 ; comprised of CKA1 ; CKA2 ; CKB1 and CKB2 ; has many substrates including transcription factors and all RNA polymerases""",Verified ORF
4344,7,460296,0.0404265427982592,0.0682160846990067,0.553811718003787,YGL017W,ATE1,SGDID:S000002985,CDS,CDS,"""Arginyl-tRNA-protein transferase; catalyzes post-translational conjugation of arginine to the amino termini of acceptor proteins which are then subject to degradation via the N-end rule pathway; may have a role in regulating stress response""",Verified ORF
4345,7,460447,0.0375052737982116,0.0684230412998762,0.583943557898888,YGL017W,ATE1,SGDID:S000002985,CDS,CDS,"""Arginyl-tRNA-protein transferase; catalyzes post-translational conjugation of arginine to the amino termini of acceptor proteins which are then subject to degradation via the N-end rule pathway; may have a role in regulating stress response""",Verified ORF
4346,7,460988,0.0067795159090718,0.0677145730250896,0.920306680324662,YGL017W,ATE1,SGDID:S000002985,CDS,CDS,"""Arginyl-tRNA-protein transferase; catalyzes post-translational conjugation of arginine to the amino termini of acceptor proteins which are then subject to degradation via the N-end rule pathway; may have a role in regulating stress response""",Verified ORF
4347,7,461431,0.0169339928601365,0.0679231759897725,0.803265249528625,YGL016W_NFR/NDR,,,Promoter,Promoter,stable,Promoter
4348,7,462915,0.0247402154556895,0.0695145830268262,0.722128315797586,YGL016W,KAP122,SGDID:S000002984,CDS,CDS,"""Karyopherin beta; responsible for import of the Toa1p-Toa2p complex into the nucleus; binds to nucleoporins Nup1p and Nup2p; may play a role in regulation of pleiotropic drug resistance""",Verified ORF
4349,7,465310,0.0178563939926514,0.0682711908506569,0.793820212767879,YGL015C,YGL015C,SGDID:S000002983,CDS,CDS,"""Formin inhibitor; negatively regulates Bnr1-mediated actin filament nucleation but not filament elongation; performs distinct but overlapping roles with Hof1p to control actin cable assembly and polarized secretion; bnr1 bil2 double mutants are inviable; localizes to the cytosol ; secretory vesicles and sites of polarized growth""",Verified ORF
4350,7,465688,0.0258185437583025,0.068707666525259,0.707310751831841,YGL014W_NFR/NDR,,,Promoter,Promoter,stable,Promoter
