SNP,Chr,Pos,Effect,SE,ADE17_HYR1_noMTX_5.FC_avg_logratio_Fitness_minus_ref.GLM,locus_id,name,sgd_id,snps_class_up,snps_class_down,description,genome_annotations
5879,9,365725,-0.107560977439329,0.0696654072432404,0.123492692488573,YIR006C,PAN1,SGDID:S000001445,CDS,CDS,"""Part of actin cytoskeleton-regulatory complex Pan1p-Sla1p-End3p; associates with actin patches on cell cortex; promotes protein-protein interactions essential for endocytosis; binds to and activates Arp2/3 complex in vitro; phosphorylation of Thr-1225 is regulated by MAPK Hog1p in response to osmotic stress; previously thought to be a subunit of poly(A) ribonuclease""",Verified ORF
5880,9,365942,-0.119524596818264,0.0695406279382895,0.0865323319334744,YIR006C,PAN1,SGDID:S000001445,CDS,CDS,"""Part of actin cytoskeleton-regulatory complex Pan1p-Sla1p-End3p; associates with actin patches on cell cortex; promotes protein-protein interactions essential for endocytosis; binds to and activates Arp2/3 complex in vitro; phosphorylation of Thr-1225 is regulated by MAPK Hog1p in response to osmotic stress; previously thought to be a subunit of poly(A) ribonuclease""",Verified ORF
5881,9,366733,-0.101972689355849,0.0702709269307077,0.147629989549903,YIR006C,PAN1,SGDID:S000001445,CDS,CDS,"""Part of actin cytoskeleton-regulatory complex Pan1p-Sla1p-End3p; associates with actin patches on cell cortex; promotes protein-protein interactions essential for endocytosis; binds to and activates Arp2/3 complex in vitro; phosphorylation of Thr-1225 is regulated by MAPK Hog1p in response to osmotic stress; previously thought to be a subunit of poly(A) ribonuclease""",Verified ORF
5883,9,367860,-0.100749247070817,0.0701017614787668,0.151551013689795,YIR006C,PAN1,SGDID:S000001445,CDS,CDS,"""Part of actin cytoskeleton-regulatory complex Pan1p-Sla1p-End3p; associates with actin patches on cell cortex; promotes protein-protein interactions essential for endocytosis; binds to and activates Arp2/3 complex in vitro; phosphorylation of Thr-1225 is regulated by MAPK Hog1p in response to osmotic stress; previously thought to be a subunit of poly(A) ribonuclease""",Verified ORF
5884,9,372204,-0.122425771034403,0.0699388044595662,0.080905996084131,YIR007W,EGH1,SGDID:S000001446,CDS,CDS,"""Steryl-beta-glucosidase with broad specificity for aglycones; has a role in ergosteryl-beta-glucoside catabolism; required for normal vacuolar morphology; has similarity to the C. neoformans ergosteryl-beta-glucosidase EGCrP2; localizes to the cytosol""",Verified ORF
5885,9,372443,-0.122877723579401,0.0696157256998039,0.0784139656680501,YIR007W,EGH1,SGDID:S000001446,CDS,CDS,"""Steryl-beta-glucosidase with broad specificity for aglycones; has a role in ergosteryl-beta-glucoside catabolism; required for normal vacuolar morphology; has similarity to the C. neoformans ergosteryl-beta-glucosidase EGCrP2; localizes to the cytosol""",Verified ORF
5886,9,372471,-0.123537184411753,0.0695538483574269,0.0765715997672802,YIR007W,EGH1,SGDID:S000001446,CDS,CDS,"""Steryl-beta-glucosidase with broad specificity for aglycones; has a role in ergosteryl-beta-glucoside catabolism; required for normal vacuolar morphology; has similarity to the C. neoformans ergosteryl-beta-glucosidase EGCrP2; localizes to the cytosol""",Verified ORF
5887,9,372842,-0.121350806940479,0.0696233128032063,0.0822109492937462,YIR007W,EGH1,SGDID:S000001446,CDS,CDS,"""Steryl-beta-glucosidase with broad specificity for aglycones; has a role in ergosteryl-beta-glucoside catabolism; required for normal vacuolar morphology; has similarity to the C. neoformans ergosteryl-beta-glucosidase EGCrP2; localizes to the cytosol""",Verified ORF
5889,9,378552,-0.0342149697743847,0.0699128715513319,0.624866439960921,YIR012W,SQT1,SGDID:S000001451,CDS,CDS,"""Specific assembly chaperone for ribosomal protein Rpl10p; co-translationally associates with nascent Rpl10p ; preventing aggregation; involved in biogenesis of the ribosomal large subunit; contains multiple WD repeats; interacts genetically and physically with Qsr1p; protein abundance increases in response to DNA replication stress""",Verified ORF
5890,9,379413,-0.0338678772168021,0.0698869021349329,0.628253721763423,YIR012W,SQT1,SGDID:S000001451,CDS,CDS,"""Specific assembly chaperone for ribosomal protein Rpl10p; co-translationally associates with nascent Rpl10p ; preventing aggregation; involved in biogenesis of the ribosomal large subunit; contains multiple WD repeats; interacts genetically and physically with Qsr1p; protein abundance increases in response to DNA replication stress""",Verified ORF
5896,9,383530,-0.0634413833149005,0.070008366820321,0.365449632160338,YIR016W,YIR016W,SGDID:S000001455,Close to 3'-UTR,Close to 3'-UTR,"""Putative protein of unknown function; expression directly regulated by the metabolic and meiotic transcriptional regulator Ume6p; overexpression causes a cell cycle delay or arrest; non-essential gene; YIR016W has a paralog ; YOL036W ; that arose from the whole genome duplication""",Uncharacterized ORF
5897,9,383662,-0.0537507977815762,0.0701275916066102,0.443908083856672,YIR017C,MET28,SGDID:S000001456,CDS,CDS,"""bZIP transcriptional activator in the Cbf1p-Met4p-Met28p complex; participates in the regulation of sulfur metabolism""",Verified ORF
5898,9,383846,-0.0643197575262092,0.0698031384960647,0.357447419604946,YIR017C,MET28,SGDID:S000001456,CDS,CDS,"""bZIP transcriptional activator in the Cbf1p-Met4p-Met28p complex; participates in the regulation of sulfur metabolism""",Verified ORF
5899,9,384190,-0.0465357305747418,0.0698387293795009,0.505634605414603,YIR018W_NFR/NDR,,,Promoter,Promoter,fragile,Promoter
5901,9,384344,-0.0433336069335811,0.0708523697625409,0.541193337845401,YIR018W_NFR/NDR,,,Promoter,Promoter,fragile,Promoter
5902,9,384418,-0.0287470268738594,0.0699711702139336,0.681438392542514,YIR018W_NFR/NDR,,,Promoter,Promoter,fragile,Promoter
5903,9,385423,-0.0443809153631346,0.0698427025760928,0.525552549433739,YIR018W,YAP5,SGDID:S000001457,Close to 3'-UTR,Close to 3'-UTR,"""Basic leucine zipper (bZIP) iron-sensing transcription factor; senses high-iron conditions via two Fe/S clusters bound to its activator domain; involved in diauxic shift; YAP5 has a paralog ; YAP7 ; that arose from the whole genome duplication""",Verified ORF
5904,9,385546,-0.035658429823884,0.0698579598163593,0.610060945230245,YIR018W,YAP5,SGDID:S000001457,Close to 3'-UTR,Close to 3'-UTR,"""Basic leucine zipper (bZIP) iron-sensing transcription factor; senses high-iron conditions via two Fe/S clusters bound to its activator domain; involved in diauxic shift; YAP5 has a paralog ; YAP7 ; that arose from the whole genome duplication""",Verified ORF
5907,9,387839,-0.0188909505472007,0.0701002993917858,0.787714251842302,I:385702-389571,,,Intergenic region,Intergenic region,between YIR018C-A and YIR019C,Intergenic region
5912,9,388668,-0.0023173922086265,0.070241585090682,0.973699819772323,YIR019C,FLO11,SGDID:S000001458,Close to 3'-UTR,Close to 3'-UTR,"""GPI-anchored cell surface glycoprotein (flocculin); required for pseudohyphal and invasive growth ; flocculation ; and biofilm formation; major determinant of colony morphology; QTL that controls chronological life span; carries intragenic tandem repeats that are expanded in different strains; required for formation of fibrous interconnections between cells; role in co-flocculation with other yeast species; cleaved and shed from cells ; contributing to their surface properties""",Verified ORF
5918,9,394182,0.0436211542366063,0.0705324390425376,0.536674160595992,YNCI0012,ICR1,SGDID:S000132612,Non-coding RNA,ncRNA_gene,"ncRNA_gene ; ""Long intergenic regulatory ncRNA; has a key role in regulating transcription of the nearby protein-coding ORF FLO11; initiated far upstream from FLO11 and transcribed across much of the large promoter of FLO11 ; repressing FLO11 transcription in cis""",ncRNA_gene
5919,9,394680,0.0283731822649592,0.0710085370704156,0.68971178318553,YNCI0012,ICR1,SGDID:S000132612,Non-coding RNA,ncRNA_gene,"ncRNA_gene ; ""Long intergenic regulatory ncRNA; has a key role in regulating transcription of the nearby protein-coding ORF FLO11; initiated far upstream from FLO11 and transcribed across much of the large promoter of FLO11 ; repressing FLO11 transcription in cis""",ncRNA_gene
5920,9,394807,0.139270860214768,0.0733078906356061,0.0582731652229616,YNCI0012,ICR1,SGDID:S000132612,Non-coding RNA,ncRNA_gene,"ncRNA_gene ; ""Long intergenic regulatory ncRNA; has a key role in regulating transcription of the nearby protein-coding ORF FLO11; initiated far upstream from FLO11 and transcribed across much of the large promoter of FLO11 ; repressing FLO11 transcription in cis""",ncRNA_gene
5921,9,394916,0.0518051437361138,0.0703603013628767,0.462047054126279,YNCI0012,ICR1,SGDID:S000132612,Non-coding RNA,ncRNA_gene,"ncRNA_gene ; ""Long intergenic regulatory ncRNA; has a key role in regulating transcription of the nearby protein-coding ORF FLO11; initiated far upstream from FLO11 and transcribed across much of the large promoter of FLO11 ; repressing FLO11 transcription in cis""",ncRNA_gene
5922,9,394975,0.0632354157377724,0.0702730836274373,0.368812151780232,YNCI0012,ICR1,SGDID:S000132612,Non-coding RNA,ncRNA_gene,"ncRNA_gene ; ""Long intergenic regulatory ncRNA; has a key role in regulating transcription of the nearby protein-coding ORF FLO11; initiated far upstream from FLO11 and transcribed across much of the large promoter of FLO11 ; repressing FLO11 transcription in cis""",ncRNA_gene
5923,9,395649,0.0652305496124684,0.0700415095585026,0.35232830756619,YNCI0012,ICR1,SGDID:S000132612,Non-coding RNA,ncRNA_gene,"ncRNA_gene ; ""Long intergenic regulatory ncRNA; has a key role in regulating transcription of the nearby protein-coding ORF FLO11; initiated far upstream from FLO11 and transcribed across much of the large promoter of FLO11 ; repressing FLO11 transcription in cis""",ncRNA_gene
5926,9,396186,0.0721855579326453,0.0699222239200509,0.302605915910447,YNCI0012,ICR1,SGDID:S000132612,Non-coding RNA,ncRNA_gene,"ncRNA_gene ; ""Long intergenic regulatory ncRNA; has a key role in regulating transcription of the nearby protein-coding ORF FLO11; initiated far upstream from FLO11 and transcribed across much of the large promoter of FLO11 ; repressing FLO11 transcription in cis""",ncRNA_gene
5927,9,396458,0.0806272168973737,0.0699482525821354,0.249826027037836,YNCI0012,ICR1,SGDID:S000132612,Non-coding RNA,ncRNA_gene,"ncRNA_gene ; ""Long intergenic regulatory ncRNA; has a key role in regulating transcription of the nearby protein-coding ORF FLO11; initiated far upstream from FLO11 and transcribed across much of the large promoter of FLO11 ; repressing FLO11 transcription in cis""",ncRNA_gene
5928,9,396462,0.0818981380998965,0.0705570434045125,0.246533417901418,YNCI0012,ICR1,SGDID:S000132612,Non-coding RNA,ncRNA_gene,"ncRNA_gene ; ""Long intergenic regulatory ncRNA; has a key role in regulating transcription of the nearby protein-coding ORF FLO11; initiated far upstream from FLO11 and transcribed across much of the large promoter of FLO11 ; repressing FLO11 transcription in cis""",ncRNA_gene
5929,9,396463,0.0818981380998965,0.0705570434045125,0.246533417901418,YNCI0012,ICR1,SGDID:S000132612,Non-coding RNA,ncRNA_gene,"ncRNA_gene ; ""Long intergenic regulatory ncRNA; has a key role in regulating transcription of the nearby protein-coding ORF FLO11; initiated far upstream from FLO11 and transcribed across much of the large promoter of FLO11 ; repressing FLO11 transcription in cis""",ncRNA_gene
5930,9,396464,0.0818981380998965,0.0705570434045125,0.246533417901418,YNCI0012,ICR1,SGDID:S000132612,Non-coding RNA,ncRNA_gene,"ncRNA_gene ; ""Long intergenic regulatory ncRNA; has a key role in regulating transcription of the nearby protein-coding ORF FLO11; initiated far upstream from FLO11 and transcribed across much of the large promoter of FLO11 ; repressing FLO11 transcription in cis""",ncRNA_gene
5931,9,398401,0.142648627627047,0.0700156698658642,0.042357235961082,YIR020C-B,YIR020C-B,SGDID:S000028800,Close to 3'-UTR,Close to 3'-UTR,"""Dubious open reading frame; unlikely to encode a functional protein ; based on available experimental and comparative sequence data; partially overlaps verified ORF MRS1""",Dubious ORF
5932,9,398470,0.14253383504566,0.0697081344886768,0.0416234546720268,YIR020C-B,YIR020C-B,SGDID:S000028800,Close to 3'-UTR,Close to 3'-UTR,"""Dubious open reading frame; unlikely to encode a functional protein ; based on available experimental and comparative sequence data; partially overlaps verified ORF MRS1""",Dubious ORF
5933,9,399657,0.100083588837187,0.0712185385489424,0.160810800313796,YIR023W_NFR/NDR,,,Promoter,Promoter,stable,Promoter
5934,9,399838,0.110226949256182,0.0696757005254078,0.114545122671935,YIR023W,DAL81,SGDID:S000001462,CDS,CDS,"""Positive regulator of genes in multiple nitrogen degradation pathways; contains DNA binding domain but does not appear to bind the dodecanucleotide sequence present in the promoter region of many genes involved in allantoin catabolism""",Verified ORF
5935,9,400574,0.152780760670035,0.0694090200527299,0.0283710528983141,YIR023W,DAL81,SGDID:S000001462,CDS,CDS,"""Positive regulator of genes in multiple nitrogen degradation pathways; contains DNA binding domain but does not appear to bind the dodecanucleotide sequence present in the promoter region of many genes involved in allantoin catabolism""",Verified ORF
5936,9,400641,0.143103347258225,0.069674674092965,0.0407235225586648,YIR023W,DAL81,SGDID:S000001462,CDS,CDS,"""Positive regulator of genes in multiple nitrogen degradation pathways; contains DNA binding domain but does not appear to bind the dodecanucleotide sequence present in the promoter region of many genes involved in allantoin catabolism""",Verified ORF
5937,9,402212,0.124979175503993,0.0696977112171122,0.0738032202668993,YIR023W,DAL81,SGDID:S000001462,CDS,CDS,"""Positive regulator of genes in multiple nitrogen degradation pathways; contains DNA binding domain but does not appear to bind the dodecanucleotide sequence present in the promoter region of many genes involved in allantoin catabolism""",Verified ORF
5938,9,404274,0.160617811964373,0.0693854890570099,0.0211936040594675,YIR025W,MND2,SGDID:S000001464,CDS,CDS,"""Subunit of the Anaphase-Promoting Complex/Cyclosome (APC/C); necessary for maintaining sister chromatid cohesion in prophase I of meiosis by inhibiting premature ubiquitination and subsequent degradation of substrates by the APC(Ama1) ubiquitin ligase""",Verified ORF
5939,9,404302,0.170498134837249,0.069397085907216,0.0144967626547167,YIR025W,MND2,SGDID:S000001464,CDS,CDS,"""Subunit of the Anaphase-Promoting Complex/Cyclosome (APC/C); necessary for maintaining sister chromatid cohesion in prophase I of meiosis by inhibiting premature ubiquitination and subsequent degradation of substrates by the APC(Ama1) ubiquitin ligase""",Verified ORF
5940,9,405135,0.15763791455541,0.0695098832756561,0.0239422216763554,YIR026C,YVH1,SGDID:S000001465,CDS,CDS,"""Dual specificity protein phosphatase; regulates growth ; sporulation ; and glycogen accumulation in a cAMP-dependent protein kinase cascade dependent manner; mutants are defective in 60S ribosome assembly; positively regulates pre-autophagosomal structure (PAS) formation upon nitrogen starvation or rapamycin treatment""",Verified ORF
5941,9,405593,0.163983632785679,0.069468282192234,0.0187908266794941,YIR026C,YVH1,SGDID:S000001465,CDS,CDS,"""Dual specificity protein phosphatase; regulates growth ; sporulation ; and glycogen accumulation in a cAMP-dependent protein kinase cascade dependent manner; mutants are defective in 60S ribosome assembly; positively regulates pre-autophagosomal structure (PAS) formation upon nitrogen starvation or rapamycin treatment""",Verified ORF
5943,9,406743,0.186775740960797,0.0690954090425273,0.0072005856189326,YIR027C,DAL1,SGDID:S000001466,CDS,CDS,"""Allantoinase; converts allantoin to allantoate in the first step of allantoin degradation; expression sensitive to nitrogen catabolite repression""",Verified ORF
5944,9,408263,0.196289427371843,0.0691150817958828,0.0047722716934389,YIR027C,DAL1,SGDID:S000001466,Close to 3'-UTR,Close to 3'-UTR,"""Allantoinase; converts allantoin to allantoate in the first step of allantoin degradation; expression sensitive to nitrogen catabolite repression""",Verified ORF
5945,9,409700,0.149619875226318,0.0695600670220182,0.032158850055293,YIR028W,DAL4,SGDID:S000001467,CDS,CDS,"""Allantoin permease; expression sensitive to nitrogen catabolite repression and induced by allophanate ; an intermediate in allantoin degradation""",Verified ORF
5946,9,410727,0.200776162488698,0.0698699818446225,0.0043042994991625,YIR028W,DAL4,SGDID:S000001467,Close to 3'-UTR,Close to 3'-UTR,"""Allantoin permease; expression sensitive to nitrogen catabolite repression and induced by allophanate ; an intermediate in allantoin degradation""",Verified ORF
5947,9,411273,0.161702598972427,0.0695124202383185,0.0205713794235034,YIR029W,DAL2,SGDID:S000001468,CDS,CDS,"""Allantoicase; converts allantoate to urea and ureidoglycolate in the second step of allantoin degradation; expression sensitive to nitrogen catabolite repression and induced by allophanate ; an intermediate in allantoin degradation""",Verified ORF
5948,9,411520,0.155412215395492,0.0696301238565515,0.0262441111638147,YIR029W,DAL2,SGDID:S000001468,CDS,CDS,"""Allantoicase; converts allantoate to urea and ureidoglycolate in the second step of allantoin degradation; expression sensitive to nitrogen catabolite repression and induced by allophanate ; an intermediate in allantoin degradation""",Verified ORF
5949,9,411553,0.160201890854124,0.0695825831024422,0.0218980199981205,YIR029W,DAL2,SGDID:S000001468,CDS,CDS,"""Allantoicase; converts allantoate to urea and ureidoglycolate in the second step of allantoin degradation; expression sensitive to nitrogen catabolite repression and induced by allophanate ; an intermediate in allantoin degradation""",Verified ORF
5950,9,411811,0.14445524735539,0.0702224449274192,0.0404099841386803,YIR029W,DAL2,SGDID:S000001468,CDS,CDS,"""Allantoicase; converts allantoate to urea and ureidoglycolate in the second step of allantoin degradation; expression sensitive to nitrogen catabolite repression and induced by allophanate ; an intermediate in allantoin degradation""",Verified ORF
5952,9,412923,0.122013059619572,0.0699408475487537,0.0819391566661574,YIR030W-A,YIR030W-A,SGDID:S000028802,CDS,CDS,"""Dubious open reading frame; unlikely to encode a functional protein ; based on available experimental and comparative sequence data; overlaps ORF DAL7/YIR031C""",Dubious ORF
5953,9,418993,0.0963264630048749,0.0698930875570731,0.169015296960963,YIR033W,MGA2,SGDID:S000001472,CDS,CDS,"""ER membrane protein involved in regulation of OLE1 transcription; inactive ER form dimerizes and one subunit is then activated by ubiquitin/proteasome-dependent processing followed by nuclear targeting; MGA2 has a paralog ; SPT23 ; that arose from the whole genome duplication""",Verified ORF
5958,9,419805,0.096583035005338,0.0695975687680089,0.166092854528322,YIR034C,LYS1,SGDID:S000001473,CDS,CDS,"""Saccharopine dehydrogenase (NAD+ ; L-lysine-forming); catalyzes the conversion of saccharopine to L-lysine ; which is the final step in the lysine biosynthesis pathway; also has mRNA binding activity""",Verified ORF
5959,9,419841,0.085255841637098,0.0696394750908719,0.221675903032003,YIR034C,LYS1,SGDID:S000001473,CDS,CDS,"""Saccharopine dehydrogenase (NAD+ ; L-lysine-forming); catalyzes the conversion of saccharopine to L-lysine ; which is the final step in the lysine biosynthesis pathway; also has mRNA binding activity""",Verified ORF
5960,9,421227,0.0803488147783296,0.0699536049929082,0.251498058120447,YIR035C,NRE1,SGDID:S000001474,CDS,CDS,"""Putative cytoplasmic short-chain dehydrogenase/reductase""",Uncharacterized ORF
5961,9,421228,0.0744051050262718,0.0698691280045761,0.287639525863014,YIR035C,NRE1,SGDID:S000001474,CDS,CDS,"""Putative cytoplasmic short-chain dehydrogenase/reductase""",Uncharacterized ORF
5962,9,422857,-0.0786101358629064,0.070134878054083,0.263116943359507,YIR036C,IRC24,SGDID:S000001475,CDS,CDS,"""Putative benzil reductase;(GFP)-fusion protein localizes to the cytoplasm and is induced by the DNA-damaging agent MMS; sequence similarity with short-chain dehydrogenase/reductases; null mutant has increased spontaneous Rad52p foci""",Verified ORF
5963,9,422867,-0.0847659379673398,0.0702245730485842,0.228213608140533,YIR036W-A,YIR036W-A,SGDID:S000028803,CDS,CDS,"""Dubious open reading frame; unlikely to encode a functional protein ; based on available experimental and comparative sequence data; overlaps ORF IRC24/YIR036C""",Dubious ORF
5964,9,422955,-0.0883208904060011,0.070284859432292,0.209724592583618,YIR036W-A,YIR036W-A,SGDID:S000028803,CDS,CDS,"""Dubious open reading frame; unlikely to encode a functional protein ; based on available experimental and comparative sequence data; overlaps ORF IRC24/YIR036C""",Dubious ORF
5965,9,422958,-0.069679405920877,0.0701034942212982,0.320927777041181,YIR036W-A,YIR036W-A,SGDID:S000028803,CDS,CDS,"""Dubious open reading frame; unlikely to encode a functional protein ; based on available experimental and comparative sequence data; overlaps ORF IRC24/YIR036C""",Dubious ORF
5966,9,423010,-0.0714832266654512,0.0705003517524522,0.311305167397504,YIR036W-A,YIR036W-A,SGDID:S000028803,CDS,CDS,"""Dubious open reading frame; unlikely to encode a functional protein ; based on available experimental and comparative sequence data; overlaps ORF IRC24/YIR036C""",Dubious ORF
5967,9,423041,-0.0667054282728441,0.0704178594721728,0.344144135300291,YIR037W_NFR/NDR,,,Promoter,Promoter,stable,Promoter
5968,9,423054,-0.0696635217338618,0.0701616636329292,0.321438754376216,YIR037W_NFR/NDR,,,Promoter,Promoter,stable,Promoter
5969,9,423651,-0.0697743553326413,0.0708616301952744,0.325467291823219,YIR036C,IRC24,SGDID:S000001475,Close to 3'-UTR,Close to 3'-UTR,"""Putative benzil reductase;(GFP)-fusion protein localizes to the cytoplasm and is induced by the DNA-damaging agent MMS; sequence similarity with short-chain dehydrogenase/reductases; null mutant has increased spontaneous Rad52p foci""",Verified ORF
5970,9,423935,-0.0446414902770316,0.0700572381435334,0.524398160047724,YIR038C,GTT1,SGDID:S000001477,CDS,CDS,"""ER associated glutathione S-transferase; capable of homodimerization; glutathione transferase for Yvc1p vacuolar cation channel; expression induced during the diauxic shift and throughout stationary phase; functional overlap with Gtt2p ; Grx1p ; and Grx2p""",Verified ORF
5971,9,424069,-0.0443632778072179,0.0700677356353792,0.527046671670647,YIR038C,GTT1,SGDID:S000001477,CDS,CDS,"""ER associated glutathione S-transferase; capable of homodimerization; glutathione transferase for Yvc1p vacuolar cation channel; expression induced during the diauxic shift and throughout stationary phase; functional overlap with Gtt2p ; Grx1p ; and Grx2p""",Verified ORF
5972,9,424914,-0.0507563201811479,0.069778732624662,0.467469502754303,YIR038C,GTT1,SGDID:S000001477,Close to 3'-UTR,Close to 3'-UTR,"""ER associated glutathione S-transferase; capable of homodimerization; glutathione transferase for Yvc1p vacuolar cation channel; expression induced during the diauxic shift and throughout stationary phase; functional overlap with Gtt2p ; Grx1p ; and Grx2p""",Verified ORF
5973,9,425156,-0.0284742415737065,0.0701033471941835,0.684859982964407,YIR038C,GTT1,SGDID:S000001477,Close to 3'-UTR,Close to 3'-UTR,"""ER associated glutathione S-transferase; capable of homodimerization; glutathione transferase for Yvc1p vacuolar cation channel; expression induced during the diauxic shift and throughout stationary phase; functional overlap with Gtt2p ; Grx1p ; and Grx2p""",Verified ORF
5974,9,425546,-0.0477007803840576,0.0698376031082243,0.495039503303873,I:424514-426200,,,Intergenic region,Intergenic region,between YIR038C and YIRCdelta6,Intergenic region
5975,9,425655,-0.0238128106968045,0.070591562696722,0.736066939083774,I:424514-426200,,,Intergenic region,Intergenic region,between YIR038C and YIRCdelta6,Intergenic region
5976,9,425822,-0.0227618077000296,0.0704788288713448,0.7469171266093,I:424514-426200,,,Intergenic region,Intergenic region,between YIR038C and YIRCdelta6,Intergenic region
5977,9,426507,-0.0143325836327614,0.0715464195075287,0.841341256700733,I:426426-430497,,,Intergenic region,Intergenic region,between YIRCdelta6 and YIR039C,Intergenic region
5978,9,429181,-1.02863974036291e-05,0.0704892404823414,0.999883648240801,I:426426-430497,,,Intergenic region,Intergenic region,between YIRCdelta6 and YIR039C,Intergenic region
5983,10,26272,-0.0141472026530224,0.0703973470412339,0.84084390586399,YJL216C,IMA5,SGDID:S000003752,Close to 3'-UTR,Close to 3'-UTR,"""Alpha-glucosidase; specificity for isomaltose ; maltose ; and palatinose ; but not alpha-methylglucoside; most distant member of the IMA isomaltase family ; but with similar catalytic properties as Ima1p and Ima2p; not required for isomaltose utilization ; but Ima5p overexpression allows the ima1 null mutant to grow on isomaltose; can cleave alpha-1,3 linkage of nigerose and turanose and alpha-1,5 linkage of leucrose and is very sensitive to temperature in vitro""",Verified ORF
5984,10,28452,0.0071331780459684,0.0702116492521777,0.919135541836473,YJL214W,HXT8,SGDID:S000003750,CDS,CDS,"""Protein of unknown function with similarity to hexose transporters; expression is induced by low levels of glucose and repressed by high levels of glucose""",Verified ORF
5985,10,28714,0.0184999229616105,0.0701005948169717,0.79200683795431,YJL214W,HXT8,SGDID:S000003750,Close to 3'-UTR,Close to 3'-UTR,"""Protein of unknown function with similarity to hexose transporters; expression is induced by low levels of glucose and repressed by high levels of glucose""",Verified ORF
5986,10,28835,0.0059982618499416,0.070586346059088,0.932327332591245,YJL214W,HXT8,SGDID:S000003750,Close to 3'-UTR,Close to 3'-UTR,"""Protein of unknown function with similarity to hexose transporters; expression is induced by low levels of glucose and repressed by high levels of glucose""",Verified ORF
5989,10,29367,-0.0077991896514758,0.0712589174861917,0.912908869451593,YJL214W,HXT8,SGDID:S000003750,Close to 3'-UTR,Close to 3'-UTR,"""Protein of unknown function with similarity to hexose transporters; expression is induced by low levels of glucose and repressed by high levels of glucose""",Verified ORF
5990,10,30148,0.0098263077461342,0.070689629419137,0.889524395250785,J:28597-32162,,,Intergenic region,Intergenic region,between YJL214W and YJL213W,Intergenic region
5991,10,32768,0.0820560337206947,0.070104108095347,0.242594127713075,YJL213W,YJL213W,SGDID:S000003749,CDS,CDS,"""Protein of unknown function that may interact with ribosomes; periodically expressed during the yeast metabolic cycle; phosphorylated in vitro by the mitotic exit network (MEN) kinase complex ; Dbf2p/Mob1p""",Verified ORF
5993,10,35651,0.108142252658344,0.0698830918574284,0.122645063210549,YJL212C,OPT1,SGDID:S000003748,CDS,CDS,"""Proton-coupled oligopeptide transporter of the plasma membrane; also transports glutathione and phytochelatin; member of the OPT family""",Verified ORF
5994,10,36050,0.124348900275372,0.0696083250273741,0.0748912598217925,YJL212C,OPT1,SGDID:S000003748,CDS,CDS,"""Proton-coupled oligopeptide transporter of the plasma membrane; also transports glutathione and phytochelatin; member of the OPT family""",Verified ORF
5995,10,41756,0.0741474861607637,0.0712842684478566,0.298974597285281,YJL207C,LAA1,SGDID:S000003743,CDS,CDS,"""AP-1 accessory protein; colocalizes with clathrin to the late-Golgi apparatus; involved in TGN-endosome transport; physically interacts with AP-1; similar to the mammalian p200; may interact with ribosomes; YJL207C is a non-essential gene""",Verified ORF
5996,10,42005,0.0927472458046671,0.0714475306192858,0.195094675067405,YJL207C,LAA1,SGDID:S000003743,CDS,CDS,"""AP-1 accessory protein; colocalizes with clathrin to the late-Golgi apparatus; involved in TGN-endosome transport; physically interacts with AP-1; similar to the mammalian p200; may interact with ribosomes; YJL207C is a non-essential gene""",Verified ORF
5997,10,43109,0.0513179379632794,0.0700276286763938,0.464152015573081,YJL207C,LAA1,SGDID:S000003743,CDS,CDS,"""AP-1 accessory protein; colocalizes with clathrin to the late-Golgi apparatus; involved in TGN-endosome transport; physically interacts with AP-1; similar to the mammalian p200; may interact with ribosomes; YJL207C is a non-essential gene""",Verified ORF
5998,10,43346,0.0616828408242328,0.0706289665364082,0.383073499505504,YJL207C,LAA1,SGDID:S000003743,CDS,CDS,"""AP-1 accessory protein; colocalizes with clathrin to the late-Golgi apparatus; involved in TGN-endosome transport; physically interacts with AP-1; similar to the mammalian p200; may interact with ribosomes; YJL207C is a non-essential gene""",Verified ORF
5999,10,43909,0.0852809392164467,0.0708551222435301,0.229552293055192,YJL207C,LAA1,SGDID:S000003743,CDS,CDS,"""AP-1 accessory protein; colocalizes with clathrin to the late-Golgi apparatus; involved in TGN-endosome transport; physically interacts with AP-1; similar to the mammalian p200; may interact with ribosomes; YJL207C is a non-essential gene""",Verified ORF
6000,10,46831,0.126158990041791,0.0707744090577424,0.075518758750829,YJL207C,LAA1,SGDID:S000003743,CDS,CDS,"""AP-1 accessory protein; colocalizes with clathrin to the late-Golgi apparatus; involved in TGN-endosome transport; physically interacts with AP-1; similar to the mammalian p200; may interact with ribosomes; YJL207C is a non-essential gene""",Verified ORF
6001,10,49405,0.100464862066081,0.0697175003104107,0.15046323585228,YJL206C,YJL206C,SGDID:S000003741,CDS,CDS,"""Putative protein of unknown function; similar to transcriptional regulators from the Zn[2]-Cys[6] binuclear cluster protein family; mRNA is weakly cell cycle regulated ; peaking in S phase; induced rapidly upon MMS treatment""",Uncharacterized ORF
6002,10,50102,0.0723015440343993,0.0707819243016109,0.307731792144095,YJL206C_NFR/NDR,,,Promoter,Promoter,,Promoter
6003,10,54201,0.0987581037798488,0.0702839321712637,0.160861857273436,YJL202C,YJL202C,SGDID:S000003738,CDS,CDS,"""Dubious open reading frame; unlikely to encode a functional protein ; based on available experimental and comparative sequence data; overlaps 3' end of essential PRP21 gene encoding a subunit of the SF3a splicing factor complex""",Dubious ORF
