SNP,Chr,Pos,Effect,SE,RET2_SNA3_MTX_Trifluoperazine_avg_logratio_Fitness_minus_ref.GLM,locus_id,name,sgd_id,snps_class_up,snps_class_down,description,genome_annotations
4352,7,467497,-0.101797474881246,0.0967373182569838,0.293377958898761,YGL014W,PUF4,SGDID:S000002982,CDS,CDS,"""Member of the PUF protein family; PUF family is defined by the presence of Pumilio homology domains that confer RNA binding activity; preferentially binds mRNAs encoding nucleolar ribosomal RNA-processing factors""",Verified ORF
4356,7,469647,-0.0558213392767599,0.0962009284106163,0.562110983007446,YGL013C,PDR1,SGDID:S000002981,CDS,CDS,"""Transcription factor that regulates the pleiotropic drug response; zinc cluster protein that is a master regulator involved in recruiting other zinc cluster proteins to pleiotropic drug response elements (PDREs) to fine tune the regulation of multidrug resistance genes; relocalizes to the cytosol in response to hypoxia; PDR1 has a paralog ; PDR3 ; that arose from the whole genome duplication""",Verified ORF
4357,7,469734,-0.0201913033835401,0.096730097916135,0.834772715522018,YGL013C,PDR1,SGDID:S000002981,CDS,CDS,"""Transcription factor that regulates the pleiotropic drug response; zinc cluster protein that is a master regulator involved in recruiting other zinc cluster proteins to pleiotropic drug response elements (PDREs) to fine tune the regulation of multidrug resistance genes; relocalizes to the cytosol in response to hypoxia; PDR1 has a paralog ; PDR3 ; that arose from the whole genome duplication""",Verified ORF
4358,7,471518,-0.0229370989308302,0.0980812342722659,0.815230645170933,YGL013C,PDR1,SGDID:S000002981,CDS,CDS,"""Transcription factor that regulates the pleiotropic drug response; zinc cluster protein that is a master regulator involved in recruiting other zinc cluster proteins to pleiotropic drug response elements (PDREs) to fine tune the regulation of multidrug resistance genes; relocalizes to the cytosol in response to hypoxia; PDR1 has a paralog ; PDR3 ; that arose from the whole genome duplication""",Verified ORF
4359,7,472246,-0.0618106545569967,0.0972247914527554,0.525351361472653,YGL013C,PDR1,SGDID:S000002981,CDS,CDS,"""Transcription factor that regulates the pleiotropic drug response; zinc cluster protein that is a master regulator involved in recruiting other zinc cluster proteins to pleiotropic drug response elements (PDREs) to fine tune the regulation of multidrug resistance genes; relocalizes to the cytosol in response to hypoxia; PDR1 has a paralog ; PDR3 ; that arose from the whole genome duplication""",Verified ORF
4360,7,477177,-0.0504773576849613,0.097747141530714,0.605893165512986,YGL009C,LEU1,SGDID:S000002977,CDS,CDS,"""Isopropylmalate isomerase; catalyzes the second step in the leucine biosynthesis pathway""",Verified ORF
4361,7,477678,-0.0578494204852675,0.0970548444264418,0.551524643054083,YGL009C,LEU1,SGDID:S000002977,CDS,CDS,"""Isopropylmalate isomerase; catalyzes the second step in the leucine biosynthesis pathway""",Verified ORF
4362,7,477857,-0.0466649758726683,0.0970890512001833,0.631069431286319,YGL009C,LEU1,SGDID:S000002977,CDS,CDS,"""Isopropylmalate isomerase; catalyzes the second step in the leucine biosynthesis pathway""",Verified ORF
4363,7,479063,-0.0204557303259105,0.0973260843904159,0.833650580970869,YGL009C,LEU1,SGDID:S000002977,Close to 3'-UTR,Close to 3'-UTR,"""Isopropylmalate isomerase; catalyzes the second step in the leucine biosynthesis pathway""",Verified ORF
4366,7,482519,-0.0499084272890462,0.0986558488096247,0.613253758405914,YGL008C,PMA1,SGDID:S000002976,CDS,CDS,"""Plasma membrane P2-type H+-ATPase; pumps protons out of cell; major regulator of cytoplasmic pH and plasma membrane potential; long-lived protein asymmetrically distributed at plasma membrane between mother cells and buds; accumulates at high levels in mother cells during aging ; buds emerge with very low levels of Pma1p ; newborn cells have low levels of Pma1p; Hsp30p plays a role in Pma1p regulation; interactions with Std1p appear to propagate [GAR+]""",Verified ORF
4370,7,489418,-0.0267082799578018,0.09854369258511,0.78652650567323,YGL006W,PMC1,SGDID:S000002974,CDS,CDS,"""Vacuolar Ca2+ ATPase involved in depleting cytosol of Ca2+ ions; prevents growth inhibition by activation of calcineurin in the presence of elevated concentrations of calcium; similar to mammalian PMCA1a""",Verified ORF
4371,7,492815,-0.0577450851126637,0.0985461558898379,0.558270175770647,YGL003C,CDH1,SGDID:S000002971,CDS,CDS,"""Activator of anaphase-promoting complex/cyclosome (APC/C); antagonist of the spindle assembly checkpoint; directs ubiquitination of cyclins resulting in mitotic exit; targets the APC/C to specific substrates including: Cdc20p ; Ase1p ; Cin8p ; Fin1p and Clb5p; partially active in metaphase ; and fully active in anaphase; cell-cycle regulated""",Verified ORF
4372,7,494079,-0.0326244303978294,0.098471299928993,0.740607666999055,YGL003C,CDH1,SGDID:S000002971,CDS,CDS,"""Activator of anaphase-promoting complex/cyclosome (APC/C); antagonist of the spindle assembly checkpoint; directs ubiquitination of cyclins resulting in mitotic exit; targets the APC/C to specific substrates including: Cdc20p ; Ase1p ; Cin8p ; Fin1p and Clb5p; partially active in metaphase ; and fully active in anaphase; cell-cycle regulated""",Verified ORF
4373,7,494841,0.0032652931312933,0.0986589081854799,0.973616108554626,YGL002W,ERP6,SGDID:S000002970,CDS,CDS,"""Member of the p24 family involved in ER to Golgi transport; similar to Emp24p and Erv25p; the authentic ; non-tagged protein is detected in highly purified mitochondria in high-throughput studies; ERP6 has a paralog ; ERP1 ; that arose from the whole genome duplication""",Verified ORF
4374,7,494885,-0.0284421599906972,0.1006228150163,0.77760227340582,YGL002W,ERP6,SGDID:S000002970,CDS,CDS,"""Member of the p24 family involved in ER to Golgi transport; similar to Emp24p and Erv25p; the authentic ; non-tagged protein is detected in highly purified mitochondria in high-throughput studies; ERP6 has a paralog ; ERP1 ; that arose from the whole genome duplication""",Verified ORF
4375,7,497601,-0.0097820241145694,0.0988922039605427,0.921261088259414,YGR001C,EFM5,SGDID:S000003233,Close to 3'-UTR,Close to 3'-UTR,"""S-adenosylmethionine-dependent lysine methyltransferase; involved in the trimethylation of eEF1A (Tef1p/Tef2p) at lysine 79; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm; required for replication of Brome mosaic virus in budding yeast; expresses a circular RNA; originally misclassified as a N-6-adenine specific DNA methyltransferase based on sequence similarity; both Efm5p and human ortholog N6AMT2 can methylate eEF1a from either species in vitro""",Verified ORF
4376,7,505014,-0.0155698081850746,0.098114787868197,0.874004084543167,YGR005C,TFG2,SGDID:S000003237,CDS,CDS,"""TFIIF (Transcription Factor II) middle subunit; involved in both transcription initiation and elongation of RNA polymerase II; homologous to human RAP30""",Verified ORF
4377,7,506260,0.0010467231819522,0.0987739458927633,0.991550835309133,YGR006W,PRP18,SGDID:S000003238,CDS,CDS,"""Splicing factor and component of snRNP U5; factor involved in the positioning of the 3' splice site during the second catalytic step of splicing; interacts with Slu7p""",Verified ORF
4378,7,507347,-0.0075925228809992,0.0989074077101563,0.938854822220093,YGR007W,ECT1,SGDID:S000003239,CDS,CDS,"""Ethanolamine-phosphate cytidylyltransferase; catalyzes the second step of phosphatidylethanolamine biosynthesis; involved in the maintenance of plasma membrane; similar to mammalian CTP: phosphocholine cytidylyl-transferases; inability of the null mutant to synthesize phosphatidylethanolamine and phosphatidylcholine from ethanolamine is functionally complemented by human PCYT2""",Verified ORF
4379,7,508075,-0.0120588298997166,0.0998909668215519,0.903981560214943,YGR007W,ECT1,SGDID:S000003239,Close to 3'-UTR,Close to 3'-UTR,"""Ethanolamine-phosphate cytidylyltransferase; catalyzes the second step of phosphatidylethanolamine biosynthesis; involved in the maintenance of plasma membrane; similar to mammalian CTP: phosphocholine cytidylyl-transferases; inability of the null mutant to synthesize phosphatidylethanolamine and phosphatidylcholine from ethanolamine is functionally complemented by human PCYT2""",Verified ORF
4380,7,508351,-0.0190300887312316,0.0995246953742641,0.848471220941276,YGR008C,STF2,SGDID:S000003240,CDS,CDS,"""Protein involved in resistance to desiccation stress; Stf2p exhibits antioxidant properties ; and its overexpression prevents ROS accumulation and apoptosis; binds to F0 sector of mitochondrial F1F0 ATPase in vitro and may modulate the inhibitory action of Inh1p and Stf1p; protein abundance increases in response to DNA replication stress; STF2 has a paralog ; TMA10 ; that arose from the whole genome duplication""",Verified ORF
4383,7,516852,0.0017857132627816,0.0987739158757373,0.985586209139174,YGR013W,SNU71,SGDID:S000003245,Close to 3'-UTR,Close to 3'-UTR,"""Component of U1 snRNP required for mRNA splicing via spliceosome; yeast specific ; no metazoan counterpart""",Verified ORF
4384,7,520054,-0.0100097775627237,0.0981631829642923,0.918837755971896,YGR014W,MSB2,SGDID:S000003246,CDS,CDS,"""Mucin family member involved in various signaling pathways; functions as osmosensor in the Sho1p-mediated HOG pathway; functions in Cdc42p- and MAP kinase-dependent filamentous growth signaling pathway; processed into secreted and cell-associated forms by aspartyl protease Yps1p; potential Cdc28p substrate""",Verified ORF
4385,7,524777,0.0082271104271649,0.0985290902600739,0.933501861068727,YGR018C_NFR/NDR,,,Promoter,Promoter,,Promoter
4386,7,524944,0.0101005233053657,0.0987707806972633,0.918606574727606,YGR018C_NFR/NDR,,,Promoter,Promoter,,Promoter
4387,7,529282,0.0101005233053657,0.0987707806972633,0.918606574727606,YGR022C,YGR022C,SGDID:S000003254,CDS,CDS,"""Dubious open reading frame; unlikely to encode a functional protein ; based on available experimental and comparative sequence data; overlaps almost completely with the verified ORF MTL1/YGR023W""",Dubious ORF
4388,7,530662,0.0629716292789158,0.100673945090956,0.532046618705257,YGR023W,MTL1,SGDID:S000003255,CDS,CDS,"""Putative plasma membrane sensor; involved in cell integrity signaling and stress response during glucose starvation and oxidative stress; has structural and functional similarity to Mid2p; MTL1 has a paralog ; MID2 ; that arose from the whole genome duplication""",Verified ORF
4389,7,531465,0.0212357429405947,0.0985875930524735,0.82958006228716,tD(GUC)G1_NFR/NDR,,,Promoter,Promoter,,Promoter
4391,7,533328,0.0004034267285466,0.0987250347046182,0.996741868196003,YGR026W,YGR026W,SGDID:S000003258,CDS,CDS,"""Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cell periphery""",Uncharacterized ORF
4392,7,533941,0.0552210136767515,0.098955278865188,0.577170743514315,YGR025W,YGR025W,SGDID:S000003257,Close to 3'-UTR,Close to 3'-UTR,"""Putative protein of unknown function; conserved across S. cerevisiae strains""",Uncharacterized ORF
4393,7,534871,0.0651595089560986,0.0980932241850211,0.506956892364007,YGR027C_NFR/NDR,,,Promoter,Promoter,fragile,Promoter
4394,7,534988,0.0586420469928493,0.0971295244643101,0.546396977521672,YGR027C_NFR/NDR,,,Promoter,Promoter,fragile,Promoter
4395,7,543693,0.0674181113419636,0.0970545044441759,0.487736775575042,YGR028W,MSP1,SGDID:S000003260,Close to 3'-UTR,Close to 3'-UTR,"""Highly-conserved N-terminally anchored AAA-ATPase; distributed in the mitochondrial outer membrane and peroxisomes; involved in mitochondrial protein sorting; functions as an extraction engine in local organelle surveillance to remove and initiate degradation of mistargeted proteins ; ensuring fidelity of organelle-specific localization of tail-anchored proteins; contains an N-terminal transmembrane domain and C-terminal cytoplasmic ATPase domain""",Verified ORF
4396,7,544711,0.0734480220227962,0.097093632692326,0.449874462621188,SUT550_NFR/NDR,,,Promoter,Promoter,,Promoter
4398,7,547208,0.0845740673834374,0.098364085036392,0.390479320728841,YGR031W,IMO32,SGDID:S000003263,CDS,CDS,"""Conserved mitochondrial protein of unknown function; processed by both mitochondrial processing peptidase and mitochondrial octapeptidyl aminopeptidase; gene contains the nested antisense gene NAG1""",Verified ORF
4399,7,550634,0.0691937457915457,0.0984851106469866,0.482780085003208,YGR032W,GSC2,SGDID:S000003264,CDS,CDS,"""Catalytic subunit of 1,3-beta-glucan synthase; involved in formation of the inner layer of the spore wall; activity positively regulated by Rho1p and negatively by Smk1p; GSC2 has a paralog ; FKS1 ; that arose from the whole genome duplication""",Verified ORF
4400,7,555705,0.0818842836270461,0.0968672342247823,0.398502064315995,YGR034W_NFR/NDR,,,Promoter,Promoter,fragile,Promoter
4401,7,557700,-0.0757528333037503,0.09533240887838,0.427369735346515,YGR035W-A,YGR035W-A,SGDID:S000028827,CDS,CDS,"""Putative protein of unknown function""",Uncharacterized ORF
4402,7,558857,-0.0699959375308108,0.095522830481264,0.464187095378068,YGR036C,CAX4,SGDID:S000003268,CDS,CDS,"""Dolichyl pyrophosphate (Dol-P-P) phosphatase; cleaves the anhydride linkage in Dol-P-P; involved in  synthesis of Dol-P-P-linked oligosaccharide intermediate required for protein N-glycosylation; has a luminally oriented active site in the ER; mutation affects vesicular transport ; membrane and cell wall biogenesis and lipid homeostasis""",Verified ORF
4405,7,568141,-0.064802528334611,0.0956729908138169,0.498637993314216,YGR038C-B,YGR038C-B,SGDID:S000007408,Close to 3'-UTR,Close to 3'-UTR,"""Retrotransposon TYA Gag and TYB Pol genes; transcribed/translated as one unit; polyprotein is processed to make a nucleocapsid-like protein (Gag) ; reverse transcriptase (RT) ; protease (PR) ; and integrase (IN); similar to retroviral genes""",transposable_element_gene
4406,7,568267,0.0604278224491435,0.0963308998070106,0.530871879065866,YGR038C-B,YGR038C-B,SGDID:S000007408,Close to 3'-UTR,Close to 3'-UTR,"""Retrotransposon TYA Gag and TYB Pol genes; transcribed/translated as one unit; polyprotein is processed to make a nucleocapsid-like protein (Gag) ; reverse transcriptase (RT) ; protease (PR) ; and integrase (IN); similar to retroviral genes""",transposable_element_gene
4407,7,568279,0.0510294268842471,0.0959534859355833,0.595189202756544,YGR038C-B,YGR038C-B,SGDID:S000007408,Close to 3'-UTR,Close to 3'-UTR,"""Retrotransposon TYA Gag and TYB Pol genes; transcribed/translated as one unit; polyprotein is processed to make a nucleocapsid-like protein (Gag) ; reverse transcriptase (RT) ; protease (PR) ; and integrase (IN); similar to retroviral genes""",transposable_element_gene
4409,7,575154,0.0591622863359509,0.0956598746839902,0.536667701545869,YGR039W,YGR039W,SGDID:S000003271,CDS,CDS,"""Putative protein of unknown function; conserved among S. cerevisiae strains; YGR039W is not an essential gene""",Uncharacterized ORF
4410,7,576468,0.0541034943885306,0.0955824675980778,0.571726279501811,YGR040W,KSS1,SGDID:S000003272,CDS,CDS,"""Mitogen-activated protein kinase (MAPK); involved in signal transduction pathways that control filamentous growth and pheromone response; regulates septum assembly ; and may directly phosphorylate Bni4p; the KSS1 gene is nonfunctional in S288C strains and functional in W303 strains""",Verified ORF
4411,7,577840,0.0461256873932863,0.0970824307546723,0.634996136424836,YGR041W,BUD9,SGDID:S000003273,CDS,CDS,"""Protein involved in bud-site selection; mutant has increased aneuploidy tolerance; diploid mutants display a unipolar budding pattern instead of the wild-type bipolar pattern ; and bud at the distal pole; BUD9 has a paralog ; BUD8 ; that arose from the whole genome duplication""",Verified ORF
4412,7,578213,0.0295372830012606,0.0966579917888287,0.760100366237184,YGR041W,BUD9,SGDID:S000003273,CDS,CDS,"""Protein involved in bud-site selection; mutant has increased aneuploidy tolerance; diploid mutants display a unipolar budding pattern instead of the wild-type bipolar pattern ; and bud at the distal pole; BUD9 has a paralog ; BUD8 ; that arose from the whole genome duplication""",Verified ORF
4413,7,579729,0.0315814491286848,0.0960648459204195,0.742538569772117,YGR042W,MTE1,SGDID:S000003274,CDS,CDS,"""Protein of unknown function; involved in maintenance of proper telomere length; green fluorescent protein (GFP)-fusion protein localizes to both the cytoplasm and the nucleus; forms nuclear foci upon DNA replication stress""",Verified ORF
4414,7,581739,0.0302866035034968,0.0956981118711799,0.751824752245255,ARS724,ARS724,SGDID:S000130167,Other features,Replication,"""Putative replication origin; identified in multiple array studies ; not yet confirmed by plasmid-based assay""",ARS
4415,7,581755,0.0183584573884419,0.0966296195801523,0.849427824294779,ARS724,ARS724,SGDID:S000130167,Other features,Replication,"""Putative replication origin; identified in multiple array studies ; not yet confirmed by plasmid-based assay""",ARS
4416,7,581805,0.0243927236127395,0.0973934573386694,0.802380846588526,ARS724,ARS724,SGDID:S000130167,Other features,Replication,"""Putative replication origin; identified in multiple array studies ; not yet confirmed by plasmid-based assay""",ARS
4417,7,581909,0.0040544973922602,0.0957771600963123,0.966257481615637,ARS724,ARS724,SGDID:S000130167,Other features,Replication,"""Putative replication origin; identified in multiple array studies ; not yet confirmed by plasmid-based assay""",ARS
4418,7,583615,0.0605479835371827,0.0961594505120097,0.529322854707493,YGR044C,RME1,SGDID:S000003276,CDS,CDS,"""Zinc finger protein involved in control of meiosis; prevents meiosis by repressing IME1 expression and promotes mitosis by activating CLN2 expression; directly repressed by a1-alpha2 regulator; mediates cell type control of sporulation; relocalizes from nucleus to cytoplasm upon DNA replication stress""",Verified ORF
4419,7,585575,-0.0123445005119549,0.0949884814015775,0.896673782032784,YGR046W,TAM41,SGDID:S000003278,CDS,CDS,"""Mitochondrial phosphatidate cytidylyltransferase (CDP-DAG synthase); required for cardiolipin biosynthesis; viability of null mutant is strain-dependent; mRNA is targeted to the bud; mutant displays defect in mitochondrial protein import ; likely due to altered membrane lipid composition""",Verified ORF
4420,7,585680,-0.0301864060632788,0.0950536682047962,0.750997199352588,YGR046W,TAM41,SGDID:S000003278,CDS,CDS,"""Mitochondrial phosphatidate cytidylyltransferase (CDP-DAG synthase); required for cardiolipin biosynthesis; viability of null mutant is strain-dependent; mRNA is targeted to the bud; mutant displays defect in mitochondrial protein import ; likely due to altered membrane lipid composition""",Verified ORF
4421,7,587240,-0.0440515868736981,0.0957557517676732,0.645769905389519,YGR047C,TFC4,SGDID:S000003279,CDS,CDS,"""Subunit of RNA polymerase III transcription initiation factor complex; one of six subunits of RNA polymerase III transcription initiation factor complex (TFIIIC); part of the TauA domain of TFIIIC that binds BoxA DNA promoter sites of tRNA and similar genes; has TPR motifs; human homolog is TFIIIC-102""",Verified ORF
4422,7,587567,-0.0401055054866382,0.0952901335193549,0.674100409273152,YGR047C,TFC4,SGDID:S000003279,CDS,CDS,"""Subunit of RNA polymerase III transcription initiation factor complex; one of six subunits of RNA polymerase III transcription initiation factor complex (TFIIIC); part of the TauA domain of TFIIIC that binds BoxA DNA promoter sites of tRNA and similar genes; has TPR motifs; human homolog is TFIIIC-102""",Verified ORF
4423,7,588483,-0.0398950343490858,0.0953870324495613,0.676023200631596,YGR047C,TFC4,SGDID:S000003279,CDS,CDS,"""Subunit of RNA polymerase III transcription initiation factor complex; one of six subunits of RNA polymerase III transcription initiation factor complex (TFIIIC); part of the TauA domain of TFIIIC that binds BoxA DNA promoter sites of tRNA and similar genes; has TPR motifs; human homolog is TFIIIC-102""",Verified ORF
4424,7,591077,-0.0573877137374617,0.0962094508739848,0.551232072198008,YGR049W_NFR/NDR,,,Promoter,Promoter,fragile,Promoter
4426,7,592116,-0.0502807226160944,0.0958349448681639,0.600149173684768,YGR050C,YGR050C,SGDID:S000003282,CDS,CDS,"""Protein of unknown function; mRNA identified as translated by ribosome profiling data""",Uncharacterized ORF
4427,7,592624,-0.0314785059436435,0.0966127951273095,0.744752622424359,YGR050C_NFR/NDR,,,Promoter,Promoter,,Promoter
4428,7,592970,-0.0043156191349371,0.0957841767882422,0.964088421612822,YGR051C,YGR051C,SGDID:S000003283,CDS,CDS,"""Dubious open reading frame; unlikely to encode a functional protein ; based on available experimental and comparative sequence data; YGR051C is not an essential gene""",Dubious ORF
4429,7,592987,0.0053821075034269,0.0949697004813916,0.954838671442559,YGR051C,YGR051C,SGDID:S000003283,CDS,CDS,"""Dubious open reading frame; unlikely to encode a functional protein ; based on available experimental and comparative sequence data; YGR051C is not an essential gene""",Dubious ORF
4432,7,593465,-0.0087191450347086,0.0952635504928055,0.9271261192649,YGR051C,YGR051C,SGDID:S000003283,Close to 3'-UTR,Close to 3'-UTR,"""Dubious open reading frame; unlikely to encode a functional protein ; based on available experimental and comparative sequence data; YGR051C is not an essential gene""",Dubious ORF
4433,7,593616,0.0162895931941038,0.0955985299861814,0.864796450686847,YGR052W,FMP48,SGDID:S000003284,CDS,CDS,"""Putative protein of unknown function; the authentic ; non-tagged protein is detected in highly purified mitochondria in high-throughput studies; induced by treatment with 8-methoxypsoralen and UVA irradiation""",Uncharacterized ORF
4434,7,593817,0.012140524837678,0.0963824100633758,0.899833684227181,YGR052W,FMP48,SGDID:S000003284,CDS,CDS,"""Putative protein of unknown function; the authentic ; non-tagged protein is detected in highly purified mitochondria in high-throughput studies; induced by treatment with 8-methoxypsoralen and UVA irradiation""",Uncharacterized ORF
4435,7,594413,-0.0033053847884723,0.0952229318179997,0.972328958373355,YGR052W,FMP48,SGDID:S000003284,CDS,CDS,"""Putative protein of unknown function; the authentic ; non-tagged protein is detected in highly purified mitochondria in high-throughput studies; induced by treatment with 8-methoxypsoralen and UVA irradiation""",Uncharacterized ORF
4436,7,594506,0.0025601128253669,0.0951353815558693,0.978546558689264,YGR052W,FMP48,SGDID:S000003284,CDS,CDS,"""Putative protein of unknown function; the authentic ; non-tagged protein is detected in highly purified mitochondria in high-throughput studies; induced by treatment with 8-methoxypsoralen and UVA irradiation""",Uncharacterized ORF
4437,7,594509,0.0076778621650275,0.0949555131753664,0.935601129205934,YGR052W,FMP48,SGDID:S000003284,CDS,CDS,"""Putative protein of unknown function; the authentic ; non-tagged protein is detected in highly purified mitochondria in high-throughput studies; induced by treatment with 8-methoxypsoralen and UVA irradiation""",Uncharacterized ORF
4438,7,594510,0.0900649867549645,0.0942088474094395,0.3397193543212,YGR052W,FMP48,SGDID:S000003284,CDS,CDS,"""Putative protein of unknown function; the authentic ; non-tagged protein is detected in highly purified mitochondria in high-throughput studies; induced by treatment with 8-methoxypsoralen and UVA irradiation""",Uncharacterized ORF
4439,7,594969,0.0995779773234458,0.0942965810601804,0.29168657572944,YGR052W,FMP48,SGDID:S000003284,Close to 3'-UTR,Close to 3'-UTR,"""Putative protein of unknown function; the authentic ; non-tagged protein is detected in highly purified mitochondria in high-throughput studies; induced by treatment with 8-methoxypsoralen and UVA irradiation""",Uncharacterized ORF
4441,7,596554,0.0850398401703573,0.0943286203783485,0.367922630141805,YGR054W_NFR/NDR,,,Promoter,Promoter,fragile,Promoter
4442,7,597251,0.0628023221327786,0.0944539358092338,0.506549271448009,YGR054W,YGR054W,SGDID:S000003286,CDS,CDS,"""Eukaryotic initiation factor eIF2A; associates specifically with both 40S subunits and 80 S ribosomes ; and interacts genetically with both eIF5b and eIF4E; homologous to mammalian eIF2A""",Verified ORF
4443,7,598680,0.0732674194913466,0.0944642283562535,0.438498466584759,YGR055W_NFR/NDR,,,Promoter,Promoter,fragile,Promoter
4444,7,599356,0.0535309089229064,0.094826717458298,0.572763618344871,YGR055W_NFR/NDR,,,Promoter,Promoter,fragile,Promoter
4445,7,600769,0.0951943322877745,0.094031641827045,0.312057017780054,YGR055W,MUP1,SGDID:S000003287,CDS,CDS,"""High affinity methionine permease; integral membrane protein with 13 putative membrane-spanning regions; involved in both methionine and cysteine uptake; subject to transport-activity dependent ; methionine-induced endocytosis ; vacuolar delivery and degradation; starvation-induced endocytosis is transport-activity independent""",Verified ORF
4446,7,601612,0.0903017308902476,0.0949081212679534,0.342019509192651,YGR056W_NFR/NDR,,,Promoter,Promoter,stable,Promoter
4447,7,603497,0.118060576508865,0.0945059583680708,0.212405207139381,YGR056W,RSC1,SGDID:S000003288,CDS,CDS,"""Component of the RSC chromatin remodeling complex; required for expression of mid-late sporulation-specific genes; contains two essential bromodomains ; a bromo-adjacent homology (BAH) domain ; and an AT hook; RSC1 has a paralog ; RSC2 ; that arose from the whole genome duplication""",Verified ORF
4448,7,605966,0.168194752093857,0.0939591439888856,0.0742973589340855,CUT149,,,Unstable transcript,CUT,ncRNA_UNB,Unstable transcript
4451,7,607810,0.16771432818321,0.0960160479322997,0.081553533139182,YGR059W,SPR3,SGDID:S000003291,CDS,CDS,"""Sporulation-specific homolog of the CDC3/10/11/12 family of genes; septin protein involved in sporulation; regulated by ABFI; the yeast CDC3/10/11/12 family is a family of bud neck microfilament genes""",Verified ORF
4453,7,609851,0.132929643071776,0.094334020379672,0.1596746851841,YGR060W_NFR/NDR,,,Promoter,Promoter,fragile,Promoter
4454,7,610875,0.130624437437313,0.0946694085614657,0.168522899112316,YGR060W,ERG25,SGDID:S000003292,CDS,CDS,"""C-4 methyl sterol oxidase; catalyzes the first of three steps required to remove two C-4 methyl groups from an intermediate in ergosterol biosynthesis; mutants accumulate the sterol intermediate 4,4-dimethylzymosterol; human MSMO1 functionally complements the growth defect caused by repression of ERG25 expression""",Verified ORF
4455,7,610923,0.165470326127607,0.0950803792014288,0.0826742029546073,YGR060W,ERG25,SGDID:S000003292,CDS,CDS,"""C-4 methyl sterol oxidase; catalyzes the first of three steps required to remove two C-4 methyl groups from an intermediate in ergosterol biosynthesis; mutants accumulate the sterol intermediate 4,4-dimethylzymosterol; human MSMO1 functionally complements the growth defect caused by repression of ERG25 expression""",Verified ORF
4456,7,611358,0.130543382482441,0.0945758372519339,0.168366597640019,YGR060W,ERG25,SGDID:S000003292,CDS,CDS,"""C-4 methyl sterol oxidase; catalyzes the first of three steps required to remove two C-4 methyl groups from an intermediate in ergosterol biosynthesis; mutants accumulate the sterol intermediate 4,4-dimethylzymosterol; human MSMO1 functionally complements the growth defect caused by repression of ERG25 expression""",Verified ORF
4457,7,615456,0.150222260709983,0.0943925145542074,0.112400338182069,YGR061C,ADE6,SGDID:S000003293,CDS,CDS,"""Formylglycinamidine-ribonucleotide (FGAM)-synthetase; catalyzes a step in the 'de novo' purine nucleotide biosynthetic pathway""",Verified ORF
4458,7,615761,0.129087552868583,0.0939700983210402,0.170403821863021,YGR061C,ADE6,SGDID:S000003293,CDS,CDS,"""Formylglycinamidine-ribonucleotide (FGAM)-synthetase; catalyzes a step in the 'de novo' purine nucleotide biosynthetic pathway""",Verified ORF
4462,7,616486,0.135993094441829,0.0939425023832037,0.148610722182006,CUT151,,,Unstable transcript,CUT,ncRNA_UNB,Unstable transcript
4463,7,617052,0.150863912276919,0.0942674149445021,0.110408319658963,CUT151,,,Unstable transcript,CUT,ncRNA_UNB,Unstable transcript
4464,7,617977,0.153130806476182,0.0945577437501019,0.106245150600247,YGR064W,YGR064W,SGDID:S000003296,CDS,CDS,"""Dubious open reading frame; unlikely to encode a functional protein ; based on available experimental and comparative sequence data; partially overlaps the verified ORF SPT4/YGR063C""",Dubious ORF
4465,7,619361,0.163307040347391,0.0945769063045492,0.085094323210284,YGR065C,VHT1,SGDID:S000003297,CDS,CDS,"""High-affinity plasma membrane H+-biotin (vitamin H) symporter; mutation results in fatty acid auxotrophy; 12 transmembrane domain containing major facilitator subfamily member; mRNA levels negatively regulated by iron deprivation and biotin""",Verified ORF
4466,7,619706,0.112163864900331,0.0945179566524621,0.236146482131259,YGR065C,VHT1,SGDID:S000003297,CDS,CDS,"""High-affinity plasma membrane H+-biotin (vitamin H) symporter; mutation results in fatty acid auxotrophy; 12 transmembrane domain containing major facilitator subfamily member; mRNA levels negatively regulated by iron deprivation and biotin""",Verified ORF
4467,7,620294,0.105349063260723,0.0939823253766907,0.263073063462329,YGR065C,VHT1,SGDID:S000003297,Close to 3'-UTR,Close to 3'-UTR,"""High-affinity plasma membrane H+-biotin (vitamin H) symporter; mutation results in fatty acid auxotrophy; 12 transmembrane domain containing major facilitator subfamily member; mRNA levels negatively regulated by iron deprivation and biotin""",Verified ORF
4468,7,620780,0.106701069462103,0.0944124745487474,0.259176722892465,YGR065C,VHT1,SGDID:S000003297,Close to 3'-UTR,Close to 3'-UTR,"""High-affinity plasma membrane H+-biotin (vitamin H) symporter; mutation results in fatty acid auxotrophy; 12 transmembrane domain containing major facilitator subfamily member; mRNA levels negatively regulated by iron deprivation and biotin""",Verified ORF
4469,7,620796,0.102954976184621,0.0945264102526335,0.276823570104326,YGR065C,VHT1,SGDID:S000003297,Close to 3'-UTR,Close to 3'-UTR,"""High-affinity plasma membrane H+-biotin (vitamin H) symporter; mutation results in fatty acid auxotrophy; 12 transmembrane domain containing major facilitator subfamily member; mRNA levels negatively regulated by iron deprivation and biotin""",Verified ORF
4470,7,622096,0.124911181330958,0.0957780108275109,0.193024031877922,YGR066C_NFR/NDR,,,Promoter,Promoter,stable,Promoter
