SNP,Chr,Pos,Effect,SE,ERV25_UIP4_MTX_5.FC_avg_logratio_Fitness_minus_ref.GLM,locus_id,name,sgd_id,snps_class_up,snps_class_down,description,genome_annotations
4232,7,371385,-0.377345299526243,0.170321136582763,0.0273638584006207,YGL071W_NFR/NDR,,,Promoter,Promoter,fragile,Promoter
4233,7,371466,-0.407741695294251,0.17097912818119,0.0176182863291319,YGL071W_NFR/NDR,,,Promoter,Promoter,fragile,Promoter
4234,7,372094,-0.330383845605447,0.172726760314323,0.0565884449039895,YGL071W,AFT1,SGDID:S000003039,CDS,CDS,"""Transcription factor involved in iron utilization and homeostasis; binds consensus site PyPuCACCCPu and activates transcription in response to changes in iron availability; in iron-replete conditions localization is regulated by Grx3p ; Grx4p ; and Fra2p ; and promoter binding is negatively regulated via Grx3p-Grx4p binding; AFT1 has a paralog ; AFT2 ; that arose from the whole genome duplication; relative distribution to the nucleus increases upon DNA replication stress""",Verified ORF
4235,7,373509,-0.256430107108817,0.173956585509777,0.141344793874657,YGL071W,AFT1,SGDID:S000003039,CDS,CDS,"""Transcription factor involved in iron utilization and homeostasis; binds consensus site PyPuCACCCPu and activates transcription in response to changes in iron availability; in iron-replete conditions localization is regulated by Grx3p ; Grx4p ; and Fra2p ; and promoter binding is negatively regulated via Grx3p-Grx4p binding; AFT1 has a paralog ; AFT2 ; that arose from the whole genome duplication; relative distribution to the nucleus increases upon DNA replication stress""",Verified ORF
4236,7,373552,-0.231458481919981,0.173518687860058,0.18309299740333,YGL071W,AFT1,SGDID:S000003039,CDS,CDS,"""Transcription factor involved in iron utilization and homeostasis; binds consensus site PyPuCACCCPu and activates transcription in response to changes in iron availability; in iron-replete conditions localization is regulated by Grx3p ; Grx4p ; and Fra2p ; and promoter binding is negatively regulated via Grx3p-Grx4p binding; AFT1 has a paralog ; AFT2 ; that arose from the whole genome duplication; relative distribution to the nucleus increases upon DNA replication stress""",Verified ORF
4237,7,374939,-0.233634012911255,0.174138976822558,0.180571084558001,YGL068W_NFR/NDR,,,Promoter,Promoter,stable,Promoter
4238,7,376215,-0.239310934002894,0.173553226315829,0.168801538356042,YGL067W,NPY1,SGDID:S000003035,CDS,CDS,"""NADH diphosphatase (pyrophosphatase); hydrolyzes the pyrophosphate linkage in NADH and related nucleotides; localizes to peroxisomes; involved in the decapping of nicotinamide adenine dinucleotide (NAD) capped nuclear NAD-RNAs; nudix hydrolase family member""",Verified ORF
4239,7,377214,-0.209254663623436,0.174539799440309,0.23137347242877,YGL067W,NPY1,SGDID:S000003035,CDS,CDS,"""NADH diphosphatase (pyrophosphatase); hydrolyzes the pyrophosphate linkage in NADH and related nucleotides; localizes to peroxisomes; involved in the decapping of nicotinamide adenine dinucleotide (NAD) capped nuclear NAD-RNAs; nudix hydrolase family member""",Verified ORF
4243,7,377882,-0.19740289266746,0.173830627910195,0.256892431581007,YGL066W,SGF73,SGDID:S000003034,CDS,CDS,"""Subunit of DUBm module of SAGA and SLIK; has roles in anchoring deubiquitination module (DUBm) into SAGA and SLIK complexes ; maintaining organization and ubiquitin-binding conformation of Ubp8p ; thereby contributing to overall DUBm activity; involved in preinitiation complex assembly at promoters; relocalizes to cytosol under hypoxia; human homolog ATXN7 implicated in spinocerebellar ataxia ; and can complement yeast null mutant""",Verified ORF
4244,7,378667,-0.227880934974162,0.17544556122615,0.19483640893813,YGL066W,SGF73,SGDID:S000003034,CDS,CDS,"""Subunit of DUBm module of SAGA and SLIK; has roles in anchoring deubiquitination module (DUBm) into SAGA and SLIK complexes ; maintaining organization and ubiquitin-binding conformation of Ubp8p ; thereby contributing to overall DUBm activity; involved in preinitiation complex assembly at promoters; relocalizes to cytosol under hypoxia; human homolog ATXN7 implicated in spinocerebellar ataxia ; and can complement yeast null mutant""",Verified ORF
4245,7,379511,-0.220335933027544,0.173313101711777,0.204452855217809,YGL066W,SGF73,SGDID:S000003034,CDS,CDS,"""Subunit of DUBm module of SAGA and SLIK; has roles in anchoring deubiquitination module (DUBm) into SAGA and SLIK complexes ; maintaining organization and ubiquitin-binding conformation of Ubp8p ; thereby contributing to overall DUBm activity; involved in preinitiation complex assembly at promoters; relocalizes to cytosol under hypoxia; human homolog ATXN7 implicated in spinocerebellar ataxia ; and can complement yeast null mutant""",Verified ORF
4247,7,389537,-0.189115661297523,0.174138337267968,0.278216419169625,YGL061C,DUO1,SGDID:S000003029,CDS,CDS,"""Essential subunit of the Dam1 complex (aka DASH complex); cooperates with Dam1p and Pse1p to connect the DASH complex with microtubules (MT); couples kinetochores to the force produced by MT depolymerization thereby aiding in chromosome segregation; is transferred to the kinetochore prior to mitosis""",Verified ORF
4248,7,389749,-0.225966695327788,0.175528342815068,0.198815175551224,YGL060W_NFR/NDR,,,Promoter,Promoter,stable,Promoter
4249,7,390823,-0.0638655828031232,0.176310441791581,0.717394159663231,YGL060W,YBP2,SGDID:S000003028,CDS,CDS,"""Central kinetochore associated protein; mediates mitotic progression; interacts with several central kinetochore proteins and centromeric histone Cse4p; role in resistance to oxidative stress; similar to Slk19p; YBP2 has a paralog ; YBP1 ; that arose from the whole genome duplication""",Verified ORF
4250,7,392417,-0.227919048015941,0.177499992888536,0.19996623231396,YGL059W,PKP2,SGDID:S000003027,CDS,CDS,"""Mitochondrial protein kinase; negatively regulates activity of the pyruvate dehydrogenase complex by phosphorylating the ser-133 residue of the Pda1p subunit; acts in concert with kinase Pkp1p and phosphatases Ptc5p and Ptc6p; relocalizes from mitochondrion to cytoplasm upon DNA replication stress""",Verified ORF
4251,7,394456,-0.165134422341395,0.175188052160632,0.346523869978978,YGL058W,RAD6,SGDID:S000003026,CDS,CDS,"""Ubiquitin-conjugating enzyme (E2); involved in postreplication repair as a heterodimer with Rad18p ; regulation of K63 polyubiquitination in response to oxidative stress ; DSBR and checkpoint control as a heterodimer with Bre1p ; ubiquitin-mediated N-end rule protein degradation as a heterodimer with Ubr1p ; ERAD with Ubr1p in the absence of canonical ER membrane ligases ; and Rpn4p turnover as part of proteasome homeostasis ; in complex with Ubr2p and Mub1p""",Verified ORF
4254,7,397324,-0.165900140107514,0.175995041095337,0.346509237554962,YGL056C,SDS23,SGDID:S000003024,CDS,CDS,"""Protein involved in cell separation during budding; one of two S. cerevisiae homologs (Sds23p and Sds24p) of the S. pombe Sds23 protein ; which is implicated in APC/cyclosome regulation; SDS23 has a paralog ; SDS24 ; that arose from the whole genome duplication""",Verified ORF
4255,7,397449,-0.207980308209274,0.176254851737829,0.238795728410488,YGL056C,SDS23,SGDID:S000003024,CDS,CDS,"""Protein involved in cell separation during budding; one of two S. cerevisiae homologs (Sds23p and Sds24p) of the S. pombe Sds23 protein ; which is implicated in APC/cyclosome regulation; SDS23 has a paralog ; SDS24 ; that arose from the whole genome duplication""",Verified ORF
4257,7,398372,-0.193360240892615,0.176324540825382,0.27355700172493,YGL055W_NFR/NDR,,,Promoter,Promoter,fragile,Promoter
4258,7,399000,-0.175704566027964,0.175820538299859,0.318314355825411,YGL055W,OLE1,SGDID:S000003023,CDS,CDS,"""Delta(9) fatty acid desaturase; required for monounsaturated fatty acid synthesis and for normal distribution of mitochondria""",Verified ORF
4259,7,399178,-0.171682648474868,0.178414716467704,0.33657403452749,YGL055W,OLE1,SGDID:S000003023,CDS,CDS,"""Delta(9) fatty acid desaturase; required for monounsaturated fatty acid synthesis and for normal distribution of mitochondria""",Verified ORF
4263,7,407454,-0.213302365179323,0.175568769750953,0.225207844771847,YGL049C,TIF4632,SGDID:S000003017,CDS,CDS,"""Translation initiation factor eIF4G and scaffold protein; subunit of the mRNA cap-binding protein complex (eIF4F) with eIF4E (Cdc33p) and eIF4A (Tif1p/Tif2p); proposed to stimulate the ATPase and helicase activities of eIF4A synergistically with eIF4G based on sequence similarity with Tif4631p; proposed to be required with eIF4E for Ded1p-mediated stimulation of mRNA recruitment during 48S preinitiation complex (PIC) assembly; associated with Pab1p-mediated poly(A)-tail stimulated ; translation""",Verified ORF
4264,7,408316,-0.168508684360789,0.175706694665213,0.338198038310692,YGL049C,TIF4632,SGDID:S000003017,CDS,CDS,"""Translation initiation factor eIF4G and scaffold protein; subunit of the mRNA cap-binding protein complex (eIF4F) with eIF4E (Cdc33p) and eIF4A (Tif1p/Tif2p); proposed to stimulate the ATPase and helicase activities of eIF4A synergistically with eIF4G based on sequence similarity with Tif4631p; proposed to be required with eIF4E for Ded1p-mediated stimulation of mRNA recruitment during 48S preinitiation complex (PIC) assembly; associated with Pab1p-mediated poly(A)-tail stimulated ; translation""",Verified ORF
4265,7,408928,-0.161278360256115,0.175065944279325,0.357552483687852,YGL049C,TIF4632,SGDID:S000003017,CDS,CDS,"""Translation initiation factor eIF4G and scaffold protein; subunit of the mRNA cap-binding protein complex (eIF4F) with eIF4E (Cdc33p) and eIF4A (Tif1p/Tif2p); proposed to stimulate the ATPase and helicase activities of eIF4A synergistically with eIF4G based on sequence similarity with Tif4631p; proposed to be required with eIF4E for Ded1p-mediated stimulation of mRNA recruitment during 48S preinitiation complex (PIC) assembly; associated with Pab1p-mediated poly(A)-tail stimulated ; translation""",Verified ORF
4268,7,409847,-0.181956293774548,0.174885274482154,0.298851164151938,YGL049C_NFR/NDR,,,Promoter,Promoter,stable,Promoter
4269,7,409966,-0.200073360265986,0.175062772415714,0.253868585607141,YGL049C_NFR/NDR,,,Promoter,Promoter,stable,Promoter
4270,7,411864,-0.219230304180297,0.176217727509708,0.214292749046355,YGL047W,ALG13,SGDID:S000003015,CDS,CDS,"""Catalytic component of UDP-GlcNAc transferase; required for the second step of dolichyl-linked oligosaccharide synthesis; anchored to the ER membrane via interaction with Alg14p; similar to bacterial and human glycosyltransferases; protein abundance increases in response to DNA replication stress; both human homologs ALG13 and ALG14 are required to complement yeast alg13 mutant""",Verified ORF
4271,7,412413,-0.211695744427138,0.174821233020348,0.22673348843848,YGLWdelta10_NFR/NDR,,,Promoter,Promoter,,Promoter
4272,7,412555,-0.202848072147057,0.17537697435695,0.24820149337098,YGLWdelta10,YGLWdelta10,SGDID:S000006947,Other features,LTR,"""Ty1 LTR""",long_terminal_repeat
4275,7,412717,-0.235699656249847,0.175623073003278,0.180433645141724,YGLWdelta10,YGLWdelta10,SGDID:S000006947,Other features,LTR,"""Ty1 LTR""",long_terminal_repeat
4276,7,413438,-0.162442803928738,0.174214593075811,0.351751969473425,YGL045W,RIM8,SGDID:S000003013,Close to 3'-UTR,Close to 3'-UTR,"""Protein involved in proteolytic activation of Rim101p; part of response to alkaline pH; interacts with ESCRT-1 subunits Stp22p and Vps28p; essential for anaerobic growth; member of the arrestin-related trafficking adaptor family""",Verified ORF
4277,7,413465,-0.184790725621772,0.175638040454753,0.293468265261509,YGL045W,RIM8,SGDID:S000003013,Close to 3'-UTR,Close to 3'-UTR,"""Protein involved in proteolytic activation of Rim101p; part of response to alkaline pH; interacts with ESCRT-1 subunits Stp22p and Vps28p; essential for anaerobic growth; member of the arrestin-related trafficking adaptor family""",Verified ORF
4278,7,413738,-0.183140949659037,0.174073977916819,0.293479340556461,YGL045W,RIM8,SGDID:S000003013,Close to 3'-UTR,Close to 3'-UTR,"""Protein involved in proteolytic activation of Rim101p; part of response to alkaline pH; interacts with ESCRT-1 subunits Stp22p and Vps28p; essential for anaerobic growth; member of the arrestin-related trafficking adaptor family""",Verified ORF
4279,7,413763,-0.149418976456307,0.17358302713816,0.389936588421132,YGL045W,RIM8,SGDID:S000003013,Close to 3'-UTR,Close to 3'-UTR,"""Protein involved in proteolytic activation of Rim101p; part of response to alkaline pH; interacts with ESCRT-1 subunits Stp22p and Vps28p; essential for anaerobic growth; member of the arrestin-related trafficking adaptor family""",Verified ORF
4282,7,414290,-0.198196541140001,0.173444612986633,0.25393429224022,YGL045W,RIM8,SGDID:S000003013,CDS,CDS,"""Protein involved in proteolytic activation of Rim101p; part of response to alkaline pH; interacts with ESCRT-1 subunits Stp22p and Vps28p; essential for anaerobic growth; member of the arrestin-related trafficking adaptor family""",Verified ORF
4283,7,414560,-0.391961821571073,0.169304983699034,0.0211791464009552,YGL045W,RIM8,SGDID:S000003013,CDS,CDS,"""Protein involved in proteolytic activation of Rim101p; part of response to alkaline pH; interacts with ESCRT-1 subunits Stp22p and Vps28p; essential for anaerobic growth; member of the arrestin-related trafficking adaptor family""",Verified ORF
4284,7,415645,-0.364423652117126,0.169764230859433,0.0325024630210318,YGL045W,RIM8,SGDID:S000003013,CDS,CDS,"""Protein involved in proteolytic activation of Rim101p; part of response to alkaline pH; interacts with ESCRT-1 subunits Stp22p and Vps28p; essential for anaerobic growth; member of the arrestin-related trafficking adaptor family""",Verified ORF
4285,7,416060,-0.310782681604604,0.169961148959471,0.0683105226534845,YGL045W,RIM8,SGDID:S000003013,Close to 3'-UTR,Close to 3'-UTR,"""Protein involved in proteolytic activation of Rim101p; part of response to alkaline pH; interacts with ESCRT-1 subunits Stp22p and Vps28p; essential for anaerobic growth; member of the arrestin-related trafficking adaptor family""",Verified ORF
4286,7,416657,-0.331095530050937,0.170641757184742,0.0531397383592198,YGL044C,RNA15,SGDID:S000003012,CDS,CDS,"""Component of the cleavage and polyadenylation factor I (CF I); CF 1 ; composed of the CF 1A complex (Rna14p ; Rna15p ; Clp1p ; Pcf11p) and Hrp1 ; is involved in cleavage and polyadenylation of mRNA 3' ends; interacts with the A-rich polyadenylation signal in complex with Rna14p and Hrp1p; mutant displays reduced transcription elongation in the G-less-based run-on (GLRO) assay; required for gene looping and maintenance of genome stability""",Verified ORF
4287,7,416947,-0.189577831665996,0.172017593160138,0.271176002059777,YGL044C,RNA15,SGDID:S000003012,CDS,CDS,"""Component of the cleavage and polyadenylation factor I (CF I); CF 1 ; composed of the CF 1A complex (Rna14p ; Rna15p ; Clp1p ; Pcf11p) and Hrp1 ; is involved in cleavage and polyadenylation of mRNA 3' ends; interacts with the A-rich polyadenylation signal in complex with Rna14p and Hrp1p; mutant displays reduced transcription elongation in the G-less-based run-on (GLRO) assay; required for gene looping and maintenance of genome stability""",Verified ORF
4288,7,417098,-0.246710611406461,0.17163642341611,0.151489487891031,YGL044C,RNA15,SGDID:S000003012,Close to 3'-UTR,Close to 3'-UTR,"""Component of the cleavage and polyadenylation factor I (CF I); CF 1 ; composed of the CF 1A complex (Rna14p ; Rna15p ; Clp1p ; Pcf11p) and Hrp1 ; is involved in cleavage and polyadenylation of mRNA 3' ends; interacts with the A-rich polyadenylation signal in complex with Rna14p and Hrp1p; mutant displays reduced transcription elongation in the G-less-based run-on (GLRO) assay; required for gene looping and maintenance of genome stability""",Verified ORF
4289,7,417241,-0.22039198909519,0.170584168075526,0.19720793186622,YGL043W_NFR/NDR,,,Promoter,Promoter,stable,Promoter
4290,7,417345,-0.263134626765639,0.172651926536047,0.128385130457764,YGL043W_NFR/NDR,,,Promoter,Promoter,stable,Promoter
4291,7,418232,-0.201878067029704,0.17589299573855,0.251856338639505,YGL043W,DST1,SGDID:S000003011,CDS,CDS,"""General transcription elongation factor TFIIS; enables RNA polymerase II to read through blocks to elongation by stimulating cleavage of nascent transcripts stalled at transcription arrest sites; maintains RNAPII elongation activity on ribosomal protein genes during conditions of transcriptional stress""",Verified ORF
4292,7,418899,-0.206757455671717,0.174469456903324,0.236789371912431,YGL041W-A,DPC13,SGDID:S000028826,CDS,CDS,"""Putative mitochondrial protein of unknown function; conserved in fungi; identified by expression profiling and mass spectrometry""",Uncharacterized ORF
4293,7,421296,-0.216024213117664,0.175849863956468,0.220093380509198,CUT142,,,Unstable transcript,CUT,ncRNA_UNB,Unstable transcript
4294,7,423259,-0.197508842782914,0.172650726006327,0.25340739794768,tL(CAA)G2_NFR/NDR,,,Promoter,Promoter,,Promoter
4295,7,423701,-0.234839502385458,0.173186197813778,0.175967737460679,YGL039W_NFR/NDR,,,Promoter,Promoter,stable,Promoter
4296,7,424042,-0.25081309999287,0.174318856512615,0.151088162469478,YGL039W,YGL039W,SGDID:S000003007,CDS,CDS,"""Aldehyde reductase; reduces aliphatic aldehyde substrates using NADH as cofactor; shown to reduce carbonyl compounds to chiral alcohols""",Verified ORF
4297,7,424415,-0.244920202950991,0.174047106506022,0.160246061431128,YGL039W,YGL039W,SGDID:S000003007,CDS,CDS,"""Aldehyde reductase; reduces aliphatic aldehyde substrates using NADH as cofactor; shown to reduce carbonyl compounds to chiral alcohols""",Verified ORF
4298,7,424620,-0.297077814062383,0.171548509549915,0.084193067267193,YGL039W,YGL039W,SGDID:S000003007,CDS,CDS,"""Aldehyde reductase; reduces aliphatic aldehyde substrates using NADH as cofactor; shown to reduce carbonyl compounds to chiral alcohols""",Verified ORF
4299,7,424652,-0.193335952767513,0.172806872618955,0.263987142884749,YGL039W,YGL039W,SGDID:S000003007,CDS,CDS,"""Aldehyde reductase; reduces aliphatic aldehyde substrates using NADH as cofactor; shown to reduce carbonyl compounds to chiral alcohols""",Verified ORF
4300,7,424942,-0.129820980526743,0.171970068549884,0.450809627077366,YGL039W,YGL039W,SGDID:S000003007,CDS,CDS,"""Aldehyde reductase; reduces aliphatic aldehyde substrates using NADH as cofactor; shown to reduce carbonyl compounds to chiral alcohols""",Verified ORF
4301,7,425235,-0.149906303210305,0.17209080790515,0.38429791591208,YGL039W,YGL039W,SGDID:S000003007,Close to 3'-UTR,Close to 3'-UTR,"""Aldehyde reductase; reduces aliphatic aldehyde substrates using NADH as cofactor; shown to reduce carbonyl compounds to chiral alcohols""",Verified ORF
4302,7,426067,-0.147640389058944,0.171814104598486,0.390756482897327,YGL038C,OCH1,SGDID:S000003006,CDS,CDS,"""Mannosyltransferase of the cis-Golgi apparatus; initiates the polymannose outer chain elongation of N-linked oligosaccharides of glycoproteins""",Verified ORF
4303,7,427479,-0.0865521717904205,0.172055496638652,0.61524425305572,CUT143,,,Unstable transcript,CUT,ncRNA_STM,Unstable transcript
4304,7,428717,-0.137314986777359,0.17215821195958,0.425633462208293,YGL036W,YGL036W,SGDID:S000003004,CDS,CDS,"""Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm; YGL036W is not an essential gene""",Uncharacterized ORF
4305,7,430559,-0.180224180117682,0.172173199098833,0.295926052916111,YGL036W,YGL036W,SGDID:S000003004,CDS,CDS,"""Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm; YGL036W is not an essential gene""",Uncharacterized ORF
4306,7,432426,-0.194224655283958,0.17263587333457,0.261330592485078,YGL035C,MIG1,SGDID:S000003003,CDS,CDS,"""Transcription factor involved in glucose repression; sequence specific DNA binding protein containing two Cys2His2 zinc finger motifs; regulated by the SNF1 kinase and the GLC7 phosphatase; regulates filamentous growth along with Mig2p in response to glucose depletion; activated in stochastic pulses of nuclear localization ; shuttling between cytosol and nucleus depending on external glucose levels and its phosphorylation state""",Verified ORF
4307,7,433131,-0.139709428961774,0.171202579293825,0.415023307891165,YGL035C_NFR/NDR,,,Promoter,Promoter,fragile,Promoter
4309,7,433461,-0.16321237148545,0.171815828908892,0.342799610899888,YGL034C,YGL034C,SGDID:S000003002,CDS,CDS,"""Putative protein of unknown function; conserved among S. cerevisiae strains; YGL034C is not an essential gene""",Uncharacterized ORF
4310,7,433639,-0.176816724492122,0.171560086573575,0.303415197700289,YGL035C,MIG1,SGDID:S000003003,Close to 3'-UTR,Close to 3'-UTR,"""Transcription factor involved in glucose repression; sequence specific DNA binding protein containing two Cys2His2 zinc finger motifs; regulated by the SNF1 kinase and the GLC7 phosphatase; regulates filamentous growth along with Mig2p in response to glucose depletion; activated in stochastic pulses of nuclear localization ; shuttling between cytosol and nucleus depending on external glucose levels and its phosphorylation state""",Verified ORF
4311,7,433742,-0.157431409653241,0.173152446200121,0.363861232417006,YGL034C_NFR/NDR,,,Promoter,Promoter,,Promoter
4312,7,433809,-0.192442987834481,0.17154981446833,0.262713925174705,YGL034C_NFR/NDR,,,Promoter,Promoter,,Promoter
4317,7,434030,-0.198925148759817,0.171845479776434,0.247817507893817,YGL034C_NFR/NDR,,,Promoter,Promoter,,Promoter
4318,7,434363,-0.180849982829387,0.171452795281397,0.292234010945662,YGL034C,YGL034C,SGDID:S000003002,Close to 3'-UTR,Close to 3'-UTR,"""Putative protein of unknown function; conserved among S. cerevisiae strains; YGL034C is not an essential gene""",Uncharacterized ORF
4319,7,434513,-0.146424342339613,0.17196147921914,0.395071694310782,YGL034C,YGL034C,SGDID:S000003002,Close to 3'-UTR,Close to 3'-UTR,"""Putative protein of unknown function; conserved among S. cerevisiae strains; YGL034C is not an essential gene""",Uncharacterized ORF
4320,7,434545,-0.155722812618785,0.171477105859142,0.36443121988248,YGL034C,YGL034C,SGDID:S000003002,Close to 3'-UTR,Close to 3'-UTR,"""Putative protein of unknown function; conserved among S. cerevisiae strains; YGL034C is not an essential gene""",Uncharacterized ORF
4321,7,434968,-0.109806653530818,0.17319268315703,0.526482049439606,YGL033W,HOP2,SGDID:S000003001,Close to 3'-UTR,Close to 3'-UTR,"""Meiosis-specific protein that localizes to chromosomes; prevents synapsis between nonhomologous chromosomes and ensures synapsis between homologs; forms complex with Mnd1p to promote homolog pairing and meiotic double-strand break repair; heterodimer of Hop2p-Mnd1p stimulates the Dmc1p-mediated strand invasion""",Verified ORF
4323,7,435937,-0.0910922029212484,0.172245052776952,0.597240235160582,YGL033W,HOP2,SGDID:S000003001,Close to 3'-UTR,Close to 3'-UTR,"""Meiosis-specific protein that localizes to chromosomes; prevents synapsis between nonhomologous chromosomes and ensures synapsis between homologs; forms complex with Mnd1p to promote homolog pairing and meiotic double-strand break repair; heterodimer of Hop2p-Mnd1p stimulates the Dmc1p-mediated strand invasion""",Verified ORF
4324,7,436038,-0.0619923696535389,0.17218560772095,0.719038334512722,YGL033W,HOP2,SGDID:S000003001,Close to 3'-UTR,Close to 3'-UTR,"""Meiosis-specific protein that localizes to chromosomes; prevents synapsis between nonhomologous chromosomes and ensures synapsis between homologs; forms complex with Mnd1p to promote homolog pairing and meiotic double-strand break repair; heterodimer of Hop2p-Mnd1p stimulates the Dmc1p-mediated strand invasion""",Verified ORF
4325,7,436063,-0.0688292112215299,0.171462061743072,0.688349918641249,YGL033W,HOP2,SGDID:S000003001,Close to 3'-UTR,Close to 3'-UTR,"""Meiosis-specific protein that localizes to chromosomes; prevents synapsis between nonhomologous chromosomes and ensures synapsis between homologs; forms complex with Mnd1p to promote homolog pairing and meiotic double-strand break repair; heterodimer of Hop2p-Mnd1p stimulates the Dmc1p-mediated strand invasion""",Verified ORF
4327,7,437491,-0.0346715561555032,0.171954719243955,0.840320648221726,YGL031C,RPL24A,SGDID:S000002999,CDS,CDS,"""Ribosomal 60S subunit protein L24A; not essential for translation but may be required for normal translation rate; homologous to mammalian ribosomal protein L24 ; no bacterial homolog; RPL24A has a paralog ; RPL24B ; that arose from the whole genome duplication""",Verified ORF
4329,7,438424,-0.104801705887302,0.174404896129516,0.548285344092663,YGL030W_NFR/NDR,,,Promoter,Promoter,fragile,Promoter
4330,7,438728,-0.0785120335623842,0.173425451144072,0.651033202250377,YGL030W_NFR/NDR,,,Promoter,Promoter,fragile,Promoter
4335,7,446235,-0.0671799102777755,0.173279892269546,0.698474729610954,YGL027C_NFR/NDR,,,Promoter,Promoter,stable,Promoter
4336,7,449305,-0.104825700240798,0.174903509349077,0.549334330819254,YGL025C,PGD1,SGDID:S000002993,CDS,CDS,"""Subunit of the RNA polymerase II mediator complex; associates with core polymerase subunits to form the RNA polymerase II holoenzyme; essential for basal and activated transcription; direct target of Cyc8p-Tup1p transcriptional corepressor""",Verified ORF
4337,7,449489,-0.0524196738185698,0.174354675981166,0.763858652559327,YGL025C,PGD1,SGDID:S000002993,CDS,CDS,"""Subunit of the RNA polymerase II mediator complex; associates with core polymerase subunits to form the RNA polymerase II holoenzyme; essential for basal and activated transcription; direct target of Cyc8p-Tup1p transcriptional corepressor""",Verified ORF
4339,7,455708,-0.134157349068508,0.174345020028703,0.442115023420344,YGL021W,ALK1,SGDID:S000002989,CDS,CDS,"""Atypical protein kinase; along with paralog ; ALK2 ; required for proper spindle positioning and nuclear segregation following mitotic arrest ; proper organization of cell polarity factors in mitosis ; proper localization of formins and polarity factors ; and survival in cells that activate spindle assembly checkpoint; regulates the morphogenesis checkpoint in response to polarity insults through inactivation of Mih1p; phosphorylated in response to DNA damage; similar to mammalian haspins""",Verified ORF
4340,7,455735,-0.117699608994047,0.173506501937305,0.497988862420256,YGL021W,ALK1,SGDID:S000002989,CDS,CDS,"""Atypical protein kinase; along with paralog ; ALK2 ; required for proper spindle positioning and nuclear segregation following mitotic arrest ; proper organization of cell polarity factors in mitosis ; proper localization of formins and polarity factors ; and survival in cells that activate spindle assembly checkpoint; regulates the morphogenesis checkpoint in response to polarity insults through inactivation of Mih1p; phosphorylated in response to DNA damage; similar to mammalian haspins""",Verified ORF
4341,7,458896,-0.068879796213814,0.174777721891048,0.693745613629636,YGL019W,CKB1,SGDID:S000002987,CDS,CDS,"""Beta regulatory subunit of casein kinase 2 (CK2); a Ser/Thr protein kinase with roles in cell growth and proliferation; CK2 ; comprised of CKA1 ; CKA2 ; CKB1 and CKB2 ; has many substrates including transcription factors and all RNA polymerases""",Verified ORF
4342,7,458995,-0.183045963807069,0.1738549652773,0.293122613978327,YGL019W,CKB1,SGDID:S000002987,Close to 3'-UTR,Close to 3'-UTR,"""Beta regulatory subunit of casein kinase 2 (CK2); a Ser/Thr protein kinase with roles in cell growth and proliferation; CK2 ; comprised of CKA1 ; CKA2 ; CKB1 and CKB2 ; has many substrates including transcription factors and all RNA polymerases""",Verified ORF
4344,7,460296,-0.156928967719678,0.174446350013956,0.368955462034382,YGL017W,ATE1,SGDID:S000002985,CDS,CDS,"""Arginyl-tRNA-protein transferase; catalyzes post-translational conjugation of arginine to the amino termini of acceptor proteins which are then subject to degradation via the N-end rule pathway; may have a role in regulating stress response""",Verified ORF
4345,7,460447,-0.170088109118472,0.174929368526746,0.331554926746374,YGL017W,ATE1,SGDID:S000002985,CDS,CDS,"""Arginyl-tRNA-protein transferase; catalyzes post-translational conjugation of arginine to the amino termini of acceptor proteins which are then subject to degradation via the N-end rule pathway; may have a role in regulating stress response""",Verified ORF
4346,7,460988,-0.13746237918583,0.173123982975033,0.427722353916358,YGL017W,ATE1,SGDID:S000002985,CDS,CDS,"""Arginyl-tRNA-protein transferase; catalyzes post-translational conjugation of arginine to the amino termini of acceptor proteins which are then subject to degradation via the N-end rule pathway; may have a role in regulating stress response""",Verified ORF
4347,7,461431,-0.122306400141914,0.17370321551198,0.48182766988145,YGL016W_NFR/NDR,,,Promoter,Promoter,stable,Promoter
4348,7,462915,-0.0854489632883961,0.177855902825926,0.631212661238308,YGL016W,KAP122,SGDID:S000002984,CDS,CDS,"""Karyopherin beta; responsible for import of the Toa1p-Toa2p complex into the nucleus; binds to nucleoporins Nup1p and Nup2p; may play a role in regulation of pleiotropic drug resistance""",Verified ORF
4349,7,465310,-0.0933481327194499,0.174646661501744,0.593334135789951,YGL015C,YGL015C,SGDID:S000002983,CDS,CDS,"""Formin inhibitor; negatively regulates Bnr1-mediated actin filament nucleation but not filament elongation; performs distinct but overlapping roles with Hof1p to control actin cable assembly and polarized secretion; bnr1 bil2 double mutants are inviable; localizes to the cytosol ; secretory vesicles and sites of polarized growth""",Verified ORF
4350,7,465688,-0.119314563636682,0.175737755803694,0.497623750305459,YGL014W_NFR/NDR,,,Promoter,Promoter,stable,Promoter
4351,7,467332,-0.131418446911325,0.174506066530687,0.451898906724287,YGL014W,PUF4,SGDID:S000002982,CDS,CDS,"""Member of the PUF protein family; PUF family is defined by the presence of Pumilio homology domains that confer RNA binding activity; preferentially binds mRNAs encoding nucleolar ribosomal RNA-processing factors""",Verified ORF
