SNP,Chr,Pos,Effect,SE,FMP45_MEP1_MTX_noDrug_avg_logratio_Fitness_minus_ref.GLM,locus_id,name,sgd_id,snps_class_up,snps_class_down,description,genome_annotations
4310,7,433639,-0.0210404217162182,0.144423544396008,0.884252791745624,YGL035C,MIG1,SGDID:S000003003,Close to 3'-UTR,Close to 3'-UTR,"""Transcription factor involved in glucose repression; sequence specific DNA binding protein containing two Cys2His2 zinc finger motifs; regulated by the SNF1 kinase and the GLC7 phosphatase; regulates filamentous growth along with Mig2p in response to glucose depletion; activated in stochastic pulses of nuclear localization ; shuttling between cytosol and nucleus depending on external glucose levels and its phosphorylation state""",Verified ORF
4311,7,433742,-0.0488404351500993,0.145696727113405,0.737658368806642,YGL034C_NFR/NDR,,,Promoter,Promoter,,Promoter
4312,7,433809,-0.0869774517486909,0.144385051182706,0.547295142622926,YGL034C_NFR/NDR,,,Promoter,Promoter,,Promoter
4317,7,434030,-0.0654657773986581,0.144682931062498,0.651202936042182,YGL034C_NFR/NDR,,,Promoter,Promoter,,Promoter
4318,7,434363,-0.0648952181306818,0.144306505569422,0.65319986941816,YGL034C,YGL034C,SGDID:S000003002,Close to 3'-UTR,Close to 3'-UTR,"""Putative protein of unknown function; conserved among S. cerevisiae strains; YGL034C is not an essential gene""",Uncharacterized ORF
4319,7,434513,-0.0407441354658461,0.144680600085428,0.778404237069776,YGL034C,YGL034C,SGDID:S000003002,Close to 3'-UTR,Close to 3'-UTR,"""Putative protein of unknown function; conserved among S. cerevisiae strains; YGL034C is not an essential gene""",Uncharacterized ORF
4320,7,434545,-0.0160347221746262,0.144307074932385,0.911588075599359,YGL034C,YGL034C,SGDID:S000003002,Close to 3'-UTR,Close to 3'-UTR,"""Putative protein of unknown function; conserved among S. cerevisiae strains; YGL034C is not an essential gene""",Uncharacterized ORF
4321,7,434968,-0.0524865394727064,0.145639490442652,0.718773492118716,YGL033W,HOP2,SGDID:S000003001,Close to 3'-UTR,Close to 3'-UTR,"""Meiosis-specific protein that localizes to chromosomes; prevents synapsis between nonhomologous chromosomes and ensures synapsis between homologs; forms complex with Mnd1p to promote homolog pairing and meiotic double-strand break repair; heterodimer of Hop2p-Mnd1p stimulates the Dmc1p-mediated strand invasion""",Verified ORF
4323,7,435937,-0.106299756862498,0.144733653423719,0.463161580121945,YGL033W,HOP2,SGDID:S000003001,Close to 3'-UTR,Close to 3'-UTR,"""Meiosis-specific protein that localizes to chromosomes; prevents synapsis between nonhomologous chromosomes and ensures synapsis between homologs; forms complex with Mnd1p to promote homolog pairing and meiotic double-strand break repair; heterodimer of Hop2p-Mnd1p stimulates the Dmc1p-mediated strand invasion""",Verified ORF
4324,7,436038,-0.0080628822444006,0.144762814942338,0.955614547305011,YGL033W,HOP2,SGDID:S000003001,Close to 3'-UTR,Close to 3'-UTR,"""Meiosis-specific protein that localizes to chromosomes; prevents synapsis between nonhomologous chromosomes and ensures synapsis between homologs; forms complex with Mnd1p to promote homolog pairing and meiotic double-strand break repair; heterodimer of Hop2p-Mnd1p stimulates the Dmc1p-mediated strand invasion""",Verified ORF
4325,7,436063,-0.014177380936204,0.14415959482682,0.921714134811992,YGL033W,HOP2,SGDID:S000003001,Close to 3'-UTR,Close to 3'-UTR,"""Meiosis-specific protein that localizes to chromosomes; prevents synapsis between nonhomologous chromosomes and ensures synapsis between homologs; forms complex with Mnd1p to promote homolog pairing and meiotic double-strand break repair; heterodimer of Hop2p-Mnd1p stimulates the Dmc1p-mediated strand invasion""",Verified ORF
4327,7,437491,-0.0548413642485067,0.144521647380868,0.704568413365226,YGL031C,RPL24A,SGDID:S000002999,CDS,CDS,"""Ribosomal 60S subunit protein L24A; not essential for translation but may be required for normal translation rate; homologous to mammalian ribosomal protein L24 ; no bacterial homolog; RPL24A has a paralog ; RPL24B ; that arose from the whole genome duplication""",Verified ORF
4329,7,438424,-0.0914502805793092,0.14659656233164,0.533146853308947,YGL030W_NFR/NDR,,,Promoter,Promoter,fragile,Promoter
4330,7,438728,-0.0680238964628732,0.145776434453193,0.641051298114795,YGL030W_NFR/NDR,,,Promoter,Promoter,fragile,Promoter
4335,7,446235,-0.0360491234498377,0.145675092167211,0.804694174086817,YGL027C_NFR/NDR,,,Promoter,Promoter,stable,Promoter
4336,7,449305,-0.088728334716265,0.147020465715226,0.546556995807197,YGL025C,PGD1,SGDID:S000002993,CDS,CDS,"""Subunit of the RNA polymerase II mediator complex; associates with core polymerase subunits to form the RNA polymerase II holoenzyme; essential for basal and activated transcription; direct target of Cyc8p-Tup1p transcriptional corepressor""",Verified ORF
4337,7,449489,-0.0764131322354729,0.146522497504965,0.602337698969192,YGL025C,PGD1,SGDID:S000002993,CDS,CDS,"""Subunit of the RNA polymerase II mediator complex; associates with core polymerase subunits to form the RNA polymerase II holoenzyme; essential for basal and activated transcription; direct target of Cyc8p-Tup1p transcriptional corepressor""",Verified ORF
4339,7,455708,-0.0965252006858337,0.146584910926836,0.510650364907692,YGL021W,ALK1,SGDID:S000002989,CDS,CDS,"""Atypical protein kinase; along with paralog ; ALK2 ; required for proper spindle positioning and nuclear segregation following mitotic arrest ; proper organization of cell polarity factors in mitosis ; proper localization of formins and polarity factors ; and survival in cells that activate spindle assembly checkpoint; regulates the morphogenesis checkpoint in response to polarity insults through inactivation of Mih1p; phosphorylated in response to DNA damage; similar to mammalian haspins""",Verified ORF
4340,7,455735,-0.0974431573869143,0.145850053582325,0.504503129754826,YGL021W,ALK1,SGDID:S000002989,CDS,CDS,"""Atypical protein kinase; along with paralog ; ALK2 ; required for proper spindle positioning and nuclear segregation following mitotic arrest ; proper organization of cell polarity factors in mitosis ; proper localization of formins and polarity factors ; and survival in cells that activate spindle assembly checkpoint; regulates the morphogenesis checkpoint in response to polarity insults through inactivation of Mih1p; phosphorylated in response to DNA damage; similar to mammalian haspins""",Verified ORF
4341,7,458896,-0.0543132467050937,0.146919655023407,0.711842667102089,YGL019W,CKB1,SGDID:S000002987,CDS,CDS,"""Beta regulatory subunit of casein kinase 2 (CK2); a Ser/Thr protein kinase with roles in cell growth and proliferation; CK2 ; comprised of CKA1 ; CKA2 ; CKB1 and CKB2 ; has many substrates including transcription factors and all RNA polymerases""",Verified ORF
4342,7,458995,-0.0820345552824406,0.14630426275771,0.575349600313488,YGL019W,CKB1,SGDID:S000002987,Close to 3'-UTR,Close to 3'-UTR,"""Beta regulatory subunit of casein kinase 2 (CK2); a Ser/Thr protein kinase with roles in cell growth and proliferation; CK2 ; comprised of CKA1 ; CKA2 ; CKB1 and CKB2 ; has many substrates including transcription factors and all RNA polymerases""",Verified ORF
4344,7,460296,-0.103003069942974,0.14670281341118,0.483066632511574,YGL017W,ATE1,SGDID:S000002985,CDS,CDS,"""Arginyl-tRNA-protein transferase; catalyzes post-translational conjugation of arginine to the amino termini of acceptor proteins which are then subject to degradation via the N-end rule pathway; may have a role in regulating stress response""",Verified ORF
4345,7,460447,-0.109803084107805,0.147123993725087,0.455964694428726,YGL017W,ATE1,SGDID:S000002985,CDS,CDS,"""Arginyl-tRNA-protein transferase; catalyzes post-translational conjugation of arginine to the amino termini of acceptor proteins which are then subject to degradation via the N-end rule pathway; may have a role in regulating stress response""",Verified ORF
4346,7,460988,-0.0934906146502119,0.145570538552078,0.521136938684788,YGL017W,ATE1,SGDID:S000002985,CDS,CDS,"""Arginyl-tRNA-protein transferase; catalyzes post-translational conjugation of arginine to the amino termini of acceptor proteins which are then subject to degradation via the N-end rule pathway; may have a role in regulating stress response""",Verified ORF
4347,7,461431,-0.0347247986800274,0.14610336846714,0.812272757727942,YGL016W_NFR/NDR,,,Promoter,Promoter,stable,Promoter
4348,7,462915,0.0153933980205323,0.149549879193525,0.918075761204212,YGL016W,KAP122,SGDID:S000002984,CDS,CDS,"""Karyopherin beta; responsible for import of the Toa1p-Toa2p complex into the nucleus; binds to nucleoporins Nup1p and Nup2p; may play a role in regulation of pleiotropic drug resistance""",Verified ORF
4349,7,465310,-0.0464338866867633,0.146844205629764,0.752028561571414,YGL015C,YGL015C,SGDID:S000002983,CDS,CDS,"""Formin inhibitor; negatively regulates Bnr1-mediated actin filament nucleation but not filament elongation; performs distinct but overlapping roles with Hof1p to control actin cable assembly and polarized secretion; bnr1 bil2 double mutants are inviable; localizes to the cytosol ; secretory vesicles and sites of polarized growth""",Verified ORF
4350,7,465688,-0.070752185326028,0.147771209763375,0.632380575209464,YGL014W_NFR/NDR,,,Promoter,Promoter,stable,Promoter
4351,7,467332,-0.0246691836718608,0.146799342942845,0.866642570397218,YGL014W,PUF4,SGDID:S000002982,CDS,CDS,"""Member of the PUF protein family; PUF family is defined by the presence of Pumilio homology domains that confer RNA binding activity; preferentially binds mRNAs encoding nucleolar ribosomal RNA-processing factors""",Verified ORF
4352,7,467497,0.0208963822018751,0.147341742480481,0.887301073718901,YGL014W,PUF4,SGDID:S000002982,CDS,CDS,"""Member of the PUF protein family; PUF family is defined by the presence of Pumilio homology domains that confer RNA binding activity; preferentially binds mRNAs encoding nucleolar ribosomal RNA-processing factors""",Verified ORF
4356,7,469647,0.0384970488577916,0.146355058512287,0.792674186122622,YGL013C,PDR1,SGDID:S000002981,CDS,CDS,"""Transcription factor that regulates the pleiotropic drug response; zinc cluster protein that is a master regulator involved in recruiting other zinc cluster proteins to pleiotropic drug response elements (PDREs) to fine tune the regulation of multidrug resistance genes; relocalizes to the cytosol in response to hypoxia; PDR1 has a paralog ; PDR3 ; that arose from the whole genome duplication""",Verified ORF
4357,7,469734,0.0318325787677187,0.147103713427421,0.828804486013263,YGL013C,PDR1,SGDID:S000002981,CDS,CDS,"""Transcription factor that regulates the pleiotropic drug response; zinc cluster protein that is a master regulator involved in recruiting other zinc cluster proteins to pleiotropic drug response elements (PDREs) to fine tune the regulation of multidrug resistance genes; relocalizes to the cytosol in response to hypoxia; PDR1 has a paralog ; PDR3 ; that arose from the whole genome duplication""",Verified ORF
4358,7,471518,0.0928033988096328,0.14908891452303,0.534034644427206,YGL013C,PDR1,SGDID:S000002981,CDS,CDS,"""Transcription factor that regulates the pleiotropic drug response; zinc cluster protein that is a master regulator involved in recruiting other zinc cluster proteins to pleiotropic drug response elements (PDREs) to fine tune the regulation of multidrug resistance genes; relocalizes to the cytosol in response to hypoxia; PDR1 has a paralog ; PDR3 ; that arose from the whole genome duplication""",Verified ORF
4359,7,472246,0.0401477990891026,0.147925896741288,0.786238354102593,YGL013C,PDR1,SGDID:S000002981,CDS,CDS,"""Transcription factor that regulates the pleiotropic drug response; zinc cluster protein that is a master regulator involved in recruiting other zinc cluster proteins to pleiotropic drug response elements (PDREs) to fine tune the regulation of multidrug resistance genes; relocalizes to the cytosol in response to hypoxia; PDR1 has a paralog ; PDR3 ; that arose from the whole genome duplication""",Verified ORF
4360,7,477177,0.0118648077856514,0.14870588107775,0.936451813825232,YGL009C,LEU1,SGDID:S000002977,CDS,CDS,"""Isopropylmalate isomerase; catalyzes the second step in the leucine biosynthesis pathway""",Verified ORF
4361,7,477678,0.0371192940850815,0.147659296343704,0.80166293918647,YGL009C,LEU1,SGDID:S000002977,CDS,CDS,"""Isopropylmalate isomerase; catalyzes the second step in the leucine biosynthesis pathway""",Verified ORF
4362,7,477857,0.0192714118044828,0.14769502183304,0.896260115267858,YGL009C,LEU1,SGDID:S000002977,CDS,CDS,"""Isopropylmalate isomerase; catalyzes the second step in the leucine biosynthesis pathway""",Verified ORF
4363,7,479063,0.0468772692155222,0.147998982136343,0.751627758468604,YGL009C,LEU1,SGDID:S000002977,Close to 3'-UTR,Close to 3'-UTR,"""Isopropylmalate isomerase; catalyzes the second step in the leucine biosynthesis pathway""",Verified ORF
4366,7,482519,0.181647260946914,0.149775678115913,0.226019026681594,YGL008C,PMA1,SGDID:S000002976,CDS,CDS,"""Plasma membrane P2-type H+-ATPase; pumps protons out of cell; major regulator of cytoplasmic pH and plasma membrane potential; long-lived protein asymmetrically distributed at plasma membrane between mother cells and buds; accumulates at high levels in mother cells during aging ; buds emerge with very low levels of Pma1p ; newborn cells have low levels of Pma1p; Hsp30p plays a role in Pma1p regulation; interactions with Std1p appear to propagate [GAR+]""",Verified ORF
4370,7,489418,0.166765440693198,0.149614989414454,0.265767062385201,YGL006W,PMC1,SGDID:S000002974,CDS,CDS,"""Vacuolar Ca2+ ATPase involved in depleting cytosol of Ca2+ ions; prevents growth inhibition by activation of calcineurin in the presence of elevated concentrations of calcium; similar to mammalian PMCA1a""",Verified ORF
4371,7,492815,0.190417711671704,0.149596150903054,0.2038988660481,YGL003C,CDH1,SGDID:S000002971,CDS,CDS,"""Activator of anaphase-promoting complex/cyclosome (APC/C); antagonist of the spindle assembly checkpoint; directs ubiquitination of cyclins resulting in mitotic exit; targets the APC/C to specific substrates including: Cdc20p ; Ase1p ; Cin8p ; Fin1p and Clb5p; partially active in metaphase ; and fully active in anaphase; cell-cycle regulated""",Verified ORF
4372,7,494079,0.177284153073872,0.149478116886394,0.236411774041572,YGL003C,CDH1,SGDID:S000002971,CDS,CDS,"""Activator of anaphase-promoting complex/cyclosome (APC/C); antagonist of the spindle assembly checkpoint; directs ubiquitination of cyclins resulting in mitotic exit; targets the APC/C to specific substrates including: Cdc20p ; Ase1p ; Cin8p ; Fin1p and Clb5p; partially active in metaphase ; and fully active in anaphase; cell-cycle regulated""",Verified ORF
4373,7,494841,0.203739673786451,0.149645518137431,0.174229779192594,YGL002W,ERP6,SGDID:S000002970,CDS,CDS,"""Member of the p24 family involved in ER to Golgi transport; similar to Emp24p and Erv25p; the authentic ; non-tagged protein is detected in highly purified mitochondria in high-throughput studies; ERP6 has a paralog ; ERP1 ; that arose from the whole genome duplication""",Verified ORF
4374,7,494885,0.111067318518406,0.152927427819145,0.468151681907177,YGL002W,ERP6,SGDID:S000002970,CDS,CDS,"""Member of the p24 family involved in ER to Golgi transport; similar to Emp24p and Erv25p; the authentic ; non-tagged protein is detected in highly purified mitochondria in high-throughput studies; ERP6 has a paralog ; ERP1 ; that arose from the whole genome duplication""",Verified ORF
4375,7,497601,0.125048173741698,0.150247202057442,0.405811984624967,YGR001C,EFM5,SGDID:S000003233,Close to 3'-UTR,Close to 3'-UTR,"""S-adenosylmethionine-dependent lysine methyltransferase; involved in the trimethylation of eEF1A (Tef1p/Tef2p) at lysine 79; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm; required for replication of Brome mosaic virus in budding yeast; expresses a circular RNA; originally misclassified as a N-6-adenine specific DNA methyltransferase based on sequence similarity; both Efm5p and human ortholog N6AMT2 can methylate eEF1a from either species in vitro""",Verified ORF
4376,7,505014,0.182206156666514,0.148900034632247,0.22188871490416,YGR005C,TFG2,SGDID:S000003237,CDS,CDS,"""TFIIF (Transcription Factor II) middle subunit; involved in both transcription initiation and elongation of RNA polymerase II; homologous to human RAP30""",Verified ORF
4377,7,506260,0.153211864611697,0.149991131270403,0.307730000648225,YGR006W,PRP18,SGDID:S000003238,CDS,CDS,"""Splicing factor and component of snRNP U5; factor involved in the positioning of the 3' splice site during the second catalytic step of splicing; interacts with Slu7p""",Verified ORF
4378,7,507347,0.154931803734021,0.15019063075539,0.302980919115002,YGR007W,ECT1,SGDID:S000003239,CDS,CDS,"""Ethanolamine-phosphate cytidylyltransferase; catalyzes the second step of phosphatidylethanolamine biosynthesis; involved in the maintenance of plasma membrane; similar to mammalian CTP: phosphocholine cytidylyl-transferases; inability of the null mutant to synthesize phosphatidylethanolamine and phosphatidylcholine from ethanolamine is functionally complemented by human PCYT2""",Verified ORF
4379,7,508075,0.129227348592362,0.151758701445894,0.395051339565543,YGR007W,ECT1,SGDID:S000003239,Close to 3'-UTR,Close to 3'-UTR,"""Ethanolamine-phosphate cytidylyltransferase; catalyzes the second step of phosphatidylethanolamine biosynthesis; involved in the maintenance of plasma membrane; similar to mammalian CTP: phosphocholine cytidylyl-transferases; inability of the null mutant to synthesize phosphatidylethanolamine and phosphatidylcholine from ethanolamine is functionally complemented by human PCYT2""",Verified ORF
4380,7,508351,0.172315089786635,0.15108405953843,0.254841006920207,YGR008C,STF2,SGDID:S000003240,CDS,CDS,"""Protein involved in resistance to desiccation stress; Stf2p exhibits antioxidant properties ; and its overexpression prevents ROS accumulation and apoptosis; binds to F0 sector of mitochondrial F1F0 ATPase in vitro and may modulate the inhibitory action of Inh1p and Stf1p; protein abundance increases in response to DNA replication stress; STF2 has a paralog ; TMA10 ; that arose from the whole genome duplication""",Verified ORF
4383,7,516852,0.217472656551274,0.149766015315599,0.147366791202487,YGR013W,SNU71,SGDID:S000003245,Close to 3'-UTR,Close to 3'-UTR,"""Component of U1 snRNP required for mRNA splicing via spliceosome; yeast specific ; no metazoan counterpart""",Verified ORF
4384,7,520054,0.175175287607976,0.14899454746309,0.240500682683475,YGR014W,MSB2,SGDID:S000003246,CDS,CDS,"""Mucin family member involved in various signaling pathways; functions as osmosensor in the Sho1p-mediated HOG pathway; functions in Cdc42p- and MAP kinase-dependent filamentous growth signaling pathway; processed into secreted and cell-associated forms by aspartyl protease Yps1p; potential Cdc28p substrate""",Verified ORF
4385,7,524777,0.211154667144545,0.149419666203006,0.15848831294374,YGR018C_NFR/NDR,,,Promoter,Promoter,,Promoter
4386,7,524944,0.209220934976011,0.149796691782427,0.163381502660956,YGR018C_NFR/NDR,,,Promoter,Promoter,,Promoter
4387,7,529282,0.209220934976011,0.149796691782427,0.163381502660956,YGR022C,YGR022C,SGDID:S000003254,CDS,CDS,"""Dubious open reading frame; unlikely to encode a functional protein ; based on available experimental and comparative sequence data; overlaps almost completely with the verified ORF MTL1/YGR023W""",Dubious ORF
4388,7,530662,0.178905730918464,0.152890666220113,0.242728125634327,YGR023W,MTL1,SGDID:S000003255,CDS,CDS,"""Putative plasma membrane sensor; involved in cell integrity signaling and stress response during glucose starvation and oxidative stress; has structural and functional similarity to Mid2p; MTL1 has a paralog ; MID2 ; that arose from the whole genome duplication""",Verified ORF
4389,7,531465,0.213635508201706,0.14950729967336,0.153908548864273,tD(GUC)G1_NFR/NDR,,,Promoter,Promoter,,Promoter
4391,7,533328,0.120532152343702,0.150001116167206,0.422202446441152,YGR026W,YGR026W,SGDID:S000003258,CDS,CDS,"""Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cell periphery""",Uncharacterized ORF
4392,7,533941,0.234521336572758,0.150036408939678,0.118925989436244,YGR025W,YGR025W,SGDID:S000003257,Close to 3'-UTR,Close to 3'-UTR,"""Putative protein of unknown function; conserved across S. cerevisiae strains""",Uncharacterized ORF
4393,7,534871,0.244980438733342,0.148700023104957,0.100349060339318,YGR027C_NFR/NDR,,,Promoter,Promoter,fragile,Promoter
4394,7,534988,0.194784828222546,0.147423989802969,0.187271783953762,YGR027C_NFR/NDR,,,Promoter,Promoter,fragile,Promoter
4395,7,543693,0.234618619838097,0.14716974613931,0.11178524538843,YGR028W,MSP1,SGDID:S000003260,Close to 3'-UTR,Close to 3'-UTR,"""Highly-conserved N-terminally anchored AAA-ATPase; distributed in the mitochondrial outer membrane and peroxisomes; involved in mitochondrial protein sorting; functions as an extraction engine in local organelle surveillance to remove and initiate degradation of mistargeted proteins ; ensuring fidelity of organelle-specific localization of tail-anchored proteins; contains an N-terminal transmembrane domain and C-terminal cytoplasmic ATPase domain""",Verified ORF
4396,7,544711,0.208565847852441,0.1473593470852,0.157845921927003,SUT550_NFR/NDR,,,Promoter,Promoter,,Promoter
4398,7,547208,0.213196769685887,0.14931531614179,0.154225093424352,YGR031W,IMO32,SGDID:S000003263,CDS,CDS,"""Conserved mitochondrial protein of unknown function; processed by both mitochondrial processing peptidase and mitochondrial octapeptidyl aminopeptidase; gene contains the nested antisense gene NAG1""",Verified ORF
4399,7,550634,0.21339067790028,0.149447090850959,0.154214011569008,YGR032W,GSC2,SGDID:S000003264,CDS,CDS,"""Catalytic subunit of 1,3-beta-glucan synthase; involved in formation of the inner layer of the spore wall; activity positively regulated by Rho1p and negatively by Smk1p; GSC2 has a paralog ; FKS1 ; that arose from the whole genome duplication""",Verified ORF
4400,7,555705,0.23723304639946,0.146920389681679,0.107268096112336,YGR034W_NFR/NDR,,,Promoter,Promoter,fragile,Promoter
4401,7,557700,-0.0266668439773974,0.14510148938166,0.854291068776613,YGR035W-A,YGR035W-A,SGDID:S000028827,CDS,CDS,"""Putative protein of unknown function""",Uncharacterized ORF
4402,7,558857,-0.0392442823028674,0.145363848969472,0.787338952375075,YGR036C,CAX4,SGDID:S000003268,CDS,CDS,"""Dolichyl pyrophosphate (Dol-P-P) phosphatase; cleaves the anhydride linkage in Dol-P-P; involved in  synthesis of Dol-P-P-linked oligosaccharide intermediate required for protein N-glycosylation; has a luminally oriented active site in the ER; mutation affects vesicular transport ; membrane and cell wall biogenesis and lipid homeostasis""",Verified ORF
4405,7,568141,-0.0436994670472295,0.145572710959719,0.764208960309376,YGR038C-B,YGR038C-B,SGDID:S000007408,Close to 3'-UTR,Close to 3'-UTR,"""Retrotransposon TYA Gag and TYB Pol genes; transcribed/translated as one unit; polyprotein is processed to make a nucleocapsid-like protein (Gag) ; reverse transcriptase (RT) ; protease (PR) ; and integrase (IN); similar to retroviral genes""",transposable_element_gene
4406,7,568267,0.172197317408988,0.146292116995733,0.239957195016418,YGR038C-B,YGR038C-B,SGDID:S000007408,Close to 3'-UTR,Close to 3'-UTR,"""Retrotransposon TYA Gag and TYB Pol genes; transcribed/translated as one unit; polyprotein is processed to make a nucleocapsid-like protein (Gag) ; reverse transcriptase (RT) ; protease (PR) ; and integrase (IN); similar to retroviral genes""",transposable_element_gene
4407,7,568279,0.149152973525038,0.145765773874049,0.306896374789467,YGR038C-B,YGR038C-B,SGDID:S000007408,Close to 3'-UTR,Close to 3'-UTR,"""Retrotransposon TYA Gag and TYB Pol genes; transcribed/translated as one unit; polyprotein is processed to make a nucleocapsid-like protein (Gag) ; reverse transcriptase (RT) ; protease (PR) ; and integrase (IN); similar to retroviral genes""",transposable_element_gene
4409,7,575154,0.220592950375754,0.145081316971345,0.129286068916365,YGR039W,YGR039W,SGDID:S000003271,CDS,CDS,"""Putative protein of unknown function; conserved among S. cerevisiae strains; YGR039W is not an essential gene""",Uncharacterized ORF
4410,7,576468,0.200254954875429,0.145033943464869,0.168230816439107,YGR040W,KSS1,SGDID:S000003272,CDS,CDS,"""Mitogen-activated protein kinase (MAPK); involved in signal transduction pathways that control filamentous growth and pheromone response; regulates septum assembly ; and may directly phosphorylate Bni4p; the KSS1 gene is nonfunctional in S288C strains and functional in W303 strains""",Verified ORF
4411,7,577840,0.138845547132974,0.147502401770078,0.347189521353952,YGR041W,BUD9,SGDID:S000003273,CDS,CDS,"""Protein involved in bud-site selection; mutant has increased aneuploidy tolerance; diploid mutants display a unipolar budding pattern instead of the wild-type bipolar pattern ; and bud at the distal pole; BUD9 has a paralog ; BUD8 ; that arose from the whole genome duplication""",Verified ORF
4412,7,578213,0.178180909073023,0.146707972281942,0.225358068363683,YGR041W,BUD9,SGDID:S000003273,CDS,CDS,"""Protein involved in bud-site selection; mutant has increased aneuploidy tolerance; diploid mutants display a unipolar budding pattern instead of the wild-type bipolar pattern ; and bud at the distal pole; BUD9 has a paralog ; BUD8 ; that arose from the whole genome duplication""",Verified ORF
4413,7,579729,0.21071010968088,0.14568402341227,0.148966325439059,YGR042W,MTE1,SGDID:S000003274,CDS,CDS,"""Protein of unknown function; involved in maintenance of proper telomere length; green fluorescent protein (GFP)-fusion protein localizes to both the cytoplasm and the nucleus; forms nuclear foci upon DNA replication stress""",Verified ORF
4414,7,581739,0.145616637826993,0.145349133227654,0.317106910809619,ARS724,ARS724,SGDID:S000130167,Other features,Replication,"""Putative replication origin; identified in multiple array studies ; not yet confirmed by plasmid-based assay""",ARS
4415,7,581755,0.165924575082986,0.146693509250842,0.258782161198806,ARS724,ARS724,SGDID:S000130167,Other features,Replication,"""Putative replication origin; identified in multiple array studies ; not yet confirmed by plasmid-based assay""",ARS
4416,7,581805,0.15735785471969,0.147889402368709,0.288045181817552,ARS724,ARS724,SGDID:S000130167,Other features,Replication,"""Putative replication origin; identified in multiple array studies ; not yet confirmed by plasmid-based assay""",ARS
4417,7,581909,0.095399459033741,0.145567030171425,0.512659983484059,ARS724,ARS724,SGDID:S000130167,Other features,Replication,"""Putative replication origin; identified in multiple array studies ; not yet confirmed by plasmid-based assay""",ARS
4418,7,583615,0.174323436629426,0.146024195279396,0.23335850940386,YGR044C,RME1,SGDID:S000003276,CDS,CDS,"""Zinc finger protein involved in control of meiosis; prevents meiosis by repressing IME1 expression and promotes mitosis by activating CLN2 expression; directly repressed by a1-alpha2 regulator; mediates cell type control of sporulation; relocalizes from nucleus to cytoplasm upon DNA replication stress""",Verified ORF
4419,7,585575,0.0570880783945119,0.1444272875388,0.692880833666759,YGR046W,TAM41,SGDID:S000003278,CDS,CDS,"""Mitochondrial phosphatidate cytidylyltransferase (CDP-DAG synthase); required for cardiolipin biosynthesis; viability of null mutant is strain-dependent; mRNA is targeted to the bud; mutant displays defect in mitochondrial protein import ; likely due to altered membrane lipid composition""",Verified ORF
4420,7,585680,0.0491243758372643,0.144551928523179,0.73417992693817,YGR046W,TAM41,SGDID:S000003278,CDS,CDS,"""Mitochondrial phosphatidate cytidylyltransferase (CDP-DAG synthase); required for cardiolipin biosynthesis; viability of null mutant is strain-dependent; mRNA is targeted to the bud; mutant displays defect in mitochondrial protein import ; likely due to altered membrane lipid composition""",Verified ORF
4421,7,587240,0.0435415070501838,0.145647844235459,0.765153673272441,YGR047C,TFC4,SGDID:S000003279,CDS,CDS,"""Subunit of RNA polymerase III transcription initiation factor complex; one of six subunits of RNA polymerase III transcription initiation factor complex (TFIIIC); part of the TauA domain of TFIIIC that binds BoxA DNA promoter sites of tRNA and similar genes; has TPR motifs; human homolog is TFIIIC-102""",Verified ORF
4422,7,587567,0.0162162305948133,0.144948319950106,0.910985355503552,YGR047C,TFC4,SGDID:S000003279,CDS,CDS,"""Subunit of RNA polymerase III transcription initiation factor complex; one of six subunits of RNA polymerase III transcription initiation factor complex (TFIIIC); part of the TauA domain of TFIIIC that binds BoxA DNA promoter sites of tRNA and similar genes; has TPR motifs; human homolog is TFIIIC-102""",Verified ORF
4423,7,588483,0.0407842868125161,0.145081595257893,0.778788619022669,YGR047C,TFC4,SGDID:S000003279,CDS,CDS,"""Subunit of RNA polymerase III transcription initiation factor complex; one of six subunits of RNA polymerase III transcription initiation factor complex (TFIIIC); part of the TauA domain of TFIIIC that binds BoxA DNA promoter sites of tRNA and similar genes; has TPR motifs; human homolog is TFIIIC-102""",Verified ORF
4424,7,591077,-0.0192831212121605,0.146382725796957,0.895272229842159,YGR049W_NFR/NDR,,,Promoter,Promoter,fragile,Promoter
4426,7,592116,0.0130898558609891,0.145798217411154,0.92851245851189,YGR050C,YGR050C,SGDID:S000003282,CDS,CDS,"""Protein of unknown function; mRNA identified as translated by ribosome profiling data""",Uncharacterized ORF
4427,7,592624,0.0391128493241893,0.146933345490911,0.790244826945045,YGR050C_NFR/NDR,,,Promoter,Promoter,,Promoter
4428,7,592970,0.0191818025772701,0.145662702568468,0.895307334768889,YGR051C,YGR051C,SGDID:S000003283,CDS,CDS,"""Dubious open reading frame; unlikely to encode a functional protein ; based on available experimental and comparative sequence data; YGR051C is not an essential gene""",Dubious ORF
4429,7,592987,0.0179484747724206,0.14442472669897,0.901167772912859,YGR051C,YGR051C,SGDID:S000003283,CDS,CDS,"""Dubious open reading frame; unlikely to encode a functional protein ; based on available experimental and comparative sequence data; YGR051C is not an essential gene""",Dubious ORF
4432,7,593465,-0.0523453959706387,0.144849035387401,0.718032357900034,YGR051C,YGR051C,SGDID:S000003283,Close to 3'-UTR,Close to 3'-UTR,"""Dubious open reading frame; unlikely to encode a functional protein ; based on available experimental and comparative sequence data; YGR051C is not an essential gene""",Dubious ORF
