SNP,SNPs_localization,GENE,snps_class_down,CLOSEST_GENE,description,Human_homologs
6897,YKL175W,ZRT3,Verified ORF,ZRT3,"""Vacuolar membrane zinc transporter; transports zinc from storage in the vacuole to the cytoplasm when needed; transcription is induced under conditions of zinc deficiency""",
6898,YKL175W,ZRT3,Verified ORF,ZRT3,"""Vacuolar membrane zinc transporter; transports zinc from storage in the vacuole to the cytoplasm when needed; transcription is induced under conditions of zinc deficiency""",
6899,YKL175W,ZRT3,Verified ORF,ZRT3,"""Vacuolar membrane zinc transporter; transports zinc from storage in the vacuole to the cytoplasm when needed; transcription is induced under conditions of zinc deficiency""",
6900,YKL175W,ZRT3,Verified ORF,ZRT3,"""Vacuolar membrane zinc transporter; transports zinc from storage in the vacuole to the cytoplasm when needed; transcription is induced under conditions of zinc deficiency""",
6901,YKL175W,ZRT3,Verified ORF,ZRT3,"""Vacuolar membrane zinc transporter; transports zinc from storage in the vacuole to the cytoplasm when needed; transcription is induced under conditions of zinc deficiency""",
6902,YKL174C,TPO5,Verified ORF,TPO5,"""Protein involved in excretion of putrescine and spermidine; putative polyamine transporter in the Golgi or post-Golgi vesicles""",
6903,YKL174C,TPO5,Verified ORF,TPO5,"""Protein involved in excretion of putrescine and spermidine; putative polyamine transporter in the Golgi or post-Golgi vesicles""",
6904,YKL174C,TPO5,Verified ORF,TPO5,"""Protein involved in excretion of putrescine and spermidine; putative polyamine transporter in the Golgi or post-Golgi vesicles""",
6905,YKL174C,TPO5,Verified ORF,TPO5,"""Protein involved in excretion of putrescine and spermidine; putative polyamine transporter in the Golgi or post-Golgi vesicles""",
6906,YKL174C,TPO5,Verified ORF,TPO5,"""Protein involved in excretion of putrescine and spermidine; putative polyamine transporter in the Golgi or post-Golgi vesicles""",
6907,YKL174C,TPO5,Verified ORF,TPO5,"""Protein involved in excretion of putrescine and spermidine; putative polyamine transporter in the Golgi or post-Golgi vesicles""",
6908,YKL174C,TPO5,Verified ORF,TPO5,"""Protein involved in excretion of putrescine and spermidine; putative polyamine transporter in the Golgi or post-Golgi vesicles""",
6909,YKL174C,TPO5,Verified ORF,TPO5,"""Protein involved in excretion of putrescine and spermidine; putative polyamine transporter in the Golgi or post-Golgi vesicles""",
6910,YKL174C,TPO5,Verified ORF,TPO5,"""Protein involved in excretion of putrescine and spermidine; putative polyamine transporter in the Golgi or post-Golgi vesicles""",
6911,YKL173W_NFR/NDR,,Promoter,SNU114,"""GTPase component of U5 snRNP involved in mRNA splicing via spliceosome; binds directly to U5 snRNA; proposed to be involved in conformational changes of the spliceosome; similarity to ribosomal translocation factor EF-2""",EFTUD2
6912,YKL173W_NFR/NDR,,Promoter,SNU114,"""GTPase component of U5 snRNP involved in mRNA splicing via spliceosome; binds directly to U5 snRNA; proposed to be involved in conformational changes of the spliceosome; similarity to ribosomal translocation factor EF-2""",EFTUD2
6913,YKL173W,SNU114,Verified ORF,SNU114,"""GTPase component of U5 snRNP involved in mRNA splicing via spliceosome; binds directly to U5 snRNA; proposed to be involved in conformational changes of the spliceosome; similarity to ribosomal translocation factor EF-2""",EFTUD2
6914,YKL173W,SNU114,Verified ORF,SNU114,"""GTPase component of U5 snRNP involved in mRNA splicing via spliceosome; binds directly to U5 snRNA; proposed to be involved in conformational changes of the spliceosome; similarity to ribosomal translocation factor EF-2""",EFTUD2
6915,YKL173W,SNU114,Verified ORF,SNU114,"""GTPase component of U5 snRNP involved in mRNA splicing via spliceosome; binds directly to U5 snRNA; proposed to be involved in conformational changes of the spliceosome; similarity to ribosomal translocation factor EF-2""",EFTUD2
6916,YKL173W,SNU114,Verified ORF,SNU114,"""GTPase component of U5 snRNP involved in mRNA splicing via spliceosome; binds directly to U5 snRNA; proposed to be involved in conformational changes of the spliceosome; similarity to ribosomal translocation factor EF-2""",EFTUD2
6917,YKL173W,SNU114,Verified ORF,SNU114,"""GTPase component of U5 snRNP involved in mRNA splicing via spliceosome; binds directly to U5 snRNA; proposed to be involved in conformational changes of the spliceosome; similarity to ribosomal translocation factor EF-2""",EFTUD2
6918,YKL173W,SNU114,Verified ORF,SNU114,"""GTPase component of U5 snRNP involved in mRNA splicing via spliceosome; binds directly to U5 snRNA; proposed to be involved in conformational changes of the spliceosome; similarity to ribosomal translocation factor EF-2""",EFTUD2
6919,YKL172W_NFR/NDR,,Promoter,EBP2,"""Required for 25S rRNA maturation and 60S ribosomal subunit assembly; localizes to the nucleolus and in foci along nuclear periphery; constituent of 66S pre-ribosomal particles; cooperates with Rrs1p and Mps3p to mediate telomere clustering by binding Sir4p ; but is not involved in telomere tethering""",EBNA1BP2
6920,YKL172W_NFR/NDR,,Promoter,EBP2,"""Required for 25S rRNA maturation and 60S ribosomal subunit assembly; localizes to the nucleolus and in foci along nuclear periphery; constituent of 66S pre-ribosomal particles; cooperates with Rrs1p and Mps3p to mediate telomere clustering by binding Sir4p ; but is not involved in telomere tethering""",EBNA1BP2
6921,YKL170W_NFR/NDR,,Promoter,MRPL38,"""Mitochondrial ribosomal protein of the large subunit; appears as two protein spots (YmL34 and YmL38) on two-dimensional SDS gels; protein abundance increases in response to DNA replication stress""",
6922,YKL170W_NFR/NDR,,Promoter,MRPL38,"""Mitochondrial ribosomal protein of the large subunit; appears as two protein spots (YmL34 and YmL38) on two-dimensional SDS gels; protein abundance increases in response to DNA replication stress""",
6923,YKL170W_NFR/NDR,,Promoter,MRPL38,"""Mitochondrial ribosomal protein of the large subunit; appears as two protein spots (YmL34 and YmL38) on two-dimensional SDS gels; protein abundance increases in response to DNA replication stress""",
6924,YKL168C,KKQ8,Verified ORF,KKQ8,"""Putative serine/threonine protein kinase with unknown cellular role; KKQ8 has a paralog ; HAL5 ; that arose from the whole genome duplication""",
6925,YKL165C,MCD4,Close to 3'-UTR,MCD4,"""Protein involved in GPI anchor synthesis; multimembrane-spanning protein that localizes to the endoplasmic reticulum; highly conserved among eukaryotes; GPI stands for glycosylphosphatidylinositol""",PIGN
6926,YKL165C,MCD4,Close to 3'-UTR,MCD4,"""Protein involved in GPI anchor synthesis; multimembrane-spanning protein that localizes to the endoplasmic reticulum; highly conserved among eukaryotes; GPI stands for glycosylphosphatidylinositol""",PIGN
6927,YKL165C,MCD4,Close to 3'-UTR,MCD4,"""Protein involved in GPI anchor synthesis; multimembrane-spanning protein that localizes to the endoplasmic reticulum; highly conserved among eukaryotes; GPI stands for glycosylphosphatidylinositol""",PIGN
6928,YKL165C,MCD4,Close to 3'-UTR,MCD4,"""Protein involved in GPI anchor synthesis; multimembrane-spanning protein that localizes to the endoplasmic reticulum; highly conserved among eukaryotes; GPI stands for glycosylphosphatidylinositol""",PIGN
6929,YKL165C,MCD4,Close to 3'-UTR,MCD4,"""Protein involved in GPI anchor synthesis; multimembrane-spanning protein that localizes to the endoplasmic reticulum; highly conserved among eukaryotes; GPI stands for glycosylphosphatidylinositol""",PIGN
6930,YKL165C,MCD4,Verified ORF,MCD4,"""Protein involved in GPI anchor synthesis; multimembrane-spanning protein that localizes to the endoplasmic reticulum; highly conserved among eukaryotes; GPI stands for glycosylphosphatidylinositol""",PIGN
6931,YKL165C,MCD4,Verified ORF,MCD4,"""Protein involved in GPI anchor synthesis; multimembrane-spanning protein that localizes to the endoplasmic reticulum; highly conserved among eukaryotes; GPI stands for glycosylphosphatidylinositol""",PIGN
6932,YKL165C,MCD4,Verified ORF,MCD4,"""Protein involved in GPI anchor synthesis; multimembrane-spanning protein that localizes to the endoplasmic reticulum; highly conserved among eukaryotes; GPI stands for glycosylphosphatidylinositol""",PIGN
6933,YKL165C,MCD4,Verified ORF,MCD4,"""Protein involved in GPI anchor synthesis; multimembrane-spanning protein that localizes to the endoplasmic reticulum; highly conserved among eukaryotes; GPI stands for glycosylphosphatidylinositol""",PIGN
6934,YKL165C,MCD4,Verified ORF,MCD4,"""Protein involved in GPI anchor synthesis; multimembrane-spanning protein that localizes to the endoplasmic reticulum; highly conserved among eukaryotes; GPI stands for glycosylphosphatidylinositol""",PIGN
6935,YKL165C,MCD4,Verified ORF,MCD4,"""Protein involved in GPI anchor synthesis; multimembrane-spanning protein that localizes to the endoplasmic reticulum; highly conserved among eukaryotes; GPI stands for glycosylphosphatidylinositol""",PIGN
6936,YKL163W,PIR3,Verified ORF,PIR3,"""O-glycosylated covalently-bound cell wall protein; required for cell wall stability; expression is cell cycle regulated ; peaking in M/G1 and also subject to regulation by the cell integrity pathway; coding sequence contains length polymorphisms in different strains; PIR3 has a paralog ; HSP150 ; that arose from the whole genome duplication""",
6937,YKL163W,PIR3,Close to 3'-UTR,PIR3,"""O-glycosylated covalently-bound cell wall protein; required for cell wall stability; expression is cell cycle regulated ; peaking in M/G1 and also subject to regulation by the cell integrity pathway; coding sequence contains length polymorphisms in different strains; PIR3 has a paralog ; HSP150 ; that arose from the whole genome duplication""",
6938,YKL162C,YKL162C,Close to 3'-UTR,YKL162C,"""Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the mitochondrion""",
6939,SUT229,,SUT,,,
6940,SUT229,,SUT,,,
6941,YKL160W,ELF1,Verified ORF,ELF1,"""Transcription elongation factor with a conserved zinc finger domain; implicated in the maintenance of proper chromatin structure in actively transcribed regions; deletion inhibits Brome mosaic virus (BMV) gene expression""",ELOF1
6942,YKL159C,RCN1,Verified ORF,RCN1,"""Protein involved in calcineurin regulation during calcium signaling; has similarity to H. sapiens DSCR1 which is found in the Down Syndrome candidate region""","RCAN2, RCAN1, RCAN3"
6943,YKL159C,RCN1,Verified ORF,RCN1,"""Protein involved in calcineurin regulation during calcium signaling; has similarity to H. sapiens DSCR1 which is found in the Down Syndrome candidate region""","RCAN2, RCAN1, RCAN3"
6944,YKL159C_NFR/NDR,,Promoter,RCN1,"""Protein involved in calcineurin regulation during calcium signaling; has similarity to H. sapiens DSCR1 which is found in the Down Syndrome candidate region""","RCAN2, RCAN1, RCAN3"
6945,YKL157W,APE2,Close to 3'-UTR,APE2,"""Aminopeptidase yscII; may have a role in obtaining leucine from dipeptide substrates; APE2 has a paralog ; AAP1 ; that arose from the whole genome duplication""","NPEPPSP1, NPEPPS"
6946,YKL157W,APE2,Close to 3'-UTR,APE2,"""Aminopeptidase yscII; may have a role in obtaining leucine from dipeptide substrates; APE2 has a paralog ; AAP1 ; that arose from the whole genome duplication""","NPEPPSP1, NPEPPS"
6947,YKL157W,APE2,Close to 3'-UTR,APE2,"""Aminopeptidase yscII; may have a role in obtaining leucine from dipeptide substrates; APE2 has a paralog ; AAP1 ; that arose from the whole genome duplication""","NPEPPSP1, NPEPPS"
6948,YKL157W,APE2,Close to 3'-UTR,APE2,"""Aminopeptidase yscII; may have a role in obtaining leucine from dipeptide substrates; APE2 has a paralog ; AAP1 ; that arose from the whole genome duplication""","NPEPPSP1, NPEPPS"
6949,tR(UCU)K_NFR/NDR,,Promoter,,,
6950,YKLWdelta3,YKLWdelta3,LTR,,,
6951,YKL150W_NFR/NDR,,Promoter,MCR1,"""Mitochondrial NADH-cytochrome b5 reductase; involved in ergosterol biosynthesis""",
6952,YKL150W,MCR1,Verified ORF,MCR1,"""Mitochondrial NADH-cytochrome b5 reductase; involved in ergosterol biosynthesis""",
6953,YKL149C,DBR1,Close to 3'-UTR,DBR1,"""RNA lariat debranching enzyme; catalyzes debranching of lariat introns formed during pre-mRNA splicing; required for efficient Ty1 transposition; knockdown of human homolog Dbr1 rescues toxicity of RNA-binding proteins TDP-43 and FUS which are implicated in amyotrophic lateral sclerosis (ALS) ; suggests potential therapeutic target for ALS and related TDP-43 proteinopathies; human homolog DBR1 can complement yeast dbr1 null mutant""",DBR1
6954,YKL148C,SDH1,Verified ORF,SDH1,"""Flavoprotein subunit of succinate dehydrogenase; couples the oxidation of succinate to the transfer of electrons to ubiquinone as part of the TCA cycle and the mitochondrial respiratory chain; FAD binding to Sdh1p is required for the assembly of the succinate dehydrogenase subunits; mutations in human ortholog SDHA are associated with Leigh syndrome and predisposition to several cancers""",SDHA
6955,YKL148C,SDH1,Verified ORF,SDH1,"""Flavoprotein subunit of succinate dehydrogenase; couples the oxidation of succinate to the transfer of electrons to ubiquinone as part of the TCA cycle and the mitochondrial respiratory chain; FAD binding to Sdh1p is required for the assembly of the succinate dehydrogenase subunits; mutations in human ortholog SDHA are associated with Leigh syndrome and predisposition to several cancers""",SDHA
6956,YKL148C,SDH1,Close to 3'-UTR,SDH1,"""Flavoprotein subunit of succinate dehydrogenase; couples the oxidation of succinate to the transfer of electrons to ubiquinone as part of the TCA cycle and the mitochondrial respiratory chain; FAD binding to Sdh1p is required for the assembly of the succinate dehydrogenase subunits; mutations in human ortholog SDHA are associated with Leigh syndrome and predisposition to several cancers""",SDHA
6957,YKL148C,SDH1,Close to 3'-UTR,SDH1,"""Flavoprotein subunit of succinate dehydrogenase; couples the oxidation of succinate to the transfer of electrons to ubiquinone as part of the TCA cycle and the mitochondrial respiratory chain; FAD binding to Sdh1p is required for the assembly of the succinate dehydrogenase subunits; mutations in human ortholog SDHA are associated with Leigh syndrome and predisposition to several cancers""",SDHA
6958,YKL148C,SDH1,Close to 3'-UTR,SDH1,"""Flavoprotein subunit of succinate dehydrogenase; couples the oxidation of succinate to the transfer of electrons to ubiquinone as part of the TCA cycle and the mitochondrial respiratory chain; FAD binding to Sdh1p is required for the assembly of the succinate dehydrogenase subunits; mutations in human ortholog SDHA are associated with Leigh syndrome and predisposition to several cancers""",SDHA
6959,YKL146W_NFR/NDR,,Promoter,AVT3,"""Vacuolar transporter; exports large neutral amino acids from the vacuole; member of a family of seven S. cerevisiae genes (AVT1-7) related to vesicular GABA-glycine transporters""","SLC36A3, SLC36A2, SLC36A4, SLC36A1"
6960,YKL146W_NFR/NDR,,Promoter,AVT3,"""Vacuolar transporter; exports large neutral amino acids from the vacuole; member of a family of seven S. cerevisiae genes (AVT1-7) related to vesicular GABA-glycine transporters""","SLC36A3, SLC36A2, SLC36A4, SLC36A1"
6961,YKL146W_NFR/NDR,,Promoter,AVT3,"""Vacuolar transporter; exports large neutral amino acids from the vacuole; member of a family of seven S. cerevisiae genes (AVT1-7) related to vesicular GABA-glycine transporters""","SLC36A3, SLC36A2, SLC36A4, SLC36A1"
6962,YKL147C,YKL147C,Dubious ORF,YKL147C,"""Dubious open reading frame; unlikely to encode a functional protein ; based on available experimental and comparative sequence data; not conserved in closely related Saccharomyces species; partially overlaps the verified gene AVT3""",
6963,YKL147C,YKL147C,Dubious ORF,YKL147C,"""Dubious open reading frame; unlikely to encode a functional protein ; based on available experimental and comparative sequence data; not conserved in closely related Saccharomyces species; partially overlaps the verified gene AVT3""",
6964,YKL146W,AVT3,Verified ORF,AVT3,"""Vacuolar transporter; exports large neutral amino acids from the vacuole; member of a family of seven S. cerevisiae genes (AVT1-7) related to vesicular GABA-glycine transporters""","SLC36A3, SLC36A2, SLC36A4, SLC36A1"
6965,YKL145W_NFR/NDR,,Promoter,RPT1,"""ATPase of the 19S regulatory particle of the 26S proteasome; one of six ATPases of the regulatory particle; involved in the degradation of ubiquitinated substrates; required for optimal CDC20 transcription; interacts with Rpn12p and Ubr1p; mutant has aneuploidy tolerance""",PSMC2
6966,YKL145W_NFR/NDR,,Promoter,RPT1,"""ATPase of the 19S regulatory particle of the 26S proteasome; one of six ATPases of the regulatory particle; involved in the degradation of ubiquitinated substrates; required for optimal CDC20 transcription; interacts with Rpn12p and Ubr1p; mutant has aneuploidy tolerance""",PSMC2
6967,YKL141W,SDH3,Verified ORF,SDH3,"""Subunit of succinate dehydrogenase and of TIM22 translocase; functions as cytochrome b subunit of succinate dehydrogenase ; which couples oxidation of succinate to transfer of electrons to ubiquinone as part of the TCA cycle and the mitochondrial respiratory chain; also required for mitochondrial inner membrane protein import as part of the TIM22 complex; SDH3 has a paralog ; SHH3 ; that arose from the whole genome duplication""",SDHC
6968,YKL140W,TGL1,Verified ORF,TGL1,"""Steryl ester hydrolase; one of three gene products (Yeh1p ; Yeh2p ; Tgl1p) responsible for steryl ester hydrolase activity and involved in sterol homeostasis; localized to lipid particle membranes""","LIPK, LIPF, LIPA, LIPM, LIPN, LIPJ"
6969,YKL139W,CTK1,Verified ORF,CTK1,"""Catalytic (alpha) subunit of C-terminal domain kinase I (CTDK-I); phosphorylates both RNA pol II subunit Rpo21p to affect transcription and pre-mRNA 3' end processing ; and ribosomal protein Rps2p to increase translational fidelity; required for H3K36 trimethylation but not dimethylation by Set2p; suggested stimulatory role in 80S formation during translation initiation; similar to the Drosophila dCDK12 and human CDK12 and probably CDK13""","CDK12, CDK13"
6970,YKL139W,CTK1,Verified ORF,CTK1,"""Catalytic (alpha) subunit of C-terminal domain kinase I (CTDK-I); phosphorylates both RNA pol II subunit Rpo21p to affect transcription and pre-mRNA 3' end processing ; and ribosomal protein Rps2p to increase translational fidelity; required for H3K36 trimethylation but not dimethylation by Set2p; suggested stimulatory role in 80S formation during translation initiation; similar to the Drosophila dCDK12 and human CDK12 and probably CDK13""","CDK12, CDK13"
6971,YKL138C-A,HSK3,Verified ORF,HSK3,"""Essential subunit of the Dam1 complex (aka DASH complex); complex couples kinetochores to the force produced by MT depolymerization thereby aiding in chromosome segregation; is transferred to the kinetochore prior to mitosis""",
6972,YKL139W,CTK1,Close to 3'-UTR,CTK1,"""Catalytic (alpha) subunit of C-terminal domain kinase I (CTDK-I); phosphorylates both RNA pol II subunit Rpo21p to affect transcription and pre-mRNA 3' end processing ; and ribosomal protein Rps2p to increase translational fidelity; required for H3K36 trimethylation but not dimethylation by Set2p; suggested stimulatory role in 80S formation during translation initiation; similar to the Drosophila dCDK12 and human CDK12 and probably CDK13""","CDK12, CDK13"
6973,YKL138C,MRPL31,Verified ORF,MRPL31,"""Mitochondrial ribosomal protein of the large subunit""",
6974,YKL138C,MRPL31,Verified ORF,MRPL31,"""Mitochondrial ribosomal protein of the large subunit""",
6975,YKL137W_NFR/NDR,,Promoter,CMC1,"""Copper-binding protein of the mitochondrial intermembrane space; evolutionarily conserved; may be involved in delivering copper from the matrix to the cytochrome c oxidase complex; contains a twin CX9C motif""",
6976,YKL137W_NFR/NDR,,Promoter,CMC1,"""Copper-binding protein of the mitochondrial intermembrane space; evolutionarily conserved; may be involved in delivering copper from the matrix to the cytochrome c oxidase complex; contains a twin CX9C motif""",
6977,YKL137W_NFR/NDR,,Promoter,CMC1,"""Copper-binding protein of the mitochondrial intermembrane space; evolutionarily conserved; may be involved in delivering copper from the matrix to the cytochrome c oxidase complex; contains a twin CX9C motif""",
6978,YKL137W,CMC1,Verified ORF,CMC1,"""Copper-binding protein of the mitochondrial intermembrane space; evolutionarily conserved; may be involved in delivering copper from the matrix to the cytochrome c oxidase complex; contains a twin CX9C motif""",
6979,YKL137W,CMC1,Verified ORF,CMC1,"""Copper-binding protein of the mitochondrial intermembrane space; evolutionarily conserved; may be involved in delivering copper from the matrix to the cytochrome c oxidase complex; contains a twin CX9C motif""",
6980,YKL137W,CMC1,Verified ORF,CMC1,"""Copper-binding protein of the mitochondrial intermembrane space; evolutionarily conserved; may be involved in delivering copper from the matrix to the cytochrome c oxidase complex; contains a twin CX9C motif""",
6981,YKL137W,CMC1,Verified ORF,CMC1,"""Copper-binding protein of the mitochondrial intermembrane space; evolutionarily conserved; may be involved in delivering copper from the matrix to the cytochrome c oxidase complex; contains a twin CX9C motif""",
6982,YKL138C,MRPL31,Close to 3'-UTR,MRPL31,"""Mitochondrial ribosomal protein of the large subunit""",
6983,YKL134C_NFR/NDR,,Promoter,OCT1,"""Mitochondrial intermediate peptidase; cleaves destabilizing N-terminal residues of a subset of proteins upon import ; after their cleavage by mitochondrial processing peptidase (Mas1p-Mas2p); may contribute to mitochondrial iron homeostasis""",MIPEP
6984,YKL133C_NFR/NDR,,Promoter,RCI50,"""Mitochondrial protein of unknown function; not required for growth of cells lacking the mitochondrial genome; SWAT-GFP and mCherry fusion proteins localize to the mitochondria; YKL133C has a paralog ; MGR3 ; that arose from the whole genome duplication""",
6985,XUT_11F-87,,XUT,,,
6986,ARS1126,ARS1126,Replication,,,
6987,XUT_11F-88,,XUT,,,
6988,XUT_11F-88,,XUT,,,
6989,YKL129C,MYO3,Verified ORF,MYO3,"""One of two type I myosins; localizes to actin cortical patches; deletion of MYO3 has little effect on growth ; but myo3 myo5 double deletion causes severe defects in growth and actin cytoskeleton organization; MYO3 has a paralog ; MYO5 ; that arose from the whole genome duplication""","MYO1E, MYO1F"
6990,SUT232,,SUT,,,
6991,SUT232,,SUT,,,
6992,SUT232,,SUT,,,
6993,XUT_11F-90,,XUT,,,
6994,tK(CUU)K_NFR/NDR,,Promoter,,,
6995,YKL127W_NFR/NDR,,Promoter,PGM1,"""Phosphoglucomutase ; minor isoform; catalyzes the conversion from glucose-1-phosphate to glucose-6-phosphate ; which is a key step in hexose metabolism; PGM1 has a paralog ; PGM2 ; that arose from the whole genome duplication""","PGM1, PGM5"
6996,YKL127W,PGM1,Verified ORF,PGM1,"""Phosphoglucomutase ; minor isoform; catalyzes the conversion from glucose-1-phosphate to glucose-6-phosphate ; which is a key step in hexose metabolism; PGM1 has a paralog ; PGM2 ; that arose from the whole genome duplication""","PGM1, PGM5"
6997,YKL127W,PGM1,Verified ORF,PGM1,"""Phosphoglucomutase ; minor isoform; catalyzes the conversion from glucose-1-phosphate to glucose-6-phosphate ; which is a key step in hexose metabolism; PGM1 has a paralog ; PGM2 ; that arose from the whole genome duplication""","PGM1, PGM5"
6998,YKL127W,PGM1,Verified ORF,PGM1,"""Phosphoglucomutase ; minor isoform; catalyzes the conversion from glucose-1-phosphate to glucose-6-phosphate ; which is a key step in hexose metabolism; PGM1 has a paralog ; PGM2 ; that arose from the whole genome duplication""","PGM1, PGM5"
6999,YKL125W,RRN3,Verified ORF,RRN3,"""Protein required for transcription of rDNA by RNA polymerase I; transcription factor independent of DNA template; involved in recruitment of RNA polymerase I to rDNA; structure reveals unique HEAT repeat fold and a surface serine patch; phosphorylation of serine patch impairs cell growth and reduces RNA polymerase I binding in vitro and RNA polymerase I recruitment to the rDNA gene in vivo""","RRN3P2, RRN3, RRN3P1"
7000,YKL125W,RRN3,Verified ORF,RRN3,"""Protein required for transcription of rDNA by RNA polymerase I; transcription factor independent of DNA template; involved in recruitment of RNA polymerase I to rDNA; structure reveals unique HEAT repeat fold and a surface serine patch; phosphorylation of serine patch impairs cell growth and reduces RNA polymerase I binding in vitro and RNA polymerase I recruitment to the rDNA gene in vivo""","RRN3P2, RRN3, RRN3P1"
7001,YKL124W_NFR/NDR,,Promoter,SSH4,"""Specificity factor required for Rsp5p-dependent ubiquitination; also required for sorting of cargo proteins at the multivesicular body; identified as a high-copy suppressor of a SHR3 deletion ; increasing steady-state levels of amino acid permeases""",
7002,ARS1127,ARS1127,Replication,,,
7003,ARS1127,ARS1127,Replication,,,
7004,YKL121W,DGR2,Uncharacterized ORF,DGR2,"""Protein of unknown function; null mutant is resistant to 2-deoxy-D-glucose and displays abnormally elongated buds; DGR2 has a paralog ; YMR102C ; that arose from the whole genome duplication""",WDR44
7005,YKL121W,DGR2,Uncharacterized ORF,DGR2,"""Protein of unknown function; null mutant is resistant to 2-deoxy-D-glucose and displays abnormally elongated buds; DGR2 has a paralog ; YMR102C ; that arose from the whole genome duplication""",WDR44
7006,YKL121W,DGR2,Uncharacterized ORF,DGR2,"""Protein of unknown function; null mutant is resistant to 2-deoxy-D-glucose and displays abnormally elongated buds; DGR2 has a paralog ; YMR102C ; that arose from the whole genome duplication""",WDR44
7007,YKL121W,DGR2,Uncharacterized ORF,DGR2,"""Protein of unknown function; null mutant is resistant to 2-deoxy-D-glucose and displays abnormally elongated buds; DGR2 has a paralog ; YMR102C ; that arose from the whole genome duplication""",WDR44
7008,YKL121W,DGR2,Uncharacterized ORF,DGR2,"""Protein of unknown function; null mutant is resistant to 2-deoxy-D-glucose and displays abnormally elongated buds; DGR2 has a paralog ; YMR102C ; that arose from the whole genome duplication""",WDR44
7009,YKL120W_NFR/NDR,,Promoter,OAC1,"""Mitochondrial inner membrane transporter; transports oxaloacetate ; sulfate ; thiosulfate ; and isopropylmalate; member of the mitochondrial carrier family""","SLC25A34, SLC25A35"
7010,YKL120W_NFR/NDR,,Promoter,OAC1,"""Mitochondrial inner membrane transporter; transports oxaloacetate ; sulfate ; thiosulfate ; and isopropylmalate; member of the mitochondrial carrier family""","SLC25A34, SLC25A35"
7011,YKL120W_NFR/NDR,,Promoter,OAC1,"""Mitochondrial inner membrane transporter; transports oxaloacetate ; sulfate ; thiosulfate ; and isopropylmalate; member of the mitochondrial carrier family""","SLC25A34, SLC25A35"
7012,YKL120W,OAC1,Verified ORF,OAC1,"""Mitochondrial inner membrane transporter; transports oxaloacetate ; sulfate ; thiosulfate ; and isopropylmalate; member of the mitochondrial carrier family""","SLC25A34, SLC25A35"
7013,YKL120W,OAC1,Close to 3'-UTR,OAC1,"""Mitochondrial inner membrane transporter; transports oxaloacetate ; sulfate ; thiosulfate ; and isopropylmalate; member of the mitochondrial carrier family""","SLC25A34, SLC25A35"
7014,YKL119C,VPH2,Verified ORF,VPH2,"""Integral membrane protein required for V-ATPase function; not an actual component of the vacuolar H+-ATPase (V-ATPase) complex; functions in the assembly of the V-ATPase; localized to the endoplasmic reticulum (ER); involved in methionine restriction extension of chronological lifespan in an autophagy-dependent manner""",
7015,YKL118W,YKL118W,Dubious ORF,YKL118W,"""Dubious open reading frame; unlikely to encode a functional protein ; based on available experimental and comparative sequence data; partially overlaps the verified gene VPH2""",
7016,YKL117W,SBA1,Verified ORF,SBA1,"""Co-chaperone that binds and regulates Hsp90 family chaperones; plays a role in determining prion variants; important for pp60v-src activity in yeast; homologous to the mammalian p23 proteins ; and like p23 can regulate telomerase activity; protein abundance increases in response to DNA replication stress""","PTGES3, PTGES3L"
7017,YKL117W,SBA1,Close to 3'-UTR,SBA1,"""Co-chaperone that binds and regulates Hsp90 family chaperones; plays a role in determining prion variants; important for pp60v-src activity in yeast; homologous to the mammalian p23 proteins ; and like p23 can regulate telomerase activity; protein abundance increases in response to DNA replication stress""","PTGES3, PTGES3L"
7018,YKL116C,PRR1,Verified ORF,PRR1,"""Serine/threonine protein kinase; inhibits pheromone induced signaling downstream of MAPK ; possibly at the level of the Ste12p transcription factor""",
7019,YKL115C,YKL115C,Dubious ORF,YKL115C,"""Dubious open reading frame; unlikely to encode a functional protein ; based on available experimental and comparative sequence data; partially overlaps the verified gene PRR1""",
7020,YKL115C,YKL115C,Dubious ORF,YKL115C,"""Dubious open reading frame; unlikely to encode a functional protein ; based on available experimental and comparative sequence data; partially overlaps the verified gene PRR1""",
7021,CUT228,,CUT,,,
7022,YKL113C,RAD27,Verified ORF,RAD27,"""5' to 3' exonuclease ; 5' flap endonuclease; required for Okazaki fragment processing and maturation ; for long-patch base-excision repair and large loop repair (LLR) ; ribonucleotide excision repair; member of the S. pombe RAD2/FEN1 family; relocalizes to the cytosol in response to hypoxia""",FEN1
7023,YKL113C,RAD27,Verified ORF,RAD27,"""5' to 3' exonuclease ; 5' flap endonuclease; required for Okazaki fragment processing and maturation ; for long-patch base-excision repair and large loop repair (LLR) ; ribonucleotide excision repair; member of the S. pombe RAD2/FEN1 family; relocalizes to the cytosol in response to hypoxia""",FEN1
7024,YKL113C,RAD27,Verified ORF,RAD27,"""5' to 3' exonuclease ; 5' flap endonuclease; required for Okazaki fragment processing and maturation ; for long-patch base-excision repair and large loop repair (LLR) ; ribonucleotide excision repair; member of the S. pombe RAD2/FEN1 family; relocalizes to the cytosol in response to hypoxia""",FEN1
7025,YKL112W_NFR/NDR,,Promoter,ABF1,"""DNA binding protein with possible chromatin-reorganizing activity; involved in transcriptional activation ; gene silencing ; and DNA replication and repair""",
