,SNP,SNPs_localization,GENE,snps_class_down,CLOSEST_GENE,description
7566,7567.0,YLL005C,SPO75,Verified ORF,SPO75,"""Meiosis-specific protein of unknown function; required for spore wall formation during sporulation; dispensable for both nuclear divisions during meiosis"""
7567,7568.0,YLL005C,SPO75,Verified ORF,SPO75,"""Meiosis-specific protein of unknown function; required for spore wall formation during sporulation; dispensable for both nuclear divisions during meiosis"""
7568,7569.0,YLL005C,SPO75,Verified ORF,SPO75,"""Meiosis-specific protein of unknown function; required for spore wall formation during sporulation; dispensable for both nuclear divisions during meiosis"""
7569,7570.0,YLL004W_NFR/NDR,,Promoter,ORC3,"""Subunit of the origin recognition complex (ORC); ORC directs DNA replication by binding to replication origins and is also involved in transcriptional silencing"""
7570,7571.0,YLL003W,SFI1,Verified ORF,SFI1,"""Centrin (Cdc31p)-binding protein required for SPB duplication; localizes to the half-bridge of the spindle pole body (SPB); required for progression through G(2)-M transition; phosphorylated by Cdc28p-Clb2p and by Cdc5p; dephosphorylated by Cdc14p; has similarity to Xenopus laevis XCAP-C"""
7571,7572.0,YLL001W,DNM1,Verified ORF,DNM1,"""Dynamin-related GTPase involved in mitochondrial organization; required for mitochondrial fission and inheritance; self assembles on the cytoplasmic face of mitochondrial tubules at sites where division will occur; participates in endocytosis and regulates peroxisome fission along with Vps1p; mutants in the human ortholog DNM1L ; which mediates mitochondrial fission ; peroxisomal division ; autophagy ; and mitophagy ; are associated with slowly progressive infantile encephalopathy"""
7572,7573.0,YLL001W,DNM1,Verified ORF,DNM1,"""Dynamin-related GTPase involved in mitochondrial organization; required for mitochondrial fission and inheritance; self assembles on the cytoplasmic face of mitochondrial tubules at sites where division will occur; participates in endocytosis and regulates peroxisome fission along with Vps1p; mutants in the human ortholog DNM1L ; which mediates mitochondrial fission ; peroxisomal division ; autophagy ; and mitophagy ; are associated with slowly progressive infantile encephalopathy"""
7573,7574.0,YLL001W,DNM1,Close to 3'-UTR,DNM1,"""Dynamin-related GTPase involved in mitochondrial organization; required for mitochondrial fission and inheritance; self assembles on the cytoplasmic face of mitochondrial tubules at sites where division will occur; participates in endocytosis and regulates peroxisome fission along with Vps1p; mutants in the human ortholog DNM1L ; which mediates mitochondrial fission ; peroxisomal division ; autophagy ; and mitophagy ; are associated with slowly progressive infantile encephalopathy"""
7574,7575.0,YLL001W,DNM1,Close to 3'-UTR,DNM1,"""Dynamin-related GTPase involved in mitochondrial organization; required for mitochondrial fission and inheritance; self assembles on the cytoplasmic face of mitochondrial tubules at sites where division will occur; participates in endocytosis and regulates peroxisome fission along with Vps1p; mutants in the human ortholog DNM1L ; which mediates mitochondrial fission ; peroxisomal division ; autophagy ; and mitophagy ; are associated with slowly progressive infantile encephalopathy"""
7575,7576.0,YLL001W,DNM1,Close to 3'-UTR,DNM1,"""Dynamin-related GTPase involved in mitochondrial organization; required for mitochondrial fission and inheritance; self assembles on the cytoplasmic face of mitochondrial tubules at sites where division will occur; participates in endocytosis and regulates peroxisome fission along with Vps1p; mutants in the human ortholog DNM1L ; which mediates mitochondrial fission ; peroxisomal division ; autophagy ; and mitophagy ; are associated with slowly progressive infantile encephalopathy"""
7576,7577.0,CEN12,CEN12,Centromere,,
7577,7578.0,SUT246,,SUT,,
7578,7579.0,SUT246,,SUT,,
7579,7580.0,SUT246,,SUT,,
7580,7581.0,SUT246,,SUT,,
7581,7582.0,YLR001C,YLR001C,Uncharacterized ORF,YLR001C,"""Putative protein of unknown function; the authentic ; non-tagged protein is detected in highly purified mitochondria in high-throughput studies; predicted to be palmitoylated"""
7582,7583.0,YLR004C,THI73,Verified ORF,THI73,"""Putative plasma membrane permease; proposed to be involved in carboxylic acid uptake and repressed by thiamine; substrate of Dbf2p/Mob1p kinase; transcription is altered if mitochondrial dysfunction occurs"""
7583,7584.0,YLR006C,SSK1,Verified ORF,SSK1,"""Cytoplasmic phosphorelay intermediate osmosensor and regulator; part of a two-component signal transducer that mediates osmosensing via a phosphorelay mechanism; required for mitophagy; dephosphorylated form is degraded by the ubiquitin-proteasome system; potential Cdc28p substrate"""
7584,7585.0,YLR007W,NSE1,Close to 3'-UTR,NSE1,"""Component of the SMC5-SMC6 complex; this complex plays a key role in the removal of X-shaped DNA structures that arise between sister chromatids during DNA replication and repair"""
7585,7586.0,YLRCsigma1,YLRCsigma1,LTR,,
7586,7587.0,YLRCsigma1,YLRCsigma1,LTR,,
7587,7588.0,YLR012C_NFR/NDR,,Promoter,YLR012C,"""Putative protein of unknown function; YLR012C is not an essential gene"""
7588,7589.0,YLR014C,PPR1,Verified ORF,PPR1,"""Zinc finger transcription factor; contains a Zn(2)-Cys(6) binuclear cluster domain ; positively regulates transcription of URA1 ; URA3 ; URA4 ; and URA10 ; which are involved in de novo pyrimidine biosynthesis ; in response to pyrimidine starvation; activity may be modulated by interaction with Tup1p"""
7589,7590.0,YLR019W_NFR/NDR,,Promoter,PSR2,"""Putative plasma membrane phosphatase; involved in the general stress response and inactivating dephosphorylation of Mep2p; required along with Psr1p and binding partner Whi2p for full activation of STRE-mediated gene expression ; possibly through Msn2p dephosphorylation ; and for inhibition of TORC1 in response to limiting amino acids; regulates the sodium ion stress response with Psr1p; member of the HAD family of protein phosphatases"""
7590,7591.0,YLR019W,PSR2,Verified ORF,PSR2,"""Putative plasma membrane phosphatase; involved in the general stress response and inactivating dephosphorylation of Mep2p; required along with Psr1p and binding partner Whi2p for full activation of STRE-mediated gene expression ; possibly through Msn2p dephosphorylation ; and for inhibition of TORC1 in response to limiting amino acids; regulates the sodium ion stress response with Psr1p; member of the HAD family of protein phosphatases"""
7591,7592.0,YLR019W,PSR2,Verified ORF,PSR2,"""Putative plasma membrane phosphatase; involved in the general stress response and inactivating dephosphorylation of Mep2p; required along with Psr1p and binding partner Whi2p for full activation of STRE-mediated gene expression ; possibly through Msn2p dephosphorylation ; and for inhibition of TORC1 in response to limiting amino acids; regulates the sodium ion stress response with Psr1p; member of the HAD family of protein phosphatases"""
7592,7593.0,YLR020C,YEH2,Verified ORF,YEH2,"""Steryl ester hydrolase; catalyzes steryl ester hydrolysis at the plasma membrane; involved in sterol metabolism; YEH2 has a paralog ; YEH1 ; that arose from the whole genome duplication"""
7593,7594.0,YLR022C_NFR/NDR,,Promoter,SDO1,"""Guanine nucleotide exchange factor (GEF) for Ria1p; essential protein involved in ribosome maturation; with Ria1p ; promotes release of Tif6p from 60S ribosomal subunits in the cytoplasm so that they can assemble with 40S subunits to generate mature ribosomes; ortholog of the human protein (SBDS) responsible for autosomal recessive Shwachman-Bodian-Diamond Syndrome; highly conserved across archaea and eukaryotes"""
7594,7595.0,CUT249,,CUT,,
7595,7596.0,YLR023C,IZH3,Verified ORF,IZH3,"""Membrane protein involved in zinc ion homeostasis; member of the four-protein IZH family ; expression induced by zinc deficiency; deletion reduces sensitivity to elevated zinc and shortens lag phase ; overexpression reduces Zap1p activity"""
7596,7597.0,YLR023C,IZH3,Verified ORF,IZH3,"""Membrane protein involved in zinc ion homeostasis; member of the four-protein IZH family ; expression induced by zinc deficiency; deletion reduces sensitivity to elevated zinc and shortens lag phase ; overexpression reduces Zap1p activity"""
7597,7598.0,YLR023C,IZH3,Verified ORF,IZH3,"""Membrane protein involved in zinc ion homeostasis; member of the four-protein IZH family ; expression induced by zinc deficiency; deletion reduces sensitivity to elevated zinc and shortens lag phase ; overexpression reduces Zap1p activity"""
7598,7599.0,YLR023C_NFR/NDR,,Promoter,IZH3,"""Membrane protein involved in zinc ion homeostasis; member of the four-protein IZH family ; expression induced by zinc deficiency; deletion reduces sensitivity to elevated zinc and shortens lag phase ; overexpression reduces Zap1p activity"""
7599,7600.0,YLR024C,UBR2,Verified ORF,UBR2,"""Cytoplasmic ubiquitin-protein ligase (E3); component of the Mub1p-Ubr2p-Rad6p ubiquitin ligase complex required for the ubiquitination and degradation of Rpn4p; mediates formation of the ternary complex"""
7600,7601.0,YLR024C,UBR2,Verified ORF,UBR2,"""Cytoplasmic ubiquitin-protein ligase (E3); component of the Mub1p-Ubr2p-Rad6p ubiquitin ligase complex required for the ubiquitination and degradation of Rpn4p; mediates formation of the ternary complex"""
7601,7602.0,YLR024C,UBR2,Verified ORF,UBR2,"""Cytoplasmic ubiquitin-protein ligase (E3); component of the Mub1p-Ubr2p-Rad6p ubiquitin ligase complex required for the ubiquitination and degradation of Rpn4p; mediates formation of the ternary complex"""
7602,7603.0,YLR024C,UBR2,Verified ORF,UBR2,"""Cytoplasmic ubiquitin-protein ligase (E3); component of the Mub1p-Ubr2p-Rad6p ubiquitin ligase complex required for the ubiquitination and degradation of Rpn4p; mediates formation of the ternary complex"""
7603,7604.0,XUT_12F-70_NFR/NDR,,Promoter,,
7604,7605.0,XUT_12F-70,,XUT,,
7605,7606.0,YLR025W,SNF7,Verified ORF,SNF7,"""One of four subunits of the ESCRT-III complex; involved in the sorting of transmembrane proteins into the multivesicular body (MVB) pathway; recruited from the cytoplasm to endosomal membranes; ESCRT-III stands for endosomal sorting complex required for transport III"""
7606,7607.0,YLR026C,SED5,Verified ORF,SED5,"""cis-Golgi t-SNARE syntaxin; required for vesicular transport between the ER and the Golgi complex; binds at least 9 SNARE proteins; plays a role in autophagy by regulating formation of autophagic vesicles in Golgi"""
7607,7608.0,YLR026C,SED5,Close to 3'-UTR,SED5,"""cis-Golgi t-SNARE syntaxin; required for vesicular transport between the ER and the Golgi complex; binds at least 9 SNARE proteins; plays a role in autophagy by regulating formation of autophagic vesicles in Golgi"""
7608,7609.0,YLR026C_NFR/NDR,,Promoter,SED5,"""cis-Golgi t-SNARE syntaxin; required for vesicular transport between the ER and the Golgi complex; binds at least 9 SNARE proteins; plays a role in autophagy by regulating formation of autophagic vesicles in Golgi"""
7609,7610.0,YLR026C_NFR/NDR,,Promoter,SED5,"""cis-Golgi t-SNARE syntaxin; required for vesicular transport between the ER and the Golgi complex; binds at least 9 SNARE proteins; plays a role in autophagy by regulating formation of autophagic vesicles in Golgi"""
7610,7611.0,YLR026C_NFR/NDR,,Promoter,SED5,"""cis-Golgi t-SNARE syntaxin; required for vesicular transport between the ER and the Golgi complex; binds at least 9 SNARE proteins; plays a role in autophagy by regulating formation of autophagic vesicles in Golgi"""
7611,7612.0,CUT252,,CUT,,
7612,7613.0,YLR027C,AAT2,Close to 3'-UTR,AAT2,"""Cytosolic aspartate aminotransferase involved in nitrogen metabolism; localizes to peroxisomes in oleate-grown cells"""
7613,7614.0,YLR030W,YLR030W,Uncharacterized ORF,YLR030W,"""Putative protein of unknown function; S288C contains an in-frame stop codon between ORFs YLR030W and YLR031W"""
7614,7615.0,YLR030W,YLR030W,Uncharacterized ORF,YLR030W,"""Putative protein of unknown function; S288C contains an in-frame stop codon between ORFs YLR030W and YLR031W"""
7615,7616.0,YLR032W,RAD5,Verified ORF,RAD5,"""DNA helicase/Ubiquitin ligase; involved in error-free DNA damage tolerance (DDT) ; replication fork regression during postreplication repair by template switching ; and error-prone translesion synthesis; required for UV and MMS-associated unequal sister chromatid exchange (SCE) but not for double-strand break associated unequal SCE; promotes synthesis of free and PCNA-bound polyubiquitin chains by Ubc13p-Mms2p; human homolog HLTF can complement yeast null mutant"""
7616,7617.0,YLR032W,RAD5,Verified ORF,RAD5,"""DNA helicase/Ubiquitin ligase; involved in error-free DNA damage tolerance (DDT) ; replication fork regression during postreplication repair by template switching ; and error-prone translesion synthesis; required for UV and MMS-associated unequal sister chromatid exchange (SCE) but not for double-strand break associated unequal SCE; promotes synthesis of free and PCNA-bound polyubiquitin chains by Ubc13p-Mms2p; human homolog HLTF can complement yeast null mutant"""
7617,7618.0,YLR032W,RAD5,Verified ORF,RAD5,"""DNA helicase/Ubiquitin ligase; involved in error-free DNA damage tolerance (DDT) ; replication fork regression during postreplication repair by template switching ; and error-prone translesion synthesis; required for UV and MMS-associated unequal sister chromatid exchange (SCE) but not for double-strand break associated unequal SCE; promotes synthesis of free and PCNA-bound polyubiquitin chains by Ubc13p-Mms2p; human homolog HLTF can complement yeast null mutant"""
7618,7619.0,YLR032W,RAD5,Verified ORF,RAD5,"""DNA helicase/Ubiquitin ligase; involved in error-free DNA damage tolerance (DDT) ; replication fork regression during postreplication repair by template switching ; and error-prone translesion synthesis; required for UV and MMS-associated unequal sister chromatid exchange (SCE) but not for double-strand break associated unequal SCE; promotes synthesis of free and PCNA-bound polyubiquitin chains by Ubc13p-Mms2p; human homolog HLTF can complement yeast null mutant"""
7619,7620.0,YLR033W,RSC58,Verified ORF,RSC58,"""Component of the RSC chromatin remodeling complex; RSC functions in transcriptional regulation and elongation ; chromosome stability ; and establishing sister chromatid cohesion; involved in telomere maintenance"""
7620,7621.0,YLR033W,RSC58,Verified ORF,RSC58,"""Component of the RSC chromatin remodeling complex; RSC functions in transcriptional regulation and elongation ; chromosome stability ; and establishing sister chromatid cohesion; involved in telomere maintenance"""
7621,7622.0,YLR034C,SMF3,Verified ORF,SMF3,"""Putative divalent metal ion transporter involved in iron homeostasis; transcriptionally regulated by metal ions; member of the Nramp family of metal transport proteins; protein abundance increases in response to DNA replication stress"""
7622,7623.0,YLR034C,SMF3,Verified ORF,SMF3,"""Putative divalent metal ion transporter involved in iron homeostasis; transcriptionally regulated by metal ions; member of the Nramp family of metal transport proteins; protein abundance increases in response to DNA replication stress"""
7623,7624.0,YLR034C,SMF3,Verified ORF,SMF3,"""Putative divalent metal ion transporter involved in iron homeostasis; transcriptionally regulated by metal ions; member of the Nramp family of metal transport proteins; protein abundance increases in response to DNA replication stress"""
7624,7625.0,YLR034C_NFR/NDR,,Promoter,SMF3,"""Putative divalent metal ion transporter involved in iron homeostasis; transcriptionally regulated by metal ions; member of the Nramp family of metal transport proteins; protein abundance increases in response to DNA replication stress"""
7625,7626.0,YLR035C,MLH2,Verified ORF,MLH2,"""Protein involved in mismatch repair and meiotic recombination; only certain frameshift intermediates are mismatch repair substrates; forms a complex with Mlh1p ; plays accessory role in stimulating activity of MLH1/PMS1 complex"""
7626,7627.0,YLR035C,MLH2,Verified ORF,MLH2,"""Protein involved in mismatch repair and meiotic recombination; only certain frameshift intermediates are mismatch repair substrates; forms a complex with Mlh1p ; plays accessory role in stimulating activity of MLH1/PMS1 complex"""
7627,7628.0,YLR036C,YLR036C,Close to 3'-UTR,YLR036C,"""Putative protein predicted to have transmembrane domains; interacts with HSP90 by yeast two-hybrid analysis; YLR036C is not an essential protein"""
7628,7629.0,YLR037C,PAU23,Verified ORF,PAU23,"""Cell wall mannoprotein; has similarity to Tir1p ; Tir2p ; Tir3p ; and Tir4p; member of the seripauperin multigene family encoded mainly in subtelomeric regions; expressed under anaerobic conditions ; completely repressed during aerobic growth"""
7629,7630.0,YLR037C,PAU23,Verified ORF,PAU23,"""Cell wall mannoprotein; has similarity to Tir1p ; Tir2p ; Tir3p ; and Tir4p; member of the seripauperin multigene family encoded mainly in subtelomeric regions; expressed under anaerobic conditions ; completely repressed during aerobic growth"""
7630,7631.0,YLR037C,PAU23,Verified ORF,PAU23,"""Cell wall mannoprotein; has similarity to Tir1p ; Tir2p ; Tir3p ; and Tir4p; member of the seripauperin multigene family encoded mainly in subtelomeric regions; expressed under anaerobic conditions ; completely repressed during aerobic growth"""
7631,7632.0,YLR037C,PAU23,Verified ORF,PAU23,"""Cell wall mannoprotein; has similarity to Tir1p ; Tir2p ; Tir3p ; and Tir4p; member of the seripauperin multigene family encoded mainly in subtelomeric regions; expressed under anaerobic conditions ; completely repressed during aerobic growth"""
7632,7633.0,YLR037C,PAU23,Verified ORF,PAU23,"""Cell wall mannoprotein; has similarity to Tir1p ; Tir2p ; Tir3p ; and Tir4p; member of the seripauperin multigene family encoded mainly in subtelomeric regions; expressed under anaerobic conditions ; completely repressed during aerobic growth"""
7633,7634.0,YLR038C,COX12,Close to 3'-UTR,COX12,"""Subunit VIb of cytochrome c oxidase; cytochrome c oxidase is also known as respiratory Complex IV and is the terminal member of the mitochondrial inner membrane electron transport chain; required for assembly of cytochrome c oxidase but not required for activity after assembly; phosphorylated; easily released from the intermembrane space ; suggesting a loose association with Complex IV"""
7634,7635.0,YLR039C,RIC1,Verified ORF,RIC1,"""Protein involved in retrograde transport to the cis-Golgi network; forms heterodimer with Rgp1p that acts as a GTP exchange factor for Ypt6p; involved in transcription of rRNA and ribosomal protein genes"""
7635,7636.0,YLR039C,RIC1,Verified ORF,RIC1,"""Protein involved in retrograde transport to the cis-Golgi network; forms heterodimer with Rgp1p that acts as a GTP exchange factor for Ypt6p; involved in transcription of rRNA and ribosomal protein genes"""
7636,7637.0,YLR039C,RIC1,Verified ORF,RIC1,"""Protein involved in retrograde transport to the cis-Golgi network; forms heterodimer with Rgp1p that acts as a GTP exchange factor for Ypt6p; involved in transcription of rRNA and ribosomal protein genes"""
7637,7638.0,YLR040C,AFB1,Verified ORF,AFB1,"""MATalpha-specific a-factor blocker; contributes to mating efficiency under certain conditions; localizes to the cell wall; predicted to be a GPI-attached protein; upregulated by Mcm1p-Alpha1p transcription factor; partially overlaps the dubious ORF YLR041W"""
7638,7639.0,YLR042C_NFR/NDR,,Promoter,NFG1,"""Cell wall protein of unknown function; localizes to the cytoplasm; deletion improves xylose fermentation in industrially engineered strains; YLR042C is not an essential gene"""
7639,7640.0,SUT251,,SUT,,
7640,7641.0,YLR043C,TRX1,Close to 3'-UTR,TRX1,"""Cytoplasmic thioredoxin isoenzyme; part of the thioredoxin system that protects cells from oxidative and reductive stress; subunit of the LMA1 complex ; with Pbi2p ; that promotes vacuole inheritance; cofactor for Tsa1p; required for ER-Golgi transport; facilitates mitochondrial import of small Tims (Tim9p ; Tim10p ; Tim13p) by maintaining them in reduced form along with Trx2p; component of a signal transduction redox relay in a light sensing pathway; abundance increases under DNA replication stress"""
7641,7642.0,YLR044C,PDC1,Close to 3'-UTR,PDC1,"""Major of three pyruvate decarboxylase isozymes; key enzyme in alcoholic fermentation; decarboxylates pyruvate to acetaldehyde; involved in amino acid catabolism; subject to glucose- ; ethanol- ; and autoregulation; activated by phosphorylation in response to glucose levels; N-terminally propionylated in vivo"""
7642,7643.0,YLR044C,PDC1,Close to 3'-UTR,PDC1,"""Major of three pyruvate decarboxylase isozymes; key enzyme in alcoholic fermentation; decarboxylates pyruvate to acetaldehyde; involved in amino acid catabolism; subject to glucose- ; ethanol- ; and autoregulation; activated by phosphorylation in response to glucose levels; N-terminally propionylated in vivo"""
7643,7644.0,YLR044C,PDC1,Close to 3'-UTR,PDC1,"""Major of three pyruvate decarboxylase isozymes; key enzyme in alcoholic fermentation; decarboxylates pyruvate to acetaldehyde; involved in amino acid catabolism; subject to glucose- ; ethanol- ; and autoregulation; activated by phosphorylation in response to glucose levels; N-terminally propionylated in vivo"""
7644,7645.0,YLR044C,PDC1,Close to 3'-UTR,PDC1,"""Major of three pyruvate decarboxylase isozymes; key enzyme in alcoholic fermentation; decarboxylates pyruvate to acetaldehyde; involved in amino acid catabolism; subject to glucose- ; ethanol- ; and autoregulation; activated by phosphorylation in response to glucose levels; N-terminally propionylated in vivo"""
7645,7646.0,YLR044C,PDC1,Close to 3'-UTR,PDC1,"""Major of three pyruvate decarboxylase isozymes; key enzyme in alcoholic fermentation; decarboxylates pyruvate to acetaldehyde; involved in amino acid catabolism; subject to glucose- ; ethanol- ; and autoregulation; activated by phosphorylation in response to glucose levels; N-terminally propionylated in vivo"""
7646,7647.0,YLR044C,PDC1,Close to 3'-UTR,PDC1,"""Major of three pyruvate decarboxylase isozymes; key enzyme in alcoholic fermentation; decarboxylates pyruvate to acetaldehyde; involved in amino acid catabolism; subject to glucose- ; ethanol- ; and autoregulation; activated by phosphorylation in response to glucose levels; N-terminally propionylated in vivo"""
7647,7648.0,YLR045C,STU2,Verified ORF,STU2,"""Microtubule polymerase of the XMAP215/Dis1 family; required for elongation of mitotic spindle during anaphase ; as well as for spindle orientation and metaphase chromosome alignment; stabilizes or destabilizes kinetochore-microtubule attachment depending on kinetochore tension; interacts with spindle pole body component Spc72p; metazoan ch-TOG/XMAP215 family member"""
7648,7649.0,YLR045C,STU2,Verified ORF,STU2,"""Microtubule polymerase of the XMAP215/Dis1 family; required for elongation of mitotic spindle during anaphase ; as well as for spindle orientation and metaphase chromosome alignment; stabilizes or destabilizes kinetochore-microtubule attachment depending on kinetochore tension; interacts with spindle pole body component Spc72p; metazoan ch-TOG/XMAP215 family member"""
7649,7650.0,YLR045C,STU2,Verified ORF,STU2,"""Microtubule polymerase of the XMAP215/Dis1 family; required for elongation of mitotic spindle during anaphase ; as well as for spindle orientation and metaphase chromosome alignment; stabilizes or destabilizes kinetochore-microtubule attachment depending on kinetochore tension; interacts with spindle pole body component Spc72p; metazoan ch-TOG/XMAP215 family member"""
7650,7651.0,YLR045C,STU2,Verified ORF,STU2,"""Microtubule polymerase of the XMAP215/Dis1 family; required for elongation of mitotic spindle during anaphase ; as well as for spindle orientation and metaphase chromosome alignment; stabilizes or destabilizes kinetochore-microtubule attachment depending on kinetochore tension; interacts with spindle pole body component Spc72p; metazoan ch-TOG/XMAP215 family member"""
7651,7652.0,YLR045C,STU2,Verified ORF,STU2,"""Microtubule polymerase of the XMAP215/Dis1 family; required for elongation of mitotic spindle during anaphase ; as well as for spindle orientation and metaphase chromosome alignment; stabilizes or destabilizes kinetochore-microtubule attachment depending on kinetochore tension; interacts with spindle pole body component Spc72p; metazoan ch-TOG/XMAP215 family member"""
7652,7653.0,YLR046C,YLR046C,Uncharacterized ORF,YLR046C,"""Putative membrane protein; member of the fungal lipid-translocating exporter (LTE) family of proteins; transcription is activated by paralogous transcription factors Yrm1p and Yrr1p along with genes involved in multidrug resistance; YLR046C has a paralog ; RTA1 ; that arose from the whole genome duplication"""
7653,7654.0,YLR046C,YLR046C,Close to 3'-UTR,YLR046C,"""Putative membrane protein; member of the fungal lipid-translocating exporter (LTE) family of proteins; transcription is activated by paralogous transcription factors Yrm1p and Yrr1p along with genes involved in multidrug resistance; YLR046C has a paralog ; RTA1 ; that arose from the whole genome duplication"""
7654,7655.0,YLR047C,FRE8,Verified ORF,FRE8,"""Protein with sequence similarity to iron/copper reductases; involved in iron homeostasis; deletion mutant has iron deficiency/accumulation growth defects; expression increased in the absence of copper-responsive transcription factor Mac1p"""
7655,7656.0,YLR047C,FRE8,Verified ORF,FRE8,"""Protein with sequence similarity to iron/copper reductases; involved in iron homeostasis; deletion mutant has iron deficiency/accumulation growth defects; expression increased in the absence of copper-responsive transcription factor Mac1p"""
7656,7657.0,YLR047C_NFR/NDR,,Promoter,FRE8,"""Protein with sequence similarity to iron/copper reductases; involved in iron homeostasis; deletion mutant has iron deficiency/accumulation growth defects; expression increased in the absence of copper-responsive transcription factor Mac1p"""
7657,7658.0,ACS_12_243727_+_NFR/NDR,,Promoter,,
7658,7659.0,YLR049C,MLO50,Uncharacterized ORF,MLO50,"""Mitochondrial protein of unknown function"""
7659,7660.0,YLR049C,MLO50,Close to 3'-UTR,MLO50,"""Mitochondrial protein of unknown function"""
7660,7661.0,YLR049C_NFR/NDR,,Promoter,MLO50,"""Mitochondrial protein of unknown function"""
7661,7662.0,YLR051C,FCF2,Verified ORF,FCF2,"""Nucleolar protein involved in the early steps of 35S rRNA processing; interacts with Faf1p; member of a transcriptionally co-regulated set of genes called the RRB regulon; essential gene"""
7662,7663.0,YLR052W,IES3,Verified ORF,IES3,"""Subunit of the INO80 chromatin remodeling complex"""
7663,7664.0,YLR052W,IES3,Close to 3'-UTR,IES3,"""Subunit of the INO80 chromatin remodeling complex"""
7664,7665.0,YLR053C_NFR/NDR,,Promoter,YLR053C,"""Putative protein of unknown function"""
7665,7666.0,YLR054C,OSW2,Verified ORF,OSW2,"""Protein of unknown function reputedly involved in spore wall assembly"""
7666,7667.0,YLR054C,OSW2,Verified ORF,OSW2,"""Protein of unknown function reputedly involved in spore wall assembly"""
7667,7668.0,YLR054C,OSW2,Close to 3'-UTR,OSW2,"""Protein of unknown function reputedly involved in spore wall assembly"""
7668,7669.0,YLR054C,OSW2,Close to 3'-UTR,OSW2,"""Protein of unknown function reputedly involved in spore wall assembly"""
7669,7670.0,YLR055C,SPT8,Verified ORF,SPT8,"""Subunit of the SAGA transcriptional regulatory complex; not present in SAGA-like complex SLIK/SALSA; required for SAGA-mediated inhibition at some promoters"""
7670,7671.0,YLR055C,SPT8,Verified ORF,SPT8,"""Subunit of the SAGA transcriptional regulatory complex; not present in SAGA-like complex SLIK/SALSA; required for SAGA-mediated inhibition at some promoters"""
7671,7672.0,YLR055C_NFR/NDR,,Promoter,SPT8,"""Subunit of the SAGA transcriptional regulatory complex; not present in SAGA-like complex SLIK/SALSA; required for SAGA-mediated inhibition at some promoters"""
7672,7673.0,YLR055C,SPT8,Close to 3'-UTR,SPT8,"""Subunit of the SAGA transcriptional regulatory complex; not present in SAGA-like complex SLIK/SALSA; required for SAGA-mediated inhibition at some promoters"""
7673,7674.0,YLR056W,ERG3,Verified ORF,ERG3,"""C-5 sterol desaturase; glycoprotein that catalyzes the introduction of a C-5(6) double bond into episterol ; a precursor in ergosterol biosynthesis; transcriptionally down-regulated when ergosterol is in excess; mutants are viable ; but cannot grow on non-fermentable carbon sources; substrate of HRD ubiquitin ligase; mutation is functionally complemented by human SC5D"""
7674,7675.0,YLR057W,MNL2,Verified ORF,MNL2,"""Putative mannosidase involved in ER-associated protein degradation; localizes to the endoplasmic reticulum; sequence similarity with seven-hairpin glycosidase (GH47) family members ; such as Mns1p and Mnl1p ; that hydrolyze 1,2-linked alpha-D-mannose residues; non-essential gene"""
7675,7676.0,YLR058C_NFR/NDR,,Promoter,SHM2,"""Cytosolic serine hydroxymethyltransferase; converts serine to glycine plus 5,10 methylenetetrahydrofolate; major isoform involved in generating precursors for purine ; pyrimidine ; amino acid ; and lipid biosynthesis"""
7676,7677.0,YLR058C_NFR/NDR,,Promoter,SHM2,"""Cytosolic serine hydroxymethyltransferase; converts serine to glycine plus 5,10 methylenetetrahydrofolate; major isoform involved in generating precursors for purine ; pyrimidine ; amino acid ; and lipid biosynthesis"""
7677,7678.0,YLR059C,REX2,Verified ORF,REX2,"""3'-5' RNA exonuclease; involved in 3'-end processing of U4 and U5 snRNAs ; 5S and 5.8S rRNAs ; and RNase P and RNase MRP RNA; localized to mitochondria and null suppresses escape of mtDNA to nucleus in yme1 yme2 mutants; RNase D exonuclease"""
7678,7679.0,YLR059C,REX2,Verified ORF,REX2,"""3'-5' RNA exonuclease; involved in 3'-end processing of U4 and U5 snRNAs ; 5S and 5.8S rRNAs ; and RNase P and RNase MRP RNA; localized to mitochondria and null suppresses escape of mtDNA to nucleus in yme1 yme2 mutants; RNase D exonuclease"""
7679,7680.0,YLR060W_NFR/NDR,,Promoter,FRS1,"""Beta subunit of cytoplasmic phenylalanyl-tRNA synthetase; forms a tetramer with Frs2p to generate active enzyme; able to hydrolyze mis-aminoacylated tRNA-Phe ; which could contribute to translational quality control"""
7680,7681.0,YLR060W_NFR/NDR,,Promoter,FRS1,"""Beta subunit of cytoplasmic phenylalanyl-tRNA synthetase; forms a tetramer with Frs2p to generate active enzyme; able to hydrolyze mis-aminoacylated tRNA-Phe ; which could contribute to translational quality control"""
7681,7682.0,YLR060W,FRS1,Verified ORF,FRS1,"""Beta subunit of cytoplasmic phenylalanyl-tRNA synthetase; forms a tetramer with Frs2p to generate active enzyme; able to hydrolyze mis-aminoacylated tRNA-Phe ; which could contribute to translational quality control"""
7682,7683.0,YLR060W,FRS1,Verified ORF,FRS1,"""Beta subunit of cytoplasmic phenylalanyl-tRNA synthetase; forms a tetramer with Frs2p to generate active enzyme; able to hydrolyze mis-aminoacylated tRNA-Phe ; which could contribute to translational quality control"""
